appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
2427420,S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,GSC Game World,Shooter,$1.9m ($1m - $2.8m),$20.3m,931.0,55.5,35000.0,0.4267826268458735
1292630,3on3 FreeStyle: Rebound,Joycity,Shooter,$7.1m ($4.2m - $9.9m),$7.1m,641.0,63.0,10000.0,0.4093404670025153
356310,METAL SLUG DEFENSE,SNK CORPORATION,Shooter,$27k ($18.9k - $35.1k),$35.7m,389.0,53.442,750000.0,0.4069891435176824
1129220,"BEARS, VODKA, BALALAIKA! ",Rabotiagi games,Shooter,$71.9k ($36.5k - $107.4k),$174k,469.0,89.71,150000.0,0.4044817365810734
2930120,愤怒的孙子们,李鸡蛋,Shooter,$55k ($11k - $99k),$55k,1027.0,55.161,150000.0,0.385275514701193
915320,Pixel Strike 3D,Vulcron,Shooter,$78.3k ($55k - $101.7k),$78.3k,852.0,0.0,1500000.0,0.3824725876328645
638490,Soldat,Transhuman Design,Shooter,0,$83.1k,409.0,45.0,350000.0,0.2861005368704042
663690,Rival Rampage,Oddscure,Shooter,0,$113.8k,379.0,45.0,35000.0,0.1935946285073112
3359320,SchoolBoy Runaway,Linked Squad,Simulation,$480.6k ($297.2k - $663.9k),$525.2k,858.0,91.38,75000.0,0.4416575540784122
1812300,Aquatico,Overseer Games,Simulation,$884.3k ($589.9k - $1.1m),$4.5m,923.0,68.87,75000.0,0.4394244933089462
2111170,STORY OF SEASONS: A Wonderful Life,Marvelous,Simulation,$1.4m ($979.4k - $1.8m),$20.9m,1528.0,78.59,10000.0,0.4328658885683641
587450,Saurian,"Urvogel Games, LLC",Simulation,$842.6k ($523.2k - $1.1m),$842.1k,599.0,61.96,150000.0,0.426778042641981
886900,Chef: A Restaurant Tycoon Game,Digital Tribe,Simulation,$714.5k ($404.5k - $1m),$3.3m,564.0,72.86,75000.0,0.423754862235674
562430,Alien Hostage,Conglomerate 5,Simulation,$11.2k ($5.1k - $17.4k),$2.5m,3966.0,54.72,150000.0,0.4198791589087143
1492730,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,Bandai Namco Entertainment,Simulation,$804.4k ($428.3k - $1.1m),$1.7b,572.0,81.432,10000.0,0.4160875995237976
1124260,Snowtopia: Ski Resort Builder,Goblinz Publishing,Simulation,$702.9k ($337.3k - $1m),$29.1m,539.0,66.32,35000.0,0.4078005579659878
686260,Forged Battalion,Petroglyph,Simulation,$669.1k ($262.5k - $1m),$4.3m,439.0,63.13,75000.0,0.4064353676110384
3239270,Night Shift Nurses,Shiravune,Simulation,$524.2k ($337.7k - $710.7k),$15.3m,439.0,77.22,35000.0,0.4053606751551759
602320,Train Valley 2,Flazm,Simulation,$746.8k ($389.4k - $1.1m),$1.5m,468.0,90.95,10000.0,0.388218778239732
1170970,Marbles on Stream,Pixel by Pixel Studios Inc.,Simulation,$1.1m ($526.3k - $1.7m),$1.1m,584.0,0.0,350000.0,0.3879096943965714
1895860,Monster Girls and the Mysterious Adventure 2,NEKOTOKAGE GAMES,Simulation,$214.8k ($158.6k - $271k),$295.4k,557.0,80.091,35000.0,0.3857197311417536
3430470,PLATiNA :: LAB,HIGH-END Games,Simulation,$516.8k ($356.8k - $676.8k),$516.8k,479.0,89.66,10000.0,0.3777272666335634
1335240,放置勇者：远征/Idle Heroes:Odyssey,OnigiriStudio,Simulation,$126.7k ($91.1k - $162.3k),$126.6k,531.0,51.72,75000.0,0.3615860890409678
2891120,Mad Smartphone Tycoon,Miradil,Simulation,$147.1k ($94.2k - $199.9k),$146.5k,420.0,66.303,35000.0,0.3546640674700037
2241910,Sweets Pusher Friends,STP WORKS,Simulation,$24.2k ($14.8k - $33.6k),$377.2k,551.0,62.028000000000006,10000.0,0.3085023418408724
885570,Nova-Life: Amboise,TeamNova,Simulation,$226 ($45 - $407),$226 ,756.0,67.446,350000.0,0.3037527326768791
397100,MachineCraft,G2CREW,Simulation,0,$0 ,497.0,65.45700000000001,350000.0,0.267121637750481
1029500,中华三国志 the Three Kingdoms of China,中三之家,Simulation,0,$0 ,420.0,0.0,350000.0,0.1937143247506498
442500,Age of Gladiators,Creative Storm Entertainment,Sports,$257.5k ($166.1k - $349k),$705.4k,373.0,77.92,150000.0,0.4101323071959173
508530,HackyZack,Spaceboy Games,Sports,$96.9k ($19.3k - $174.4k),$96.9k,833.0,90.0,75000.0,0.4088357047954138
1213750,Fight Crab,PLAYISM,Sports,$639.5k ($406k - $872.9k),$86.3m,257.0,94.14,10000.0,0.3880004832979756
505740,Eximius: Seize the Frontline,Ammobox Studios,Sports,$735.9k ($424.9k - $1m),$736k,320.0,67.14,35000.0,0.3774249503629517
1307090,Barro Racing,SC Jogos,Sports,$69.2k ($37.9k - $100.6k),$762.8k,1355.0,84.21,10000.0,0.3768715439287653
2494340,Tour de France 2024,Nacon,Sports,$319.7k ($199.1k - $440.3k),$157.6m,395.0,75.564,10000.0,0.3751561379432345
692030,Tennis World Tour,Nacon,Sports,$782.6k ($322k - $1.2m),$157.6m,289.0,44.01,35000.0,0.3749773196790109
429780,Bunny Hop League,PolyDigital,Sports,$122.6k ($71.6k - $173.6k),$122.6k,421.0,72.41,75000.0,0.3745292216262723
1682050,PropHunter,Alone Fox Games,Sports,$211.3k ($42.2k - $380.4k),$213.1k,318.0,81.02,35000.0,0.3676889506489568
1304340,Monster Energy Supercross - The Official Videogame 4,Milestone S.r.l.,Sports,$253k ($170.7k - $335.4k),$60.1m,561.0,62.46000000000001,10000.0,0.3653382056882623
2545360,Lonely Mountains: Snow Riders,Megagon Industries,Sports,$444k ($311.3k - $576.6k),$1.5m,265.0,90.61,10000.0,0.36274697445658
526980,Handball 17,Nacon,Sports,$42k ($8.4k - $75.6k),$157.6m,306.0,63.981,35000.0,0.3542262412271487
2052040,Golden Lap,Funselektor Labs Inc.,Sports,$371.6k ($249.5k - $493.8k),$4.9m,286.0,76.959,10000.0,0.3539018450176989
360620,Spellsworn,Frogsong Studios,Sports,$599 ($331 - $868),$17.4k,1506.0,78.98400000000001,150000.0,0.3503745917938472
464850,Don Bradman Cricket 17,Big Ant Studios,Sports,$303.3k ($177.7k - $428.9k),$5.1m,232.0,54.639,35000.0,0.3503719521728705
