appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
18040,DeathSpank,Electronic Arts,Indie,$697.1k ($359.1k - $1m),$4.5b,434.0,94.54,150000.0,9.84272587573067
1057750,The Suicide of Rachel Foster,Daedalic Entertainment,Indie,$1m ($690.9k - $1.3m),$159.9m,408.0,69.37,150000.0,7.314769444128656
1946140,Jigsaw Puzzles Infinite,Bartek Karczmarczyk,Indie,$8.3k ($4.5k - $12.1k),$8.3k,435.0,90.0,75000.0,9.252286211626135
1497440,COCOON,Annapurna Interactive,Indie,$3m ($2.2m - $3.8m),$188.4m,392.0,94.72,350000.0,9.884202544988119
1038740,Fluffy Store,SakuraGame,Indie,$64.7k ($38.8k - $90.6k),$3.9m,393.0,96.94,150000.0,10.014893812231065
1198850,How to Build a Magnificent Kingdom,Kagura Games,Indie,$193.1k ($127.6k - $258.7k),$63.4m,395.0,72.68400000000001,10000.0,7.556594295877925
704920,Magic Rampage,Asantee Games,Indie,$473 ($233 - $715),$474 ,301.0,84.933,75000.0,8.68032665237091
1011590,Night is Coming,101XP,Indie,$202.3k ($141k - $263.6k),$3.9m,321.0,58.5,10000.0,6.120518832880279
3098070,Cinema Simulator 2025,HOGO Games,Indie,$276.4k ($195.4k - $357.3k),$463.6k,289.0,71.613,10000.0,7.423992449098091
360870,Ultimate Tic-Tac-Toe,Tigerish Games,Indie,0,$398 ,288.0,65.45700000000001,350000.0,6.747581714311906
