Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players
4X,1395760,Reshaping Mars,"4X, City Builder, Indie, Simulation, Strategy",,,,Tholus,Yooreka Studio,2.0,steamspy,640.0
4X,1356810,Hexarchy,"4X, Card & Board, Simulation, Strategy",,,,Main Tank Software,"Yogscast Games, Gamersky Games",46.0,steamspy,630.0
4X,241000,Jon Shafer's At the Gates,"4X, Indie, Strategy",,,,Conifer Games,Conifer Games,1.0,steamspy,628.0
4X,499660,Medieval Kingdom Wars,"4X, Action, City Builder, Simulation, Strategy, Survival",,,,Reverie World Studios,indie.io,4.0,steamspy,544.0
4X,259060,Dominions 4: Thrones of Ascension,"4X, Indie, RPG, Strategy",,,,Illwinter Game Design,Illwinter Game Design,6.0,steamspy,541.0
4X,874390,The Battle of Polytopia,"4X, Action, Simulation, Strategy",,,,Midjiwan AB,Midjiwan AB,172.0,steamspy,535.0
4X,16810,Sid Meier's Civilization IV: Colonization,"4X, City Builder, Simulation, Strategy",,,,Firaxis Games,2K,215.0,steamspy,522.0
4X,464880,Stars in Shadow,"4X, Indie, Strategy",,,,Ashdar Games,Iceberg Interactive,20.0,steamspy,464.0
4X,1597310,Airship: Kingdoms Adrift,"4X, Action, Adventure, RPG, Simulation, Strategy",,,,Revolution Industry,"indie.io, Gamersky Games",15.0,steamspy,417.0
4X,651660,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),"4X, RPG, Simulation, Strategy",,,,"Massive Damage, Inc.","Massive Damage, Inc.",3.0,steamspy,409.0
4X,3990,Civilization IV: Warlords,"4X, Strategy",,,,Firaxis Games,2K,150.0,steamspy,335.0
4X,294160,Galcon 2: Galactic Conquest,"4X, Indie, Massively Multiplayer, Strategy",,,,"Hassey Enterprises, Inc.","Hassey Enterprises, Inc.",2.0,steamspy,324.0
