appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,Steam_User_Score_Percent,Total_Reviews_Count,Owners_SteamSpy
98800,Dungeons of Dredmor,"Gaslamp Games, Inc.",Casual,$1.6m ($912.9k - $2.3m),$1.6m,1845.0,94.11,3636,200000 - 500000
485870,Super Duper Party Pooper,K Bros Games,Casual,$11.4k ($6.3k - $16.4k),$376.9k,1843.0,82.21,281,100000 - 200000
237630,DuckTales: Remastered,Capcom,Casual,$2.6m ($1.9m - $3.4m),$248m,1974.0,87.95,6301,200000 - 500000
1901370,Ib,PLAYISM,Casual,$1.6m ($1m - $2.1m),$86.3m,1822.0,99.04,4394,200000 - 500000
1316680,VLADiK BRUTAL,BRUTAL SOFTWARE,Casual,$1.3m ($861.2k - $1.9m),$1.4m,1511.0,89.95,8777,500000 - 1000000
2594540,Motel Manager Simulator,Denzone Games,Casual,$936.7k ($629.6k - $1.2m),$935.8k,1461.0,85.25,1336,50000 - 100000
3066570,Aotenjo: Infinite Hands,XD,Casual,$611.6k ($386.3k - $837k),$84.3m,1430.0,87.07,897,20000 - 50000
491530,Notruf 112 | Emergency Call 112,Aerosoft GmbH,Casual,$3.3m ($1.9m - $4.8m),$56.5m,1263.0,77.13,2886,500000 - 1000000
231740,Knights of Pen and Paper +1 Edition,Paradox Interactive,Casual,$796.4k ($414.2k - $1.1m),$1.1b,1328.0,83.01,1831,200000 - 500000
1205520,Pentiment,Xbox Game Studios,Casual,$3.9m ($2.6m - $5.1m),$1.8b,1250.0,95.12,8092,200000 - 500000
1866180,Hooked on You: A Dead by Daylight Dating Sim,Behaviour Interactive Inc.,Casual,$1.2m ($807.1k - $1.6m),$205.6m,1188.0,90.72,5582,200000 - 500000
1084520,雀姬/姫麻雀,Smile Tech,Casual,$942.2k ($549k - $1.3m),$942.6k,1175.0,0.0,0,200000 - 500000
2955840,Kitchen Wars,Perfect Gen,Casual,$144.7k ($58.9k - $230.6k),$145.3k,1130.0,83.33,48,0 - 20000
855740,Bum Simulator,Ragged Games,Casual,$1.5m ($937.2k - $2.2m),$1.5m,1115.0,88.48,4124,200000 - 500000
2830150,Super Mining Mechs,Delayed Victory,Casual,$171.3k ($107.8k - $234.7k),$376.3k,1050.0,88.5,687,50000 - 100000
481870,Mini Thief,GrabTheGames,Casual,$30k ($21.4k - $38.7k),$13.7m,1011.0,69.09,372,100000 - 200000
834740,Circle Empires,Iceberg Interactive,Casual,$1.7m ($1.1m - $2.4m),$34.2m,1003.0,89.08,3608,200000 - 500000
1364210,City Bus Manager,Aerosoft GmbH,Casual,$2m ($1.3m - $2.7m),$56.5m,973.0,90.98,2096,100000 - 200000
2950340,LEGO® Harry Potter™ Collection,Warner Bros. Games,Casual,$1.9m ($1.1m - $2.6m),$882.3m,926.0,80.86,888,20000 - 50000
994220,NEOVERSE,Tinogames Inc.,Casual,$1m ($712.6k - $1.4m),$1m,896.0,84.35,2863,200000 - 500000
3313310,Fishing The Abyss,umaaaaaa studio,Casual,$46.8k ($30.4k - $63.3k),$46.6k,878.0,95.45,374,0 - 20000
359260,Green Moon,Absolutist Ltd.,Casual,$7.5k ($1.5k - $13.5k),$141.4k,874.0,63.64,11,20000 - 50000
348360,Doodle God,JoyBits Ltd.,Casual,$149.8k ($91.7k - $207.9k),$343.2k,812.0,77.84,925,100000 - 200000
40700,Machinarium,Amanita Design,Casual,$4.3m ($3m - $5.6m),$11.1m,766.0,95.26,15426,1000000 - 2000000
283230,Spoiler Alert,tinyBuild,Casual,$69.5k ($39.9k - $99.2k),$179.6m,719.0,77.01,335,50000 - 100000
1352330,Zoo 2: Animal Park,upjers,Casual,$2.1m ($463.8k - $3.7m),$4.6m,714.0,0.0,0,50000 - 100000
1277930,Riddle Joker,NekoNyan Ltd.,Casual,$1.9m ($1.1m - $2.7m),$29.6m,703.0,98.25,5359,100000 - 200000
1636710,The Brew Barons,Lifetap Studios,Casual,$320k ($204.3k - $435.8k),$319.7k,665.0,77.17,762,20000 - 50000
1407860,Space Travel Idle,Spaceive,Casual,0,$0 ,663.0,0.0,0,0 - 20000
2521600,Little-Known Galaxy,Carbon & Kay,Casual,$401.9k ($254.5k - $549.3k),$402k,645.0,89.25,642,0 - 20000
2653940,Star Trek: Resurgence,Bruner House,Casual,$762.7k ($479.6k - $1m),$762.6k,645.0,89.72,2617,100000 - 200000
476240,KNIGHTS,Arzola's,Casual,$17.4k ($9.8k - $24.9k),$22.8k,636.0,94.03,754,50000 - 100000
1252560,Love Breakout,Neko Game,Casual,$10.8k ($5.9k - $15.7k),$187.5k,624.0,87.63,760,50000 - 100000
1251930,My Lovely Wife,Neon Doctrine,Casual,$355k ($207.4k - $502.5k),$16.2m,599.0,74.69,648,100000 - 200000
468700,NVIDIA VR Funhouse,Lightspeed Studios™,Casual,0,$0 ,592.0,84.21,19,200000 - 500000
2162680,Doom Sweeper,Paper Dog,Casual,$98.2k ($70.3k - $126.1k),$98.2k,568.0,74.42,735,50000 - 100000
1714320,Find Love or Die Trying,Sunseeker Games,Casual,$889.7k ($177.9k - $1.6m),$903k,542.0,94.54,183,200000 - 500000
991560,ONE PUNCH MAN: A HERO NOBODY KNOWS,BANDAI NAMCO Entertainment,Casual,$1.3m ($971.2k - $1.7m),$478.1m,502.0,53.56,1572,50000 - 100000
1216200,Coloring Game 2,L. Stotch,Casual,$886 ($628 - $1.1k),$283.1k,493.0,85.71,7,200000 - 500000
2091250,Koishi Navigation Desktop Youkai,地霊研究院,Casual,$767 ($153 - $1.3k),$49.1k,478.0,100.0,5,100000 - 200000
2539350,Myths of Rules,Sugarcane Games,Casual,$276.2k ($160.3k - $392.2k),$283k,464.0,88.64,968,200000 - 500000
1722860,Munchkin Digital,Dire Wolf,Casual,$1.2m ($682.1k - $1.8m),$14.6m,458.0,77.95,1211,100000 - 200000
1543280,Espresso Tycoon,PlayWay S.A.,Casual,$922.7k ($588.5k - $1.2m),$275.8m,453.0,86.19,1043,50000 - 100000
352520,The Silent Age,Meridian4,Casual,$323.4k ($221.1k - $425.7k),$872.1k,452.0,93.13,5909,200000 - 500000
2914480,Welcome to Maison Chichigami,Kagura Games,Casual,$323.7k ($200.7k - $446.6k),$63.4m,441.0,92.14,318,0 - 20000
2292650,Escape From Mystwood Mansion,Lost Sock Studio,Casual,$622.3k ($392.9k - $851.6k),$621.6k,386.0,93.23,665,50000 - 100000
2401680,Pet Shop Simulator,Games Incubator,Casual,$127.7k ($85.8k - $169.5k),$11.9m,384.0,67.79,208,20000 - 50000
3376990,Kabuto Park,Doot Tiny Games,Casual,$187.3k ($123.1k - $251.5k),$1m,376.0,99.78,2741,20000 - 50000
604500,Tank Force,XDEVS LTD,Casual,$5.5m ($2.8m - $8.2m),$7.7m,374.0,0.0,0,200000 - 500000
772430,Hero of the Kingdom III,Lonely Troops,Casual,$265.7k ($145.4k - $386k),$1.2m,370.0,79.09,1186,200000 - 500000
1070710,Kind Words (lo fi chill beats to write to),Popcannibal,Casual,$1m ($670.1k - $1.5m),$1.4m,360.0,98.3,7454,200000 - 500000
259810,Home Sheep Home: Farmageddon Party Edition,Greenlight Games,Casual,$211.3k ($126.1k - $296.4k),$212.5k,358.0,95.79,642,50000 - 100000
1291500,Kill It With Fire: Ignition,tinyBuild,Casual,0,$179.6m,347.0,0.0,0,0 - 20000
397090,Wind Child,Valkyria Games,Casual,$6.3k ($2.9k - $9.7k),$15.1k,354.0,70.89,79,50000 - 100000
2449040,Cursorblade,RealPeach,Casual,$271k ($182k - $360.1k),$271.1k,346.0,85.92,923,50000 - 100000
393200,Bad Rats Show,Strategy First,Casual,$48.2k ($31.4k - $65.1k),$11.8m,345.0,81.2,548,20000 - 50000
266390,Farm for your Life,Hammer Labs,Casual,$250.5k ($190.8k - $310.2k),$267.2k,337.0,80.81,495,50000 - 100000
582330,Warriors: Rise to Glory,Gavra Games,Casual,$270.6k ($178.3k - $362.9k),$270.6k,332.0,78.48,841,20000 - 50000
2213300,Might & Magic: Clash of Heroes - Definitive Edition,Dotemu,Casual,$263.5k ($177.9k - $349.2k),$30.5m,306.0,78.61,346,20000 - 50000
829420,Fun Hospital,OrangesGame Technology Limited,Casual,$60.3k ($34.6k - $86.1k),$60.4k,302.0,0.0,0,100000 - 200000
1466860,Age of Empires IV: Anniversary Edition,Xbox Game Studios,City Builder,$90.1m ($63.6m - $116.7m),$1.8b,73629.0,86.14,65688,2000000 - 5000000
916440,Anno 1800,Ubisoft,City Builder,$41.6m ($25.7m - $57.5m),$2.4b,25214.0,81.78,26747,1000000 - 2000000
255710,Cities: Skylines,Paradox Interactive,City Builder,$162.5m ($109.5m - $215.6m),$1.1b,57421.0,92.96,211212,10000000 - 20000000
703080,Planet Zoo,Frontier Developments,City Builder,$118.6m ($73.4m - $163.7m),$430.9m,38457.0,91.05,75386,2000000 - 5000000
242920,Banished,Shining Rock Software LLC,City Builder,$19.1m ($14.7m - $23.5m),$19.1m,24568.0,90.08,37277,2000000 - 5000000
1244460,Jurassic World Evolution 2,Frontier Developments,City Builder,$49.1m ($30.7m - $67.5m),$430.9m,20921.0,90.52,36945,1000000 - 2000000
493340,Planet Coaster,Frontier Developments,City Builder,$91.7m ($57.9m - $125.6m),$430.9m,21828.0,91.08,58332,2000000 - 5000000
933110,Age of Empires III: Definitive Edition,Xbox Game Studios,City Builder,$19.7m ($7.8m - $31.6m),$1.8b,18142.0,84.21,35645,1000000 - 2000000
233450,Prison Architect,Paradox Interactive,City Builder,$34.9m ($23.9m - $45.9m),$1.1b,16211.0,89.64,58730,5000000 - 10000000
1465460,Infection Free Zone,Games Operators,City Builder,$14m ($10.2m - $17.8m),$28.2m,19378.0,79.91,14287,500000 - 1000000
492720,Tropico 6,Kalypso Media,City Builder,$42.5m ($26.1m - $59m),$91.9m,15170.0,87.81,18832,1000000 - 2000000
1601580,Frostpunk 2,11 bit studios,City Builder,$27.6m ($19.9m - $35.4m),$176.2m,14925.0,74.83,18206,500000 - 1000000
2688950,Planet Coaster 2,Frontier Developments,City Builder,$15.2m ($10.7m - $19.7m),$430.9m,13648.0,70.73,10290,200000 - 500000
1937500,Let's School,Pathea Games,City Builder,$5.2m ($3.4m - $7.1m),$29.2m,7240.0,92.76,5442,200000 - 500000
1455840,Dorfromantik,Toukana Interactive,City Builder,$14.7m ($9.1m - $20.4m),$16.4m,7063.0,96.64,26389,1000000 - 2000000
1062090,Timberborn,Mechanistry,City Builder,$32.1m ($20.7m - $43.5m),$32m,13017.0,95.92,32002,1000000 - 2000000
333420,Cossacks 3,GSC Game World,City Builder,$10.4m ($7.3m - $13.5m),$20.3m,5533.0,81.69,11684,1000000 - 2000000
1509510,Settlement Survival,Team17,City Builder,$6.8m ($4.3m - $9.2m),$491.6m,5597.0,86.23,7359,200000 - 500000
933820,Endzone - A World Apart,Assemble Entertainment,City Builder,$7.3m ($4.3m - $10.4m),$24.3m,6374.0,76.15,8007,500000 - 1000000
1525700,Tavern Master,Untitled Studio,City Builder,$4.6m ($3m - $6.2m),$4.6m,5171.0,92.18,11657,200000 - 500000
503940,Railway Empire,Kalypso Media,City Builder,$16m ($10.2m - $21.8m),$91.9m,5404.0,82.63,7099,500000 - 1000000
3028310,Nordhold,HypeTrain Digital,City Builder,$3m ($1.9m - $4.1m),$66.7m,5383.0,88.33,2519,200000 - 500000
1465470,The Crust,Crytivo,City Builder,$3m ($1.9m - $4m),$23.4m,5101.0,76.27,2651,100000 - 200000
620590,Ancestors Legacy,Destructive Creations,City Builder,$4m ($2.4m - $5.6m),$11.9m,4962.0,80.0,5660,500000 - 1000000
2194530,Yog-Sothoth’s Yard,Bone Nail,City Builder,$3.9m ($2.4m - $5.5m),$4.5m,4971.0,93.86,9443,200000 - 500000
1112790,Automation Empire,DOG HOGGLER,City Builder,$2.3m ($1.3m - $3.3m),$2.7m,4669.0,65.61,2565,100000 - 200000
1593030,Terra Nil,Devolver Digital,City Builder,$6.9m ($4.7m - $9.1m),$501.4m,4540.0,87.36,7318,200000 - 500000
907650,Stronghold: Warlords,Firefly Studios,City Builder,$2.7m ($1.6m - $3.8m),$45.4m,4122.0,65.26,4303,200000 - 500000
2198510,New Cycle,Daedalic Entertainment,City Builder,$2.4m ($1.6m - $3.2m),$159.9m,3758.0,78.75,2372,100000 - 200000
1963040,The Lost Village,FunYoo Games,City Builder,$1.4m ($969k - $1.8m),$1.4m,3703.0,71.75,2627,500000 - 1000000
1956800,Thriving City: Song,IndieArk,City Builder,$2.5m ($1.7m - $3.3m),$96m,3758.0,80.99,2856,200000 - 500000
2292800,Blacksmith Master,Hooded Horse,City Builder,$2m ($1.3m - $2.7m),$205m,3699.0,83.54,1835,100000 - 200000
2680550,Hollywood Animal,Weappy Studio,City Builder,$1m ($652k - $1.4m),$1m,3521.0,73.41,3242,50000 - 100000
979120,Autonauts,Curve Games,City Builder,$2.4m ($1.5m - $3.3m),$196.4m,3598.0,90.1,3526,200000 - 500000
1457320,Techtonica,Fire Hose Games,City Builder,$4.4m ($3.1m - $5.6m),$4.5m,3442.0,65.03,2868,100000 - 200000
304730,Train Fever,Good Shepherd Entertainment,City Builder,$2.8m ($1.9m - $3.7m),$91m,3319.0,61.33,2754,200000 - 500000
758690,Occupy Mars: The Game,▲ Pyramid Games,City Builder,$1.6m ($1.1m - $2.1m),$2.4m,3318.0,72.47,2241,100000 - 200000
979110,Space Haven,Bugbyte Ltd.,City Builder,$9.2m ($6m - $12.4m),$9.5m,3186.0,86.02,8639,200000 - 500000
1043260,Gladiator Guild Manager,GrabTheGames,City Builder,$1.5m ($980.5k - $2.1m),$13.7m,3309.0,81.24,3508,200000 - 500000
1643310,Dungeons 4,Kalypso Media,City Builder,$3.9m ($2.7m - $5.2m),$91.9m,3122.0,87.44,2190,200000 - 500000
40970,Stronghold Crusader HD (2012),Firefly Studios,City Builder,$2.1m ($1.2m - $3.1m),$45.4m,2930.0,97.68,16990,1000000 - 2000000
1644320,Railway Empire 2,Kalypso Media,City Builder,$3.6m ($2.2m - $5m),$91.9m,3095.0,72.69,1739,100000 - 200000
809140,Cliff Empire,Lion's Shade,City Builder,$1.8m ($1.2m - $2.4m),$1.8m,3083.0,87.05,4139,500000 - 1000000
1700870,Clanfolk,Hooded Horse,City Builder,$3.4m ($1.9m - $5m),$205m,2770.0,91.33,3231,200000 - 500000
1450900,Desynced,Forklift Interactive,City Builder,$2.2m ($1.5m - $2.9m),$7.4m,2714.0,82.56,1307,100000 - 200000
673610,Airport CEO,Apog Labs,City Builder,$4.8m ($3.6m - $5.9m),$4.8m,2719.0,83.49,7434,500000 - 1000000
271240,Offworld Trading Company,Stardock Entertainment,City Builder,$8.4m ($5.3m - $11.5m),$62.5m,2698.0,76.97,3552,100000 - 200000
860890,Factory Town,Erik Asmussen,City Builder,$5.1m ($3.1m - $7.2m),$6.2m,2629.0,90.96,4060,200000 - 500000
1017900,Age of Empires: Definitive Edition,Xbox Game Studios,City Builder,$7m ($4.1m - $9.8m),$1.8b,2705.0,84.12,13481,500000 - 1000000
1073910,Before We Leave,Team17,City Builder,$1.4m ($849.7k - $2m),$491.6m,2290.0,78.29,1248,100000 - 200000
1817800,Oddsparks: An Automation Adventure,HandyGames,City Builder,$2.2m ($1.4m - $2.9m),$16.6m,1979.0,83.82,1687,100000 - 200000
2195120,Go-Go Town!,CULT Games,City Builder,$1.5m ($1.1m - $2m),$2.2m,2234.0,94.3,1808,100000 - 200000
534370,Pure Farming 2018,Techland Publishing,City Builder,$1.1m ($699k - $1.6m),$12.7m,1861.0,72.48,1032,200000 - 500000
1360000,The Infected,DigX Studios,City Builder,$2.2m ($1.4m - $3.1m),$2.2m,1930.0,85.17,6338,200000 - 500000
496460,Life is Feudal: Forest Village,Bitbox Ltd.,City Builder,$5.5m ($3.5m - $7.6m),$21.3m,1935.0,65.89,5168,200000 - 500000
728730,Holyday City: Reloaded,Holyday Studios,City Builder,$22.7k ($16.4k - $29k),$19.3m,1823.0,0.0,0,200000 - 500000
2262080,Omega Crafter,Preferred Networks,City Builder,$737.1k ($472.1k - $1m),$737.1k,1797.0,78.54,494,20000 - 50000
253250,Stonehearth,(none),City Builder,$8.8m ($5.5m - $12.1m),$8.8m,1821.0,76.62,10487,500000 - 1000000
225420,Cities in Motion 2,Paradox Interactive,City Builder,$2.5m ($508.3k - $4.5m),$1.1b,1736.0,61.06,1171,500000 - 1000000
2228280,MEMORIAPOLIS,5PM Studio,City Builder,$2m ($1.4m - $2.6m),$2.1m,1657.0,76.97,1598,50000 - 100000
2020710,Havendock,Pretty Soon,City Builder,$1.2m ($817.4k - $1.7m),$10.1m,1675.0,83.66,1383,50000 - 100000
894940,Littlewood,SmashGames,City Builder,$2.5m ($1.8m - $3.1m),$12.4m,1644.0,93.22,6019,200000 - 500000
1547890,Let's Build a Zoo,No More Robots,City Builder,$3.9m ($1.9m - $6m),$24.5m,1619.0,89.09,3564,200000 - 500000
231140,Cities XL Platinum,Focus Entertainment,City Builder,$1.1m ($237.8k - $2m),$728.4m,1638.0,58.06,1054,200000 - 500000
2290000,TerraScape,Stray Fawn Publishing,City Builder,$1.7m ($1m - $2.3m),$20.1m,1587.0,89.55,1837,200000 - 500000
2013240,Immortal Family,方块游戏(CubeGame),City Builder,$322k ($205.6k - $438.4k),$15.5m,1587.0,54.19,1146,50000 - 100000
1538570,Patron,Overseer Games,City Builder,$2.9m ($1.4m - $4.3m),$4.5m,1593.0,73.25,2789,100000 - 200000
39680,The Guild II Renaissance,THQ Nordic,City Builder,$912.5k ($531k - $1.2m),$387.4m,1244.0,81.73,3339,500000 - 1000000
2834600,My Little Life,9FingerGames,City Builder,$317.5k ($204.6k - $430.4k),$377.3k,1521.0,89.87,898,20000 - 50000
2400770,Dungeon Tycoon,Goblinz Publishing,City Builder,$896.9k ($622.1k - $1.1m),$29.1m,1518.0,78.71,1254,100000 - 200000
1875060,Reus 2,Firesquid,City Builder,$2.1m ($1.3m - $2.8m),$2.9m,1215.0,95.14,1955,50000 - 100000
1291340,Townscaper,Raw Fury,City Builder,$5.6m ($3.3m - $8m),$99.5m,1162.0,95.8,19761,1000000 - 2000000
1252780,Bloons Monkey City,Ninja Kiwi,City Builder,$216.7k ($136.7k - $296.6k),$64.7m,1166.0,100.0,5,200000 - 500000
1281630,Anno 1404 - History Edition,Ubisoft,City Builder,$3.5m ($1.7m - $5.3m),$2.4b,1152.0,81.97,3155,500000 - 1000000
1882500,Cattails: Wildwood Story,Falcon Development,City Builder,$473.3k ($307k - $639.6k),$1.2m,1142.0,97.53,1294,50000 - 100000
1024650,Port Royale 4,Kalypso Media,City Builder,$4.8m ($2.4m - $7.2m),$91.9m,1107.0,57.72,1296,20000 - 50000
1254320,Surviving the Abyss,Paradox Arc,City Builder,$1m ($703k - $1.3m),$14.6m,1069.0,65.44,978,100000 - 200000
1157220,Nebuchadnezzar,Astra Logical,City Builder,$1.1m ($743.3k - $1.5m),$2.5m,908.0,79.8,1371,100000 - 200000
521150,Another Brick in The Mall,The Quadsphere,City Builder,$1.5m ($1.1m - $2m),$1.5m,896.0,83.03,2274,200000 - 500000
2750080,The Settlers: New Allies,Ubisoft,City Builder,$641.8k ($395.9k - $887.7k),$2.4b,888.0,47.2,1017,20000 - 50000
1104330,Founders' Fortune,Dionic Software,City Builder,$1.4m ($936.8k - $2m),$3.7m,834.0,82.14,1831,50000 - 100000
1134710,NIMBY Rails,Weird and Wry,City Builder,$1.2m ($868.6k - $1.6m),$1.8m,824.0,89.48,2043,100000 - 200000
1743830,One Military Camp,Abylight Studios,City Builder,$1m ($691.1k - $1.4m),$2.3m,804.0,75.65,649,50000 - 100000
2144640,Endzone 2,Assemble Entertainment,City Builder,$872k ($571.7k - $1.1m),$24.3m,803.0,68.03,785,20000 - 50000
1336180,Floodland,Ravenscourt,City Builder,$618.6k ($372.2k - $864.9k),$6.1m,789.0,55.22,882,50000 - 100000
351860,Cultures - Northland,Daedalic Entertainment,City Builder,$16.6k ($8.9k - $24.2k),$159.9m,788.0,82.74,533,100000 - 200000
2807150,Worshippers of Cthulhu,Crytivo,City Builder,$1.6m ($1m - $2.2m),$23.4m,773.0,82.41,1177,100000 - 200000
1074070,Dust to the End,2P Games,City Builder,$201.2k ($120.5k - $281.8k),$43.1m,752.0,79.4,1034,100000 - 200000
840390,Spacebase Startopia,Kalypso Media,City Builder,$289k ($204.3k - $373.7k),$91.9m,647.0,57.38,366,20000 - 50000
1489970,Highrise City,Deck13,City Builder,$1.1m ($703.3k - $1.6m),$19.7m,646.0,78.12,1202,100000 - 200000
789660,Buggos,Intrepid Marmot,City Builder,$430.2k ($260.8k - $599.7k),$684.9k,688.0,87.75,1086,50000 - 100000
1304430,Viking Frontiers,GameHunters,City Builder,$193.2k ($122.6k - $263.8k),$193.2k,625.0,54.57,394,20000 - 50000
591370,Production Line : Car factory simulation,Positech Games,City Builder,$2m ($1.4m - $2.7m),$16.9m,631.0,81.29,3132,200000 - 500000
2012190,KAISERPUNK,Overseer Games,City Builder,$700.1k ($474.3k - $925.9k),$4.5m,632.0,71.64,663,20000 - 50000
2103470,Republic of Pirates,PQube,City Builder,$522.2k ($332.6k - $711.7k),$20.1m,608.0,71.59,352,20000 - 50000
2678990,Minami Lane,Doot Tiny Games,City Builder,$847.7k ($545.8k - $1.1m),$1m,587.0,97.59,5511,200000 - 500000
1864880,Roman Triumph: Survival City Builder,Forklift Interactive,City Builder,$572.4k ($377.8k - $766.9k),$7.4m,572.0,86.59,649,20000 - 50000
1847240,Game Dev Story,"Kairosoft Co., Ltd",City Builder,$512.7k ($270.2k - $755.3k),$5.6m,571.0,90.84,1256,100000 - 200000
1730250,Pan'orama,Awaken Realms,City Builder,$656.2k ($424.4k - $887.9k),$26.9m,567.0,89.5,1019,100000 - 200000
2206350,Farm Manager World,Sim Farm S.A.,City Builder,$560.3k ($378.5k - $742.2k),$4.6m,563.0,71.23,497,0 - 20000
1515950,Capcom Arcade Stadium,"CAPCOM Co., Ltd.",Fighting,$2.3m ($1.2m - $3.4m),$1.8b,481088.0,82.07,368,1000000 - 2000000
1755910,Capcom Arcade 2nd Stadium,"CAPCOM Co., Ltd.",Fighting,$1.8m ($1m - $2.7m),$1.8b,458580.0,66.1,177,1000000 - 2000000
629760,MORDHAU,Triternion,Fighting,$73.2m ($51.1m - $95.2m),$73.2m,60204.0,80.57,91286,2000000 - 5000000
1790600,DRAGON BALL: Sparking! ZERO,Bandai Namco Entertainment,Fighting,$89.5m ($64.3m - $114.7m),$1.7b,120000.0,88.76,46752,2000000 - 5000000
1203220,NARAKA: BLADEPOINT,NetEase Games Global,Fighting,$379.2m ($262.3m - $496.1m),$379.2m,385770.0,72.68,165400,10000000 - 20000000
678950,DRAGON BALL FighterZ,Bandai Namco Entertainment,Fighting,$54.6m ($39.2m - $69.9m),$1.7b,44234.0,90.91,53084,2000000 - 5000000
1384160,GUILTY GEAR -STRIVE-,Arc System Works,Fighting,$46m ($30.3m - $61.7m),$87.6m,30939.0,88.8,44766,1000000 - 2000000
1778820,TEKKEN 8,Bandai Namco Entertainment,Fighting,$64.3m ($45.5m - $83m),$1.7b,46139.0,55.7,39497,1000000 - 2000000
208650,Batman: Arkham Knight,WB Games,Fighting,$46.3m ($32.8m - $59.9m),$198.6m,25623.0,92.28,101926,2000000 - 5000000
1971870,Mortal Kombat 1,Warner Bros. Games,Fighting,$39m ($28.3m - $49.7m),$882.3m,26576.0,72.67,27568,500000 - 1000000
851850,DRAGON BALL Z: KAKAROT,Bandai Namco Entertainment Inc.,Fighting,$50m ($34.4m - $65.7m),$237.6m,25715.0,93.01,42360,1000000 - 2000000
544750,SOULCALIBUR VI,BANDAI NAMCO Entertainment,Fighting,$12.5m ($6.9m - $18.1m),$478.1m,14486.0,82.76,9357,1000000 - 2000000
473690,Absolver,Devolver Digital,Fighting,$9.8m ($5.3m - $14.3m),$501.4m,18921.0,73.93,11392,500000 - 1000000
323470,DRAGON BALL XENOVERSE,BANDAI NAMCO Entertainment,Fighting,$23m ($17.5m - $28.6m),$478.1m,22782.0,89.77,16753,1000000 - 2000000
775500,SCARLET NEXUS,BANDAI NAMCO Entertainment,Fighting,$22.1m ($14.5m - $29.7m),$478.1m,14479.0,81.52,13324,1000000 - 2000000
454650,DRAGON BALL XENOVERSE 2,Bandai Namco Entertainment,Fighting,$30.9m ($23m - $38.9m),$1.7b,13570.0,90.23,40751,1000000 - 2000000
1216060,DNF Duel,NEXON,Fighting,$3.9m ($2.5m - $5.4m),$184.6m,12324.0,64.07,3696,200000 - 500000
844870,KurtzPel,KOG,Fighting,$3.5m ($2.5m - $4.4m),$41.9m,11878.0,54.39,57,5000000 - 10000000
1742020,Idol Showdown,holo Indie,Fighting,0,$1.3m,10655.0,0.0,0,0 - 20000
242700,Injustice: Gods Among Us Ultimate Edition,Warner Bros. Interactive Entertainment,Fighting,$8.3m ($3.9m - $12.8m),$446.3m,10262.0,86.78,9604,1000000 - 2000000
629730,Blade and Sorcery,WarpFrog,Fighting,$36.8m ($26.9m - $46.6m),$36.8m,10235.0,96.71,56300,1000000 - 2000000
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,BANDAI NAMCO Entertainment,Fighting,$53.1m ($34.7m - $71.5m),$478.1m,8372.0,90.86,71482,2000000 - 5000000
1206610,Rubber Bandits,Flashbulb,Fighting,$1.9m ($1.1m - $2.8m),$14.6m,8346.0,84.86,5376,500000 - 1000000
1089090,ONE PIECE: PIRATE WARRIORS 4,BANDAI NAMCO Entertainment,Fighting,$20.1m ($12.3m - $27.8m),$478.1m,7222.0,91.84,16404,1000000 - 2000000
1451190,Undisputed,Deep Silver,Fighting,$13.3m ($8.7m - $17.9m),$567.3m,6858.0,62.44,17482,500000 - 1000000
200260,Batman: Arkham City - Game of the Year Edition,WB Games,Fighting,$10.5m ($6.6m - $14.3m),$198.6m,6822.0,95.88,51596,2000000 - 5000000
35140,Batman: Arkham Asylum Game of the Year Edition,WB Games,Fighting,$10m ($6.1m - $13.8m),$198.6m,6739.0,96.13,55760,2000000 - 5000000
1689620,BLEACH Rebirth of Souls,Bandai Namco Entertainment Inc.,Fighting,$5.7m ($3.6m - $7.7m),$237.6m,6611.0,67.38,4141,100000 - 200000
1602010,Persona 4 Arena Ultimax,SEGA,Fighting,$3.8m ($2.1m - $5.4m),$1.6b,5628.0,87.04,3589,200000 - 500000
578620,GORN,Devolver Digital,Fighting,$8.3m ($4.8m - $11.8m),$501.4m,5261.0,94.38,7415,200000 - 500000
1372110,JoJo's Bizarre Adventure: All-Star Battle R,Bandai Namco Entertainment,Fighting,$11.6m ($8.1m - $15.2m),$1.7b,5023.0,90.15,11229,200000 - 500000
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,BANDAI NAMCO Entertainment,Fighting,$10.8m ($6.9m - $14.7m),$478.1m,4677.0,89.16,10515,500000 - 1000000
2492040,FATAL FURY: City of the Wolves,SNK CORPORATION,Fighting,$4.4m ($3.3m - $5.5m),$35.7m,4592.0,82.31,2058,50000 - 100000
394310,Punch Club,tinyBuild,Fighting,$4.8m ($3.4m - $6.3m),$179.6m,4277.0,82.07,11631,1000000 - 2000000
331600,One Piece Pirate Warriors 3,BANDAI NAMCO Entertainment,Fighting,$9m ($6.8m - $11.2m),$478.1m,4242.0,80.08,8153,500000 - 1000000
245170,Skullgirls 2nd Encore,Autumn Games,Fighting,$10.2m ($6.8m - $13.7m),$10.2m,3916.0,88.96,22445,2000000 - 5000000
2918150,ONE PIECE Bounty Rush,Bandai Namco Entertainment Inc.,Fighting,$4m ($1.8m - $6.2m),$237.6m,3891.0,0.0,0,200000 - 500000
