appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,Steam_User_Score_Percent,Total_Reviews_Count,Owners_SteamSpy
2233790,Legendary Creatures 2,Thermite Games,4X,$285.9k ($193.2k - $378.6k),$5.1m,2346.0,70.82,867,200000 - 500000
427940,Industries of Titan,Brace Yourself Games,4X,$1.8m ($1.1m - $2.5m),$17m,2209.0,62.57,1531,100000 - 200000
544610,Battlestar Galactica Deadlock,Slitherine Ltd.,4X,$3.9m ($2.6m - $5.3m),$97.4m,2125.0,86.85,2578,200000 - 500000
702320,March of Empires,Gameloft,4X,$20.9m ($12.6m - $29.3m),$64.8m,2031.0,0.0,0,200000 - 500000
2511500,Dominions 6 - Rise of the Pantokrator,Illwinter Game Design,4X,$1.6m ($1.2m - $2.1m),$6.5m,1881.0,90.6,1405,20000 - 50000
887570,NEBULOUS: Fleet Command,Hooded Horse,4X,$2.4m ($1.4m - $3.3m),$205m,1814.0,82.41,3428,200000 - 500000
1822550,Microcivilization,Ondrej Homola,4X,$1.3m ($877.5k - $1.7m),$1.3m,1728.0,82.71,1203,50000 - 100000
378720,Thea: The Awakening,MuHa Games,4X,$2.8m ($1.9m - $3.7m),$3.9m,1696.0,88.11,3262,200000 - 500000
245370,Etherium,Focus Entertainment,4X,$1.3m ($273.8k - $2.4m),$728.4m,1672.0,39.83,467,100000 - 200000
1025440,Fantasy General II,Slitherine Ltd.,4X,$2.5m ($1.4m - $3.7m),$97.4m,1556.0,82.38,993,100000 - 200000
1119700,As Far As The Eye,Goblinz Publishing,4X,$1.6m ($1m - $2.2m),$29.1m,1499.0,73.21,1624,50000 - 100000
1357210,Galactic Civilizations IV,Stardock Entertainment,4X,$3.9m ($2.5m - $5.4m),$62.5m,1422.0,73.02,1868,200000 - 500000
2195410,Songs of Silence,Chimera Entertainment,4X,$1.8m ($1.3m - $2.3m),$1.8m,1406.0,79.19,1970,100000 - 200000
3900,Sid Meier's Civilization IV,2K,4X,$505.8k ($270.1k - $741.6k),$1.7b,1389.0,92.19,2652,1000000 - 2000000
606230,Thea 2: The Shattering,MuHa Games,4X,$1.1m ($738.3k - $1.4m),$3.9m,1334.0,79.9,1851,200000 - 500000
342560,Airships: Conquer the Skies,David Stark,4X,$2.2m ($1.6m - $2.8m),$2.3m,1313.0,95.93,5799,200000 - 500000
25800,Europa Universalis III Complete,Paradox Interactive,4X,$749.5k ($388.6k - $1.1m),$1.1b,1299.0,84.96,1363,200000 - 500000
419480,Starpoint Gemini Warlords,Little Green Men Games,4X,$3m ($2.1m - $3.8m),$11m,1246.0,72.53,3047,200000 - 500000
261470,Distant Worlds: Universe,Slitherine Ltd.,4X,$3.5m ($2.5m - $4.5m),$97.4m,1239.0,72.03,1405,100000 - 200000
718560,Scythe: Digital Edition,The Knights of Unity,4X,$3.3m ($2.1m - $4.6m),$3.7m,1201.0,90.15,3057,200000 - 500000
1606340,Conquest of Elysium 5,Illwinter Game Design,4X,$1.4m ($941.7k - $2m),$6.5m,1171.0,89.94,1253,200000 - 500000
722060,Dominions 5 - Warriors of the Faith,Illwinter Game Design,4X,$2m ($1.3m - $2.8m),$6.5m,1065.0,94.3,1911,200000 - 500000
1075190,A Game of Thrones: The Board Game - Digital Edition,Twin Sails Interactive,4X,$1.3m ($839.3k - $1.9m),$35.3m,1062.0,70.9,1646,200000 - 500000
2820,X3: Terran Conflict,Egosoft,4X,$1.4m ($723.6k - $2m),$37.8m,1019.0,84.66,2047,500000 - 1000000
1481170,ZEPHON,Proxy Studios,4X,$1.5m ($1m - $1.9m),$1.5m,1016.0,85.33,1466,50000 - 100000
1768280,Ozymandias: Bronze Age Empire Sim,Goblinz Publishing,4X,$795.5k ($436.9k - $1.1m),$29.1m,1012.0,89.61,1241,200000 - 500000
1264280,Slipways,Beetlewing,4X,$659.2k ($465.1k - $853.3k),$659.3k,1012.0,93.06,2146,200000 - 500000
2118810,Breachway,Hooded Horse,4X,$809.2k ($571.7k - $1m),$205m,969.0,74.07,1126,50000 - 100000
205990,Warlock 2: The Exiled,Paradox Interactive,4X,$809.8k ($588.6k - $1m),$1.1b,978.0,68.83,972,200000 - 500000
2001070,Heart of the Machine,Hooded Horse,4X,$754.9k ($525.6k - $984.3k),$205m,949.0,93.04,1265,20000 - 50000
1681060,Exogate Initiative,Xeno Bits,4X,$654.3k ($448.7k - $859.9k),$654.4k,949.0,75.57,618,50000 - 100000
42990,Sword of the Stars II: Enhanced Edition,Paradox Interactive,4X,$385k ($221.7k - $548.3k),$1.1b,932.0,44.49,672,200000 - 500000
357310,Oriental Empires,Iceberg Interactive,4X,$2.7m ($1.9m - $3.5m),$34.2m,866.0,80.14,2558,50000 - 100000
265970,Worlds of Magic,Conglomerate 5,4X,$668.6k ($442.8k - $894.4k),$2.5m,805.0,46.08,408,200000 - 500000
577230,Three Kingdoms The Last Warlord,LongYou Tech Ltd,4X,$1.2m ($812.7k - $1.6m),$1.2m,785.0,69.9,3498,200000 - 500000
2420880,WitchHand,HopFrog,4X,$236.9k ($170.5k - $303.4k),$299.8k,747.0,91.59,547,20000 - 50000
659540,Warsim: The Realm of Aslona,Huw Millward,4X,$256.1k ($160.1k - $352.1k),$256k,741.0,96.3,1890,100000 - 200000
201290,Sins of a Solar Empire: Trinity,Stardock Entertainment,4X,$548.2k ($170.9k - $925.5k),$62.5m,733.0,78.64,674,100000 - 200000
1623070,Master of Magic,Slitherine Ltd.,4X,$1.4m ($772.6k - $2.1m),$97.4m,732.0,71.05,943,50000 - 100000
1395760,Reshaping Mars,Yooreka Studio,4X,$220.1k ($158.4k - $281.8k),$3m,640.0,84.55,751,100000 - 200000
1356810,Hexarchy,Yogscast Games,4X,$1.2m ($772k - $1.7m),$37.9m,630.0,84.26,934,50000 - 100000
241000,Jon Shafer's At the Gates,Conifer Games,4X,$290k ($202.5k - $377.5k),$290k,628.0,39.44,393,20000 - 50000
1683320,Power & Revolution 2021 Edition,Eversim,4X,$567.1k ($311.6k - $822.6k),$6.7m,603.0,57.12,625,20000 - 50000
1154840,Shadow Empire,Matrix Games,4X,$991k ($580.1k - $1.4m),$17.2m,594.0,85.98,1141,20000 - 50000
1901910,Ultimate General: American Revolution,Game-Labs,4X,$1.1m ($724.4k - $1.4m),$21m,559.0,53.05,837,20000 - 50000
1116880,The Heroic Legend of Eagarlnia,Pixmain,4X,$450.2k ($323k - $577.5k),$2m,558.0,85.13,1513,50000 - 100000
2340500,Three Kingdoms: Innovatory,Moment HK,4X,$222.7k ($149k - $296.3k),$222.7k,555.0,60.06,934,20000 - 50000
499660,Medieval Kingdom Wars,indie.io,4X,$2.2m ($1.5m - $2.9m),$36.8m,544.0,77.09,2222,50000 - 100000
