appid,name,publisher_main,SampledGenre,game_revenue,publisher_revenue
971620,Puyo Puyo Champions,SEGA,Fighting,$207.1k ($116.9k - $297.3k),$1.6b
366240,GAROU: MARK OF THE WOLVES,SNK CORPORATION,Fighting,$156.5k ($107.8k - $205.3k),$35.7m
980300,One Finger Death Punch 2,Silver Dollar Games,Fighting,$388.8k ($229.2k - $548.4k),$2.6m
794580,SNK HEROINES Tag Team Frenzy,SNK CORPORATION,Fighting,$510.6k ($337.8k - $683.4k),$35.7m
586140,BlazBlue Centralfiction,"H2 Interactive Co., Ltd.",Fighting,$9.5m ($6.4m - $12.5m),$16.1m
884180,Robot Rumble 2,"Nerd Island Studios, LLC",Fighting,0,$0 
329490,Phantom Breaker: Battle Grounds Classic,Rocket Panda Games,Fighting,$1m ($731k - $1.3m),$1.3m
1041720,Kingdoms of Amalur: Re-Reckoning,THQ Nordic,Fighting,$13.2m ($8.8m - $17.6m),$387.4m
1217050,Shaolin vs Wutang 2,J.Bowman,Fighting,$125.5k ($79.4k - $171.6k),$135.4k
304390,FOR HONOR,Ubisoft,Fighting,$171.8m ($107.4m - $236.2m),$2.4b
2955840,Kitchen Wars,Perfect Gen,Fighting,$144.7k ($58.9k - $230.6k),$136.9k
922500,KILL la KILL -IF,Arc System Works,Fighting,$1m ($655.6k - $1.4m),$87.6m
528550,Drunkn Bar Fight,The Munky,Fighting,$1.2m ($773.5k - $1.7m),$1.2m
1163550,Captain Tsubasa: Rise of New Champions,BANDAI NAMCO Entertainment,Fighting,$5.1m ($3.1m - $7m),$478.1m
240460,WWE 2K15,,Fighting,0,ERROR
1058450,MY HERO ONE'S JUSTICE 2,BANDAI NAMCO Entertainment,Fighting,$2.3m ($1.4m - $3.2m),$478.1m
488730,God's Trigger,Techland Publishing,Fighting,$361.2k ($213.7k - $508.7k),$12.7m
394310,Punch Club,tinyBuild,Fighting,$4.8m ($3.4m - $6.3m),$178.8m
702110,THE LAST BLADE 2,SNK CORPORATION,Fighting,$84.6k ($42k - $127.3k),$35.7m
94400,Nidhogg,Messhof,Fighting,$5.9m ($3.2m - $8.6m),$7.1m
1669170,Northend Tower Defense,Northend Games,Fighting,$432.7k ($259.4k - $606k),$432.7k
1685750,Capcom Fighting Collection,"CAPCOM Co., Ltd.",Fighting,$1.9m ($960.4k - $2.8m),$1.8b
1215390,Animal Revolt Battle Simulator,VDimension,Fighting,$2.7m ($1.4m - $3.9m),$2.7m
1515950,Capcom Arcade Stadium,"CAPCOM Co., Ltd.",Fighting,$2.3m ($1.2m - $3.4m),$1.8b
801630,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],Arc System Works,Fighting,$4.3m ($2.4m - $6.3m),$87.6m
1420350,Fraymakers,Team Fray,Fighting,$976.5k ($636.9k - $1.3m),$974.7k
556050,Hyper Jam,Bit Dragon,Fighting,$260.3k ($153.8k - $366.8k),$260.4k
535520,Nidhogg 2,Messhof,Fighting,$1.1m ($785.5k - $1.5m),$7.1m
252350,Double Dragon: Neon,Midnight City,Fighting,$574k ($328.3k - $819.7k),$1.1m
1664200,Duelists of Eden,Thomas Moon Kang,Fighting,$104.3k ($64.7k - $143.9k),$105.4k
716710,東方憑依華　～ Antinomy of Common Flowers.,"SUNFISH Co., Ltd.",Fighting,$1.1m ($734.6k - $1.6m),$1.4m
251470,TowerFall Ascension,Maddy Makes Games Inc.,Fighting,$1m ($682.9k - $1.4m),$26.6m
798510,SUPER DRAGON BALL HEROES WORLD MISSION,BANDAI NAMCO Entertainment,Fighting,$2.5m ($1.6m - $3.4m),$478.1m
954070,Beat Boxers,BYU Center for Animation,Fighting,0,$0 
411830,SENRAN KAGURA SHINOVI VERSUS,XSEED Games,Fighting,$3m ($2.2m - $3.8m),$125.7m
1527910,Gladio and Glory,Adi Zhavo,Fighting,0,$3.4k
546050,Puyo PuyoTetris,SEGA,Fighting,$3.5m ($2.4m - $4.5m),$1.6b
307780,Mortal Kombat X,Warner Bros. Games,Fighting,$51m ($33.7m - $68.4m),$882.3m
629730,Blade and Sorcery,WarpFrog,Fighting,$36.8m ($26.9m - $46.6m),$36.8m
2492040,FATAL FURY: City of the Wolves,SNK CORPORATION,Fighting,$4.4m ($3.3m - $5.5m),$35.7m
3391450,GORN 2,Devolver Digital,Fighting,$417.2k ($306.5k - $527.9k),$501.4m
728240,Adventure Time: Pirates of the Enchiridion,Outright Games Ltd.,Fighting,$309.6k ($236.9k - $382.3k),$6.1m
795510,Koihime Enbu RyoRaiRai,KOMODO,Fighting,$67.8k ($37.4k - $98.2k),$17.2m
1244950,Battletoads,Microsoft Studios,Fighting,$1m ($696.5k - $1.3m),$1m
792570,BattleCON: Online,Level 99 Games,Fighting,0,$4.2k
965680,Boomerang Fu,Cranky Watermelon,Fighting,$1.4m ($715.9k - $2.1m),$1.4m
856880,Fighting Fantasy Classics,Tin Man Games,Fighting,0,$1.1m
383840,Nimbatus - The Space Drone Constructor,Stray Fawn Publishing,Fighting,$1.8m ($1.1m - $2.6m),$20.1m
1835240,Spiritfall,Gentle Giant,Fighting,$828.5k ($613.2k - $1m),$828.5k
1386040,Jelly Brawl: Classic,Tiny Shiny Things,Fighting,0,$12k
208650,Batman: Arkham Knight,WB Games,Fighting,$46.4m ($32.8m - $59.9m),$198.6m
1000360,Hellish Quart,Kubold,Fighting,$4.7m ($3m - $6.3m),$4.7m
245170,Skullgirls 2nd Encore,Autumn Games,Fighting,$10.2m ($6.8m - $13.7m),$10.2m
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,SNK CORPORATION,Fighting,$1.6m ($1m - $2.1m),$35.7m
838380,DEAD OR ALIVE 6,"KOEI TECMO GAMES CO., LTD.",Fighting,$12.3m ($5.8m - $18.7m),$424.5m
2157560,Granblue Fantasy Versus: Rising,"Cygames, Inc.",Fighting,$9.3m ($6m - $12.5m),$209.8m
3027930,Karate Survivor,Alawar,Fighting,$580.5k ($396.6k - $764.4k),$13.3m
1451190,Undisputed,Deep Silver,Fighting,$13.3m ($8.7m - $17.9m),$567.3m
1198760,League of Pixels - 2D MOBA,Danius,Fighting,0,$0 
202090,Magicka: Wizard Wars,,Fighting,0,ERROR
871200,FIGHTING EX LAYER,ARIKA,Fighting,$266.8k ($199.2k - $334.4k),$594.7k
226320,Marvel Heroes Omega,,Fighting,0,ERROR
200260,Batman: Arkham City - Game of the Year Edition,WB Games,Fighting,$10.5m ($6.6m - $14.3m),$198.6m
536560,CHAOS CODE -NEW SIGN OF CATASTROPHE-,Arc System Works,Fighting,$169.2k ($99.7k - $238.7k),$87.6m
454650,DRAGON BALL XENOVERSE 2,Bandai Namco Entertainment,Fighting,$30.9m ($23m - $38.9m),$1.7b
348550,GUILTY GEAR XX ACCENT CORE PLUS R,Arc System Works,Fighting,$2.1m ($1.3m - $2.8m),$87.6m
674940,Stick Fight: The Game,Landfall,Fighting,$27.1m ($16.7m - $37.6m),$200.8m
553310,Lethal League Blaze,Team Reptile,Fighting,$2.8m ($1.4m - $4.3m),$18.8m
1790600,DRAGON BALL: Sparking! ZERO,Bandai Namco Entertainment,Fighting,$89.5m ($64.3m - $114.7m),$1.7b
294000,Knight Squad,Chainsawesome Games,Fighting,$238.3k ($53.2k - $423.4k),$300.4k
995050,Havocado: Ragdoll Fighter,Webble Games,Fighting,$362.4k ($204.5k - $520.3k),$363k
546390,Brief Karate Foolish,Henteko Doujin,Fighting,0,$1.4m
1372280,MELTY BLOOD: TYPE LUMINA,Lasengle Inc.,Fighting,$9.7m ($6.9m - $12.5m),$9.7m
248570,Toribash,"Nicalis, Inc.",Fighting,0,$84.8m
1739300,Smack Studio,ThirdPixel Interactive,Fighting,$217.4k ($109.2k - $325.6k),$217.4k
1090630,Granblue Fantasy: Versus,XSEED Games,Fighting,$14.7m ($8.4m - $21.1m),$125.7m
691260,POPULATION: ONE,"BigBox VR, Inc.",Fighting,$2.5m ($1.8m - $3.1m),$2.5m
661990,Arcana Heart 3 LOVEMAX SIXSTARS!!!!!! XTEND,Arc System Works,Fighting,$398.7k ($200.8k - $596.5k),$87.6m
25000,Overgrowth,Wolfire Games,Fighting,$6.9m ($4.5m - $9.4m),$8.9m
209000,Batman: Arkham Origins,Warner Bros. Interactive Entertainment,Fighting,$25.2m ($15.8m - $34.7m),$446.3m
727850,ELDERBORN,Hyperstrange,Fighting,$696.3k ($349.9k - $1m),$8.5m
311730,DEAD OR ALIVE 5 Last Round: Core Fighters,"KOEI TECMO GAMES CO., LTD.",Fighting,$6.6m ($4.2m - $9m),$424.5m
209120,Street Fighter X Tekken,"Capcom U.S.A., Inc.",Fighting,$15.4k ($8.4k - $22.3k),$15.4k
418620,The TakeOver,Pelikan13,Fighting,$203.1k ($137.8k - $268.5k),$203.1k
2102450,Enotria: The Last Song,Jyamma Games,Fighting,$1.3m ($855.4k - $1.9m),$1.3m
1428470,Stowaway,Sandstorm Studios Inc.,Fighting,$68.7k ($25.7k - $111.7k),$2.6m
804490,Creed: Rise to Glory,Survios,Fighting,$1.2m ($745.8k - $1.7m),$9.1m
357190,ULTIMATE MARVEL VS. CAPCOM 3,"CAPCOM U.S.A., INC.",Fighting,$7.1m ($4.4m - $9.8m),$7.1m
1343240,Thymesia,Team17,Fighting,$4.2m ($3m - $5.4m),$491.6m
1786230,Breakers Collection,QUByte Interactive,Fighting,$37.9k ($27.8k - $47.9k),$510.4k
633230,NARUTO TO BORUTO: SHINOBI STRIKER,Bandai Namco Entertainment,Fighting,$24.1m ($15.8m - $32.4m),$1.7b
388750,BlazBlue: Chronophantasma Extend,"H2 Interactive Co., Ltd.",Fighting,$2m ($1.3m - $2.8m),$16.1m
1331510,Battle Talent,CyDream,Fighting,$1m ($790.7k - $1.3m),$1m
990050,Death end re;Quest,Idea Factory International,Horror,$1.5m ($1m - $2m),$37.9m
1215090,My Friend is a Raven,Two Star Games,Horror,0,$7.4m
3292260,Amenti,Darkphobia Games,Horror,$533.6k ($364.4k - $702.7k),$830.4k
45770,Dead Rising 2: Off the Record,Capcom,Horror,$1.7m ($1m - $2.4m),$248m
1729140,Hired 2 Die,Electric Monkeys,Horror,$139.7k ($86.1k - $193.2k),$140.7k
221040,Resident Evil 6,Capcom,Horror,$38.6m ($27.7m - $49.4m),$248m
2304620,Backrooms Society,Mikael Bihl,Horror,$267.5k ($177.8k - $357.2k),$267.5k
2370570,Standable: Full Body Estimation,,Horror,0,ERROR
624270,The Painscreek Killings,EQ Studios,Horror,$866.7k ($544.3k - $1.1m),$1.8m
2008980,XENOTILT: HOSTILE PINBALL ACTION,FLARB LLC,Horror,$290.7k ($218.8k - $362.7k),$798.3k
871100,Animyst,Animyst Games,Horror,0,$0 
1011190,SIMULACRA 2,Neon Doctrine,Horror,$286.1k ($201.4k - $370.8k),$16.2m
361300,Mother Russia Bleeds,Devolver Digital,Horror,$1.8m ($1.2m - $2.3m),$501.4m
10090,Call of Duty: World at War,Activision,Horror,$34.5m ($23.9m - $45m),$1.5b
744190,Rusty Lake Paradise,Rusty Lake,Horror,$481.4k ($291.5k - $671.3k),$9.3m
688650,You Doesn't Exist,yo252yo,Horror,0,$0 
550340,Umineko: Golden Fantasia,MangaGamer,Horror,$470.9k ($294.9k - $646.9k),$15.5m
1574260,My Friendly Neighborhood,DreadXP,Horror,$2.1m ($1.6m - $2.7m),$18.5m
1059990,Trombone Champ,Holy Wow Studios LLC,Horror,$5.6m ($3.7m - $7.6m),$5.6m
1394270,SCP: Escape Together,SCP: Escape Together development team,Horror,0,$0 
648100,Raging Loop,KEMCO,Horror,$4.1m ($2.5m - $5.7m),$4.7m
1293160,The Medium,Bloober Team SA,Horror,$3.2m ($2m - $4.4m),$23.6m
914020,Gibbous -  A Cthulhu Adventure,Stuck In Attic,Horror,$492.1k ($336.7k - $647.4k),$543.4k
457210,SEUM: Speedrunners from Hell,Pine Studio,Horror,$450.3k ($288.9k - $611.7k),$31.7m
2475490,Mouthwashing,CRITICAL REFLEX,Horror,$6.6m ($4.6m - $8.6m),$34.5m
2488590,Dungeons of Blood and Dream,Lori Vornoy,Horror,$447.5k ($297.7k - $597.3k),$447.2k
2916430,Fast Food Simulator,No Ceiling Games,Horror,$11.2m ($6.6m - $15.8m),$11.2m
2123640,Hollowbody,Headware Games,Horror,$379k ($247k - $511k),$524.8k
286480,Black Mirror III,THQ Nordic,Horror,$45k ($27.7k - $62.4k),$387.4m
1177660,Escape the Ayurok,DeadlyCrow Games,Horror,$428.4k ($275.8k - $581k),$444.1k
2793710,Dollmare,Almost Done Games,Horror,$266.7k ($183k - $350.5k),$266.1k
1602080,Soulstice,Maximum Entertainment,Horror,$923.2k ($560k - $1.2m),$32.3m
2500,Shadowgrounds,Frozenbyte,Horror,$276.9k ($55.3k - $498.5k),$30.2m
3100210,My Sweet! Housemate,sourmilk,Horror,$18.9k ($10.5k - $27.3k),$18.9k
357190,ULTIMATE MARVEL VS. CAPCOM 3,"CAPCOM U.S.A., INC.",Horror,$7.1m ($4.4m - $9.8m),$7.1m
1293230,House of Detention,Dungeon Master,Horror,$141.9k ($35.1k - $248.6k),$190.6k
896460,Lucah: Born of a Dream,Syndicate Atomic LLC.,Horror,$201k ($118.3k - $283.7k),$227.4k
1604000,Milk outside a bag of milk outside a bag of milk,Nikita Kryukov,Horror,$1.8m ($1.3m - $2.4m),$1.9m
2317640,JUMP KING QUEST,Nexile,Horror,$419.2k ($281.2k - $557.2k),$5.9m
1129030,Endless Fables 4: Shadow Within,Artifex Mundi,Horror,$99.8k ($19.9k - $179.6k),$8.4m
239250,Castlevania: Lords of Shadow 2,KONAMI,Horror,$5.8m ($4.1m - $7.5m),$639.8m
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,Horror,$28.3m ($18.2m - $38.3m),$20.1m
914620,Mist Survival,Dimension 32 Entertainment,Horror,$4.8m ($3.3m - $6.3m),$4.8m
1034940,Higurashi When They Cry Hou - Ch.7 Minagoroshi,MangaGamer,Horror,$152.3k ($85.3k - $219.3k),$15.5m
485870,Super Duper Party Pooper,K Bros Games,Horror,$11.4k ($6.3k - $16.4k),$376.9k
317530,Congo,First release date: Sat Nov 01 2014,Horror,$34.9k ($20.5k - $49.3k),ERROR
1000410,WRATH: Aeon of Ruin,3D Realms,Horror,$1.6m ($896.4k - $2.3m),$19.1m
2826800,Amanda the Adventurer 2,DreadXP,Horror,$311.7k ($200.9k - $422.5k),$18.5m
848450,Subnautica: Below Zero,Unknown Worlds Entertainment,Horror,$48.7m ($38m - $59.4m),$185.6m
2620500,imomushi,AMURu,Horror,$22.1k ($13.7k - $30.4k),$22.1k
3730,Aliens versus Predator Classic 2000,Rebellion,Horror,$514.2k ($329.2k - $699.1k),$224.9m
2925970,The Unholy Priest,Grejuva,Horror,$80.1k ($57.2k - $103k),$743k
429600,Fairy Tale Mysteries: The Puppet Thief,Artifex Mundi,Horror,$116.5k ($37.7k - $195.3k),$8.4m
2208570,Dark Hours,Piece of Cake studios,Horror,$3.5m ($2m - $4.9m),$3.8m
332800,Five Nights at Freddy's 2,Scott Cawthon,Horror,$6.8m ($4m - $9.5m),$27.7m
1708110,Misericorde: Volume One,XEECEE,Horror,$38k ($23.4k - $52.5k),$71.4k
2025320,Estencel,Rone Vine,Horror,$35.4k ($15.1k - $55.7k),$1.4m
2166060,Amanda the Adventurer,DreadXP,Horror,$1.7m ($1.2m - $2.3m),$18.5m
2497900,DON'T SCREAM,Digital Cybercherries,Horror,$1.4m ($1m - $1.9m),$6.9m
250380,Knock-knock,Ice-Pick Lodge,Horror,$407.6k ($220.4k - $594.7k),$1m
416290,Bleeding Border,Volens Nolens Games,Horror,$7.2k ($3.8k - $10.6k),$658.4k
557630,Hello Charlotte EP2: Requiem Aeternam Deo,etherane,Horror,0,$119.6k
3140990,Backrooms Cleanup Crew,On The Bridge Games,Horror,$171.2k ($113.7k - $228.7k),$169.1k
1107230,The 13th Doll: A Fan Game of The 7th Guest,Attic Door Productions,Horror,$61.7k ($20.1k - $103.4k),$61.7k
1295920,The Mortuary Assistant,DreadXP,Horror,$9.2m ($5.9m - $12.4m),$18.5m
269790,DreadOut,Digital Happiness,Horror,$1.3m ($900.4k - $1.8m),$2m
3193730,Seek,cloud_li,Horror,$7k ($2.9k - $11.1k),$7k
430070,Never Again,Primary Games,Horror,$152.2k ($97.7k - $206.7k),$152.2k
1719660,My Cute Succubus,Tranquility games,Horror,$3.8k ($774 - $6.9k),$331.8k
8330,Telltale Texas Hold ‘Em,Telltale,Horror,$4.9k ($999 - $8.9k),$25.7m
1291500,Kill It With Fire: Ignition,tinyBuild,Horror,0,$178.8m
1194840,Frog Fractions: Game of the Decade Edition,"Twinbeard, Inc.",Horror,0,$0 
2539520,Z.O.N.A: Origin,AGaming+,Horror,$119k ($74.5k - $163.4k),$190k
1971870,Mortal Kombat 1,Warner Bros. Games,Horror,$39.1m ($28.3m - $49.9m),$882.3m
2882870,Doll Impostor,HeadArrow,Horror,$112.3k ($72.6k - $151.9k),$139.4k
457570,Camp Sunshine,Hound Picked Games,Horror,$36.6k ($10.3k - $62.8k),$292.3k
1373510,BloodRayne: Terminal Cut,Ziggurat,Horror,$557.2k ($304.4k - $810k),$2.9m
232090,Killing Floor 2,Tripwire Interactive,Horror,$92.1m ($62.9m - $121.4m),$237.9m
332200,Axiom Verge,Thomas Happ Games LLC,Horror,$3.2m ($2.5m - $4m),$3.6m
582550,Passpartout: The Starving Artist,Flamebait Games,Horror,$3.1m ($2.2m - $4m),$4.5m
210550,Angry Birds Space,,Horror,0,ERROR
1032590,Heaven Dust,indienova,Horror,$83.2k ($46.3k - $120.2k),$41.5m
783840,Lakeview Valley,Roope Tamminen,Horror,$253.6k ($168.6k - $338.6k),$791k
404590,Vikings - Wolves of Midgard,Kalypso Media Digital,Horror,$2.6m ($1.6m - $3.5m),$47.6m
274940,Depth,Digital Confectioners,Horror,$11.7m ($7.9m - $15.4m),$11.7m
709900,Deep Dark Fantasies,,Horror,0,ERROR
801800,Atomfall,Rebellion,Horror,$5.9m ($4.3m - $7.4m),$224.9m
741250,The Sand Man,PLAYISM,Horror,$33.6k ($16.4k - $50.8k),$86.3m
1726400,The Death | Thần Trùng,DUT Studio,Horror,$165.8k ($99.5k - $232k),$165.8k
1883580,Cactus Simulator,Dynamic Games,Horror,$2.7k ($662 - $4.8k),$11.1k
356040,Sheltered,Team17 Digital Ltd,Horror,$3.2m ($2m - $4.4m),$25.9m
505230,Pathologic 2,tinyBuild,Horror,$5.6m ($3.8m - $7.4m),$178.8m
2311190,Garten of Banban 3,Euphoric Brothers,Horror,$234.2k ($139.6k - $328.7k),$3.1m
360150,How To Survive: Third Person Standalone,505 Games,Horror,$449.5k ($291.3k - $607.7k),$293.6m
2790330,Blood Typers,Outer Brain Studios,Horror,$657.9k ($393.9k - $921.9k),$862.7k
435120,Rusty Lake Hotel,Rusty Lake,Horror,$208.1k ($97.3k - $318.8k),$9.3m
1008710,Wet Girl,Shoot Girl,Horror,$80.5k ($46.9k - $114.1k),$436.4k
935580,True Fear: Forsaken Souls Part 2,The Digital Lounge,Horror,$184.9k ($92.6k - $277.2k),$879.8k
489360,CASE: Animatronics,Walnut LLC,Horror,$447.9k ($274.1k - $621.8k),$627.6k
510660,Big Bang Empire,Synapse Group Limited,Horror,0,$0 
1198320,DOTOKOI / 像素男友,Pujia8 Studio,Indie,0,$305k
2122090,Forgotten but Unbroken,MicroProse Software,Indie,$148.9k ($86.8k - $211k),$43.6m
887370,Element Space,Inca Games,Indie,$103.6k ($48.4k - $158.9k),$133k
2757330,Class of '09: The Flip Side,Wrath Club,Indie,$526k ($309.4k - $742.7k),$2.4m
510840,Evolvation,HyperReuts,Indie,$180.7k ($36.1k - $325.3k),$180.7k
632360,Risk of Rain 2,Gearbox Publishing,Indie,$153.6m ($102.5m - $204.7m),$259.9m
642390,Blocksworld,Fortell Games,Indie,0,$44.4k
2825250,3秒ばなな,Rikuya Waki,Indie,$1.8k ($793 - $2.9k),$3.1k
264380,Narcissu 1st & 2nd,Sekai Project,Indie,0,$39.2m
352070,Fort Meow,Upper Class Walrus,Indie,$53.2k ($22k - $84.4k),$72k
1059980,Just King,VISH,Indie,$371.3k ($233.2k - $509.4k),$371.3k
406160,Dust Fleet,indie.io,Indie,$109.7k ($82.3k - $137k),$36.8m
385270,Jet Racing Extreme: The First Encounter,Real Dynamics,Indie,$81.4k ($16.2k - $146.6k),$81.4k
879050,Drakkar Crew,SiBear Games,Indie,$11.6k ($6.5k - $16.7k),$14.3k
250460,Bridge Constructor,Headup,Indie,$230k ($107.5k - $352.4k),$14m
1233410,MicroWorks,Agiriko,Indie,$103.7k ($37.7k - $169.7k),$103.7k
984800,Automachef,Team17 Digital Ltd,Indie,$334.3k ($186.6k - $481.9k),$25.9m
360870,Ultimate Tic-Tac-Toe,Tigerish Games,Indie,0,$398 
2986790,Monster Hunting: Incremental Grind Forever,TCS Developer,Indie,$3k ($1.6k - $4.4k),$3.6k
1590230,Tyrion Cuthbert: Attorney of the Arcane,Diamondhenge Entertainment,Indie,$278.1k ($174.2k - $382k),$278.3k
1921770,The Manga Works,"Kairosoft Co., Ltd",Indie,$96.2k ($49.2k - $143.2k),$5.6m
1519490,The Doors of Trithius,Jake Donkersgoed,Indie,$259k ($188.8k - $329.3k),$259k
1383640,Attack at Dawn: North Africa,Panzer Division Games,Indie,$66.7k ($39.2k - $94.2k),$66.7k
962400,Granny,DVloper,Indie,$940.2k ($691.1k - $1.1m),$1.2m
1708110,Misericorde: Volume One,XEECEE,Indie,$38k ($23.4k - $52.5k),$71.4k
1471910,Killer Sudoku,Studio Goya,Indie,$19.8k ($10.7k - $28.9k),$287.2k
879250,Dot to Dot Puzzles,Online OciGrup SL,Indie,0,$7.3k
1260520,Patrick's Parabox,Patrick Traynor,Indie,$2m ($1.4m - $2.7m),$2.1m
2837600,The Alto Collection,Snowman,Indie,$14.4k ($8.5k - $20.3k),$77.9k
998150,荒野大蛮神,FrozenStudio,Indie,$1.4k ($707 - $2.1k),$1.4k
3461920,The Boba Teashop,Mike Ten,Indie,$118.5k ($81.8k - $155.3k),$113.2k
219890,Antichamber,Demruth,Indie,$8m ($4.1m - $12m),$8m
539470,Police Stories,HypeTrain Digital,Indie,$3.8m ($2.5m - $5.2m),$66.7m
823610,Dungeon Of Dragon Knight,HexGameStudio,Indie,$95.7k ($63.4k - $128.1k),$110.8k
444640,Bloons TD Battles,Ninja Kiwi,Indie,$1.3m ($973.7k - $1.7m),$64.7m
1227890,Summer Memories,Kagura Games,Indie,$14.1m ($8.4m - $19.7m),$63.4m
1411740,Urbek City Builder,RockGame S.A.,Indie,$1.5m ($765.5k - $2.2m),$5m
897640,Gun Crazy,GrabTheGames,Indie,$8.7k ($4.3k - $13.1k),$13.7m
3339780,Desktop Survivors 98,Brandon Hesslau,Indie,$243.2k ($157.8k - $328.6k),$240.3k
314710,Mighty No. 9,Deep Silver,Indie,$1.6m ($1m - $2.1m),$567.3m
2014370,魔塔三国之群雄争霸,赚大钱工作室,Indie,$1.4k ($885 - $1.9k),$9.7k
246900,Viscera Cleanup Detail,RuneStorm,Indie,$14m ($8.7m - $19.3m),$14.5m
540100,Imprisoned Light,imaginite Ltd,Indie,$24.9k ($14k - $35.9k),$29.6k
1272840,Dordogne,Focus Entertainment,Indie,$510.4k ($318.6k - $702.3k),$728.4m
662190,The Secret Order 6: Bloodline,Artifex Mundi,Indie,$26.1k ($5.2k - $47k),$8.4m
1058530,H-Rescue,G-Blood,Indie,$41.8k ($22.3k - $61.3k),$80.9k
602320,Train Valley 2,Flazm,Indie,$746.8k ($389.4k - $1.1m),$1.5m
1112890,Calico,Whitethorn Games,Indie,$1.3m ($835.2k - $1.8m),$5.7m
839870,Wilmot's Warehouse,Finji,Indie,$368.7k ($236.6k - $500.8k),$24.5m
1608660,Overhaul,Bread Panda,Indie,$16.5k ($10.5k - $22.6k),$16.5k
401690,Life in Bunker,Flox Studios,Indie,$237.6k ($164.7k - $310.5k),$445k
1679210,The Spirit and the Mouse,Armor Games Studios,Indie,$208.8k ($155.5k - $262.2k),$20.7m
690560,I Am Overburdened,Magic Item Tech,Indie,$16.2k ($5.2k - $27.2k),$17.9k
1132190,Coloring Game: Little City,L. Stotch,Indie,$1k ($649 - $1.4k),$283.1k
395170,DISTRAINT: Deluxe Edition,Jesse Makkonen,Indie,$230.6k ($141.4k - $319.8k),$554.6k
2246330,Rescue Team: Magnetic Storm,Alawar Casual,Indie,$9.5k ($4.2k - $14.8k),$1.1m
919640,Steel Division 2,Eugen Systems,Indie,$10.4m ($6.2m - $14.5m),$60.1m
1353230,Bomb Rush Cyberfunk,Team Reptile,Indie,$11.5m ($8.2m - $14.9m),$18.8m
2220480,Burst Hero,YaYa Game,Indie,$7.2k ($4.4k - $9.9k),$7.2k
1134480,YORG.io 3,tobspr Games,Indie,$21k ($11.5k - $30.6k),$16.2m
1177980,"Little Kitty, Big City",Double Dagger Studio,Indie,$6.8m ($4.7m - $9m),$6.8m
1390410,Midnight Fight Express,Humble Games,Indie,$1m ($752.3k - $1.2m),$202.5m
361230,Super Daryl Deluxe,Dan & Gary Games,Indie,$243k ($96.1k - $390k),$243k
1009700,Jewel Match Solitaire L'Amour,Grey Alien Games,Indie,$35.9k ($7.1k - $64.6k),$984.3k
986130,Shadows of Doubt,Fireshine Games,Indie,$12m ($8.7m - $15.3m),$67m
241000,Jon Shafer's At the Gates,Conifer Games,Indie,$290k ($202.5k - $377.5k),$290k
323220,Vagante,Nuke Nine,Indie,$2.2m ($1.4m - $2.9m),$2.2m
568570,Force of Nature,A.Y.std,Indie,$1m ($784.4k - $1.3m),$1m
1288900,Title_Pending,DEVBEEF,Indie,$21.5k ($10k - $33k),$21.5k
871720,Ultimate Custom Night,Scott Cawthon,Indie,0,$27.7m
1089980,The Henry Stickmin Collection,Innersloth,Indie,$13.7m ($10m - $17.3m),$68.3m
458660,The Slimeking's Tower,RevampedPRO,Indie,0,$0 
2506580,Gearbits,Quackpond Games,Indie,$64.7k ($43.1k - $86.3k),$64.6k
606230,Thea 2: The Shattering,MuHa Games,Indie,$1.1m ($738.2k - $1.4m),$3.9m
663690,Rival Rampage,Oddscure,Indie,0,$113.8k
1128810,RISK: Global Domination,SMG Studio,Indie,$7.2m ($3.8m - $10.6m),$7.8m
622650,Bendy and the Ink Machine,Joey Drew Studios,Indie,$11.5m ($7.2m - $15.8m),$16.6m
2147950,4D Golf,CodeParade,Indie,$350.5k ($235.4k - $465.7k),$742.3k
1097150,Fall Guys: Ultimate Knockout,,Indie,0,ERROR
739630,Phasmophobia,Kinetic Games,Indie,$246.7m ($167.6m - $325.7m),$246.4m
569970,Chosen 2,Senpai Industrial Studios,Indie,$10.8k ($5.8k - $15.9k),$1m
422900,Particle Fleet: Emergence,Knuckle Cracker,Indie,$717.3k ($482.3k - $952.3k),$9.1m
591630,Candleman: The Complete Journey,Candleman Games,Indie,$385.3k ($249.6k - $521k),$402k
457730,Mushroom Wars 2,Azur Games,Indie,$356.7k ($222.1k - $491.2k),$512.9k
757300,Truberbrook / Trüberbrook,Headup,Indie,$878.5k ($598.2k - $1.1m),$14m
2820820,Jotunnslayer: Hordes of Hel,Grindstone,Indie,$2.6m ($2m - $3.3m),$3.1m
420530,OneShot,KOMODO,Indie,$5.5m ($3.8m - $7.2m),$17.2m
1391200,Pixel With Your Friends,SkyCat Games,Indie,$4.6k ($2.5k - $6.8k),$30.5k
3320800,Book Bound,Bit66,Indie,$50.6k ($34.4k - $66.9k),$50.6k
929670,Orion Sandbox Enhanced,y8.com,Indie,$51k ($20.4k - $81.5k),$66.5k
835650,Rising Lords,Deck13,Indie,$538.6k ($389.8k - $687.3k),$19.7m
