appid,name,publisher_main,SampledGenre,game_revenue,publisher_revenue
736820,Knights of Honor II: Sovereign,THQ Nordic,4X,$9.2m ($5.8m - $12.6m),$387.4m
559310,Illyriad - Grand Strategy MMO,Illyriad Games,4X,$3.2k ($2k - $4.4k),$3.2k
34450,Civilization IV: Warlords,,4X,0,ERROR
378760,Pixel Starships,SavySoda,4X,$2.9m ($1.6m - $4.1m),$2.9m
474020,Ragnorium,Devolver Digital,4X,$414.5k ($261k - $568.1k),$501.4m
464880,Stars in Shadow,Iceberg Interactive,4X,$366.6k ($237.2k - $495.9k),$34.2m
1189100,Rise Of The White Sun - 白日升,Gaming at Work,4X,$347.4k ($171.3k - $523.4k),$445.7k
538030,Xenonauts 2,Hooded Horse,4X,$3.8m ($2.6m - $5m),$205m
1453850,Pro Cycling Manager 2021,Nacon,4X,$886.2k ($177.8k - $1.5m),$157.6m
651660,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),"Massive Damage, Inc.",4X,$245.8k ($143.6k - $348k),$1.9m
2147380,Heroes of Science and Fiction,Oxymoron Games,4X,$396.3k ($277.2k - $515.3k),$9.2m
1099410,A Total War Saga: TROY,SEGA,4X,$11.2m ($6m - $16.5m),$1.6b
378360,Ymir,Thibaud Michaud,4X,$593.5k ($333.9k - $853.1k),$593.5k
2511500,Dominions 6 - Rise of the Pantokrator,Illwinter Game Design,4X,$1.6m ($1.2m - $2.1m),$6.5m
894630,Final Theory,Monticube,4X,$66k ($41.4k - $90.7k),$66.1k
984680,Interstellar Space: Genesis,Praxis Games,4X,$413.1k ($255.4k - $570.8k),$413.4k
1264280,Slipways,Beetlewing,4X,$659.3k ($465.2k - $853.3k),$659.3k
8930,Sid Meier's Civilization V,2K,4X,$166.9m ($103.7m - $230.1m),$1.7b
201310,X3: Albion Prelude,First release date: Thu Dec 15 2011,4X,0,ERROR
220660,StarDrive,First release date: Fri Apr 26 2013,4X,$1.1m ($738.4k - $1.5m),ERROR
1025440,Fantasy General II,Slitherine Ltd.,4X,$2.5m ($1.4m - $3.7m),$97.4m
2233790,Legendary Creatures 2,Thermite Games,4X,$285.9k ($193.2k - $378.6k),$5.1m
259060,Dominions 4: Thrones of Ascension,Illwinter Game Design,4X,$939.6k ($418.1k - $1.4m),$6.5m
410980,Master of Orion 2,Wargaming Labs,4X,$208.2k ($110.1k - $306.2k),$9.2m
2820,X3: Terran Conflict,Egosoft,4X,$1.4m ($723.7k - $2m),$37.8m
1356810,Hexarchy,Yogscast Games,4X,$1.2m ($772k - $1.7m),$37.9m
1176470,Terra Invicta,Hooded Horse,4X,$9.6m ($6.8m - $12.4m),$205m
334270,Star Traders: 4X Empires,Trese Brothers,4X,$40.6k ($20.6k - $60.6k),$2.7m
1116880,The Heroic Legend of Eagarlnia,Pixmain,4X,$450.3k ($323k - $577.5k),$2m
874390,The Battle of Polytopia,Midjiwan AB,4X,$3.4m ($1.7m - $5m),$3.4m
378720,Thea: The Awakening,MuHa Games,4X,$2.8m ($1.9m - $3.7m),$3.9m
3910,Sid Meier's Civilization III Complete,2K,4X,$529.5k ($288.6k - $770.4k),$1.7b
1204230,4th Generation Warfare,Eversim,4X,$79.7k ($53.2k - $106.2k),$6.7m
423890,Gods and Idols,JatteGames,4X,0,$0 
1044720,Farthest Frontier,Crate Entertainment,4X,$27.4m ($18.3m - $36.5m),$67.9m
65980,Sid Meier's Civilization: Beyond Earth,2K,4X,$39.6m ($25.5m - $53.6m),$1.7b
1537910,Chaos Galaxy 2,ChaosGalaxyStudio,4X,$117.2k ($67.1k - $167.4k),$246.8k
723790,The Pirate: Plague of the Dead,Home Net Games,Action,$10.5k ($5.3k - $15.7k),$440.6k
694500,Army Men RTS,2K,Action,$423.7k ($184.2k - $663.2k),$1.7b
449550,Chicken Invaders 2,InterAction studios,Action,$74.4k ($41.6k - $107.2k),$445.8k
7000,Tomb Raider: Legend,Crystal Dynamics,Action,$1.1m ($713.4k - $1.5m),$244.2m
448370,IS Defense,Destructive Creations,Action,$232.4k ($151.8k - $313k),$11.9m
362890,Black Mesa,Crowbar Collective,Action,$28m ($20.7m - $35.2m),$27.9m
292570,Chompy Chomp Chomp,Utopian World of Sandwiches,Action,$63.1k ($12.6k - $113.6k),$63.6k
682290,Zeus' Battlegrounds,Industry Games,Action,0,$1.1m
252070,Gimbal,8888888 LABS,Action,$68.8k ($38.9k - $98.8k),$68.8k
1057090,Ori and the Will of the Wisps,Xbox Game Studios,Action,$77.1m ($53.9m - $100.4m),$1.8b
300820,Disney•Pixar Toy Story 3: The Video Game,Disney,Action,$846k ($437.7k - $1.2m),$129.5m
223470,POSTAL 2,Running With Scissors,Action,$11.8m ($8.4m - $15.2m),$19.5m
611300,Task Force,Tracer Interactive,Action,0,$0 
4760,Rome: Total War - Collection,SEGA,Action,0,$1.6b
331160,Disney•Pixar Cars,THQ,Action,$678k ($347.1k - $1m),$1.1m
1093290,The Wild at Heart,Humble Games,Action,$301.3k ($196.6k - $406k),$202.5m
356670,Spooky's Jump Scare Mansion,Lag Studios,Action,$33.2k ($25.4k - $41.1k),$33.2k
2891310,Genome Guardian,Alpherior,Action,$287.5k ($193.4k - $381.7k),$315.3k
1597310,Airship: Kingdoms Adrift,indie.io,Action,$725.3k ($511.9k - $938.6k),$36.8m
397040,Sphere 3,GameXP.com,Action,$9.4k ($6.7k - $12k),$991.6k
1888930,The Last of Us Part I,PlayStation Publishing LLC,Action,$86.6m ($59.9m - $113.3m),$1.3b
1573390,Lila’s Sky Ark,Graffiti Games,Action,$8.8k ($2.3k - $15.2k),$5.1m
1658150,Moonstone Island,Raw Fury,Action,$4.3m ($2.8m - $5.8m),$99.5m
2372330,Poetry of Blood: Eclipse,NPC Entertainment,Action,$84.6k ($52.5k - $116.7k),$16.2m
690040,SUPERHOT: MIND CONTROL DELETE,SUPERHOT Team,Action,$7m ($4.5m - $9.6m),$43.2m
1350820,コモラ・リアルワールドエスケープ,うさうさらびっと,Action,0,$0 
375850,Island Defense,Stereo7 Games,Action,$23.8k ($4.7k - $42.9k),$32.4k
249870,Scribblenauts Unmasked: A DC Comics Adventure,Warner Bros. Interactive Entertainment,Action,$2.1m ($1.2m - $3.1m),$446.3m
1592670,Soda Crisis,bilibili,Action,$538.5k ($352.4k - $724.5k),$130.4m
1550510,Creepy Tale 2,Creepy Brothers,Action,$135k ($80.4k - $189.6k),$744.2k
270010,Time Rifters,First release date: Tue Oct 21 2014,Action,$156.2k ($107.9k - $204.4k),ERROR
589760,Revhead,Creative Pudding Hungary Llc.,Action,$230k ($145.5k - $314.5k),$230k
514360,Freedom Fighter,Volens Nolens Games,Action,$1.8k ($376 - $3.3k),$658.4k
2530170,PERIMETER: Legate Edition,Association K-D Lab,Action,$30.7k ($19.6k - $41.8k),$136.8k
2507980,Meta-Ghost: The Breaking Show,Flawless Gaming,Action,$682.3k ($474.8k - $889.8k),$2.2m
1260810,Touhou Blooming Chaos 2,二色幽紫蝶,Action,$358.4k ($208.3k - $508.5k),$4.2m
1430220,BIOMORPH,Lucid Dreams Studio,Action,$198.6k ($132.3k - $265k),$204.9k
1489630,Carrier Command 2,MicroProse Software,Action,$3.4m ($1.9m - $4.9m),$43.6m
2097230,Turnip Boy Robs a Bank,Graffiti Games,Action,$571.2k ($388.7k - $753.7k),$5.1m
1484720,Dead Estate,2 Left Thumbs,Action,$2.4m ($1.5m - $3.3m),$4.2m
435440,Galaxy Control: 3D Strategy,FX Games Media,Action,$275.4k ($157.6k - $393.3k),$275.6k
202990,Call of Duty: Black Ops II,,Action,0,ERROR
619700,Steel Rats,Tate Multimedia,Action,$268.2k ($62.5k - $473.8k),$1.7m
2296380,I Expect You To Die 3: Cog in the Machine,Schell Games,Action,$776.5k ($481.3k - $1m),$6.7m
2702490,TETRACHROMA,sparsevector,Action,$8.3k ($4.8k - $11.8k),$350k
64000,Men of War: Assault Squad,Fulqrum Publishing,Action,$1.3m ($822.9k - $1.8m),$51.6m
320040,Moon Hunters,Kitfox Games,Action,$1.6m ($1m - $2.3m),$38.9m
2581050,KAMITSUBAKI CITY ENSEMBLE,KAMITSUBAKI STUDIO,Action,$92.2k ($58.5k - $126k),$453.3k
1405500,Angel at Dusk,Henteko Doujin,Action,$535k ($358.6k - $711.3k),$1.4m
107200,Space Pirates and Zombies,MinMax Games Ltd.,Action,$662.9k ($349.7k - $976.1k),$3.2m
1635450,Longvinter,Uuvana Studios,Action,$5.7m ($3.6m - $7.7m),$5.7m
904540,Indiana Jones and the Infernal Machine,Lucasfilm,Action,$98.7k ($46.8k - $150.5k),$125m
628800,Super Hydorah,Abylight Studios,Action,$77.9k ($38.9k - $116.8k),$2.3m
324570,Halo: Spartan Strike,Xbox Game Studios,Action,$239.3k ($156.6k - $322k),$1.8b
657200,Hand Simulator,HFM Games,Action,$1.3m ($826.2k - $1.9m),$3.2m
685750,The soldier in the mine,Laush Studio,Action,$6.7k ($1.9k - $11.4k),$303.6k
209650,Call of Duty: Advanced Warfare - Gold Edition,Activision,Action,$35.8m ($27.3m - $44.4m),$1.5b
3000120,FISH FEAR ME,HEATHER FLOWERS,Action,$121.4k ($76.8k - $166k),$295.2k
471010,Seven: Enhanced Edition,IMGN.PRO,Action,$720.5k ($424.8k - $1m),$3.6m
1517970,Aeterna Noctis,Aeternum Game Studios S.L,Action,$540.4k ($308.7k - $772.1k),$675.4k
2400640,NanoApostle,PQube,Action,$243.7k ($162.4k - $325.1k),$20.1m
2439710,Skybreakers,Merlion Games,Action,$244.1k ($172.1k - $316.1k),$1.6m
1645820,SurrounDead,PlaySurrounDead,Action,$6.6m ($4.5m - $8.8m),$6.6m
2473480,Tails of Iron 2: Whiskers of Winter,United Label,Action,$720k ($501.9k - $938.1k),$6.4m
1355780,Crushed,NipoBox Publishing,Action,$34.5k ($17.2k - $51.8k),$51.6k
577940,Killer Instinct,Xbox Game Studios,Action,$2.4m ($1.8m - $3m),$1.8b
552990,World of Warships,Wargaming Group Limited,Action,$175.2m ($130.3m - $220m),$410.2m
881020,Granblue Fantasy: Relink,"Cygames, Inc.",Action,$69.8m ($47.6m - $92m),$209.8m
396280,Anarchy Online,Funcom,Action,$48.1k ($23.2k - $72.9k),$198.2m
2067350,Phantom Breaker: Battle Grounds Ultimate,Rocket Panda Games,Action,$81.1k ($53.8k - $108.4k),$1.3m
553850,HELLDIVERS 2,PlayStation Publishing LLC,Action,$446.9m ($273.4m - $620.4m),$1.3b
2281480,Battle Grid,Barking Dogs,Action,$30.3k ($20.5k - $40.2k),$30.3k
2344520,Diablo IV,"Blizzard Entertainment, Inc.",Action,$62.8m ($46.7m - $78.9m),$136.7m
2382520,Erenshor,Burgee Media,Action,$1.4m ($1m - $1.9m),$1.4m
574050,DRAGON QUEST HEROES II,Square Enix,Action,$2.2m ($1.5m - $2.9m),$1b
394690,Tower Unite,PixelTail Games,Action,$9.7m ($6.2m - $13.2m),$9.7m
368860,Garbage Day,Svajūnas Žemaitis,Action,$380k ($76k - $684k),$380k
1792250,Serious Sam: Siberian Mayhem,Devolver Digital,Action,$1.3m ($920k - $1.7m),$501.4m
437000,GUILTY GEAR 2 -OVERTURE-,Arc System Works,Action,$176k ($113.3k - $238.8k),$87.6m
367500,Dragon's Dogma: Dark Arisen,Capcom,Action,$31m ($21.6m - $40.5m),$248m
2994010,Chains of Freedom,Nordcurrent Labs,Action,$240.5k ($142k - $339k),$2m
598060,Slasher's Keep,Damian Schloter,Action,$1.2m ($836.4k - $1.6m),$1.2m
744900,Dead Frontier 2,Creaky Corpse Ltd,Action,$8.9m ($6m - $11.8m),$9.2m
2299930,Fiz and the Rainbow Planet,にじいろドラゴン,Action,$6.5k ($3.1k - $9.9k),$6.5k
2186680,"Warhammer 40,000: Rogue Trader",Owlcat Games,Action,$41.9m ($31.6m - $52.3m),$77m
1601740,Corpse Keeper,Thermite Games,Action,$608.1k ($384.6k - $831.6k),$5.1m
23460,Ceville,Assemble Entertainment,Action,$52.7k ($26.4k - $78.9k),$24.3m
1998340,Labyrinth of Galleria: The Moon Society,"NIS America, Inc.",Action,$845k ($551.2k - $1.1m),$48m
1998030,Bug Dolls: Soviet Project,AK Studio,Action,0,$163.1k
2561580,Horizon Zero Dawn Remastered,PlayStation Publishing LLC,Action,$10.2m ($6.3m - $14.2m),$1.3b
2607060,From Glory To Goo,Stratagem Blue,Action,$370.8k ($255.1k - $486.5k),$370.7k
1000410,WRATH: Aeon of Ruin,3D Realms,Action,$1.6m ($896.4k - $2.3m),$19.1m
1038250,DIRT 5,Codemasters,Action,$8.9m ($5m - $12.7m),$43.3m
1413870,Shadow Man Remastered,Nightdive Studios,Action,$400.1k ($299.3k - $500.8k),$20.5m
206480,Dungeons & Dragons Online,Daybreak Game Company LLC,Action,$17.8m ($10.1m - $25.4m),$50.1m
265610,Epic Battle Fantasy 4,Matt Roszak,Action,$778k ($562.6k - $993.3k),$2.6m
1172620,Sea of Thieves: 2025 Edition,Xbox Game Studios,Action,$273.6m ($193.1m - $354.1m),$1.8b
