appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players
606230,Thea 2: The Shattering,MuHa Games,4X,$1.1m ($738.3k - $1.4m),$3.9m,1334.0
342560,Airships: Conquer the Skies,David Stark,4X,$2.2m ($1.6m - $2.8m),$2.3m,1313.0
25800,Europa Universalis III Complete,Paradox Interactive,4X,$749.5k ($388.6k - $1.1m),$1.1b,1299.0
419480,Starpoint Gemini Warlords,Little Green Men Games,4X,$3m ($2.1m - $3.8m),$11m,1246.0
261470,Distant Worlds: Universe,Slitherine Ltd.,4X,$3.5m ($2.5m - $4.5m),$97.4m,1239.0
718560,Scythe: Digital Edition,The Knights of Unity,4X,$3.3m ($2.1m - $4.6m),$3.7m,1201.0
1606340,Conquest of Elysium 5,Illwinter Game Design,4X,$1.4m ($941.7k - $2m),$6.5m,1171.0
722060,Dominions 5 - Warriors of the Faith,Illwinter Game Design,4X,$2m ($1.3m - $2.8m),$6.5m,1065.0
1075190,A Game of Thrones: The Board Game - Digital Edition,Twin Sails Interactive,4X,$1.3m ($839.3k - $1.9m),$35.3m,1062.0
2820,X3: Terran Conflict,Egosoft,4X,$1.4m ($723.6k - $2m),$37.8m,1019.0
1481170,ZEPHON,Proxy Studios,4X,$1.5m ($1m - $1.9m),$1.5m,1016.0
1768280,Ozymandias: Bronze Age Empire Sim,Goblinz Publishing,4X,$795.5k ($436.9k - $1.1m),$29.1m,1012.0
1264280,Slipways,Beetlewing,4X,$659.2k ($465.1k - $853.3k),$659.3k,1012.0
2118810,Breachway,Hooded Horse,4X,$809.2k ($571.7k - $1m),$205m,969.0
205990,Warlock 2: The Exiled,Paradox Interactive,4X,$809.8k ($588.6k - $1m),$1.1b,978.0
2001070,Heart of the Machine,Hooded Horse,4X,$754.9k ($525.6k - $984.3k),$205m,949.0
1681060,Exogate Initiative,Xeno Bits,4X,$654.3k ($448.7k - $859.9k),$654.4k,949.0
42990,Sword of the Stars II: Enhanced Edition,Paradox Interactive,4X,$385k ($221.7k - $548.3k),$1.1b,932.0
357310,Oriental Empires,Iceberg Interactive,4X,$2.7m ($1.9m - $3.5m),$34.2m,866.0
265970,Worlds of Magic,Conglomerate 5,4X,$668.6k ($442.8k - $894.4k),$2.5m,805.0
577230,Three Kingdoms The Last Warlord,LongYou Tech Ltd,4X,$1.2m ($812.7k - $1.6m),$1.2m,785.0
2420880,WitchHand,HopFrog,4X,$236.9k ($170.5k - $303.4k),$299.8k,747.0
659540,Warsim: The Realm of Aslona,Huw Millward,4X,$256.1k ($160.1k - $352.1k),$256k,741.0
201290,Sins of a Solar Empire: Trinity,Stardock Entertainment,4X,$548.2k ($170.9k - $925.5k),$62.5m,733.0
1623070,Master of Magic,Slitherine Ltd.,4X,$1.4m ($772.6k - $2.1m),$97.4m,732.0
1395760,Reshaping Mars,Yooreka Studio,4X,$220.1k ($158.4k - $281.8k),$3m,640.0
