appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players
1455840,Dorfromantik,Toukana Interactive,City Builder,$14.7m ($9.1m - $20.4m),$16.4m,7063.0
1062090,Timberborn,Mechanistry,City Builder,$32.1m ($20.7m - $43.5m),$32m,13017.0
333420,Cossacks 3,GSC Game World,City Builder,$10.4m ($7.3m - $13.5m),$20.3m,5533.0
1509510,Settlement Survival,Team17,City Builder,$6.8m ($4.3m - $9.2m),$491.6m,5597.0
933820,Endzone - A World Apart,Assemble Entertainment,City Builder,$7.3m ($4.3m - $10.4m),$24.3m,6374.0
1525700,Tavern Master,Untitled Studio,City Builder,$4.6m ($3m - $6.2m),$4.6m,5171.0
503940,Railway Empire,Kalypso Media,City Builder,$16m ($10.2m - $21.8m),$91.9m,5404.0
3028310,Nordhold,HypeTrain Digital,City Builder,$3m ($1.9m - $4.1m),$66.7m,5383.0
1465470,The Crust,Crytivo,City Builder,$3m ($1.9m - $4m),$23.4m,5101.0
620590,Ancestors Legacy,Destructive Creations,City Builder,$4m ($2.4m - $5.6m),$11.9m,4962.0
2194530,Yog-Sothoth’s Yard,Bone Nail,City Builder,$3.9m ($2.4m - $5.5m),$4.5m,4971.0
1112790,Automation Empire,DOG HOGGLER,City Builder,$2.3m ($1.3m - $3.3m),$2.7m,4669.0
1593030,Terra Nil,Devolver Digital,City Builder,$6.9m ($4.7m - $9.1m),$501.4m,4540.0
907650,Stronghold: Warlords,Firefly Studios,City Builder,$2.7m ($1.6m - $3.8m),$45.4m,4122.0
2198510,New Cycle,Daedalic Entertainment,City Builder,$2.4m ($1.6m - $3.2m),$159.9m,3758.0
1963040,The Lost Village,FunYoo Games,City Builder,$1.4m ($969k - $1.8m),$1.4m,3703.0
1956800,Thriving City: Song,IndieArk,City Builder,$2.5m ($1.7m - $3.3m),$96m,3758.0
2292800,Blacksmith Master,Hooded Horse,City Builder,$2m ($1.3m - $2.7m),$205m,3699.0
2680550,Hollywood Animal,Weappy Studio,City Builder,$1m ($652k - $1.4m),$1m,3521.0
979120,Autonauts,Curve Games,City Builder,$2.4m ($1.5m - $3.3m),$196.4m,3598.0
1457320,Techtonica,Fire Hose Games,City Builder,$4.4m ($3.1m - $5.6m),$4.5m,3442.0
304730,Train Fever,Good Shepherd Entertainment,City Builder,$2.8m ($1.9m - $3.7m),$91m,3319.0
758690,Occupy Mars: The Game,▲ Pyramid Games,City Builder,$1.6m ($1.1m - $2.1m),$2.4m,3318.0
979110,Space Haven,Bugbyte Ltd.,City Builder,$9.2m ($6m - $12.4m),$9.5m,3186.0
1043260,Gladiator Guild Manager,GrabTheGames,City Builder,$1.5m ($980.5k - $2.1m),$13.7m,3309.0
1643310,Dungeons 4,Kalypso Media,City Builder,$3.9m ($2.7m - $5.2m),$91.9m,3122.0
40970,Stronghold Crusader HD (2012),Firefly Studios,City Builder,$2.1m ($1.2m - $3.1m),$45.4m,2930.0
1644320,Railway Empire 2,Kalypso Media,City Builder,$3.6m ($2.2m - $5m),$91.9m,3095.0
809140,Cliff Empire,Lion's Shade,City Builder,$1.8m ($1.2m - $2.4m),$1.8m,3083.0
1700870,Clanfolk,Hooded Horse,City Builder,$3.4m ($1.9m - $5m),$205m,2770.0
1450900,Desynced,Forklift Interactive,City Builder,$2.2m ($1.5m - $2.9m),$7.4m,2714.0
673610,Airport CEO,Apog Labs,City Builder,$4.8m ($3.6m - $5.9m),$4.8m,2719.0
271240,Offworld Trading Company,Stardock Entertainment,City Builder,$8.4m ($5.3m - $11.5m),$62.5m,2698.0
860890,Factory Town,Erik Asmussen,City Builder,$5.1m ($3.1m - $7.2m),$6.2m,2629.0
1017900,Age of Empires: Definitive Edition,Xbox Game Studios,City Builder,$7m ($4.1m - $9.8m),$1.8b,2705.0
1073910,Before We Leave,Team17,City Builder,$1.4m ($849.7k - $2m),$491.6m,2290.0
1817800,Oddsparks: An Automation Adventure,HandyGames,City Builder,$2.2m ($1.4m - $2.9m),$16.6m,1979.0
2195120,Go-Go Town!,CULT Games,City Builder,$1.5m ($1.1m - $2m),$2.2m,2234.0
534370,Pure Farming 2018,Techland Publishing,City Builder,$1.1m ($699k - $1.6m),$12.7m,1861.0
1360000,The Infected,DigX Studios,City Builder,$2.2m ($1.4m - $3.1m),$2.2m,1930.0
496460,Life is Feudal: Forest Village,Bitbox Ltd.,City Builder,$5.5m ($3.5m - $7.6m),$21.3m,1935.0
728730,Holyday City: Reloaded,Holyday Studios,City Builder,$22.7k ($16.4k - $29k),$19.3m,1823.0
2262080,Omega Crafter,Preferred Networks,City Builder,$737.1k ($472.1k - $1m),$737.1k,1797.0
253250,Stonehearth,(none),City Builder,$8.8m ($5.5m - $12.1m),$8.8m,1821.0
225420,Cities in Motion 2,Paradox Interactive,City Builder,$2.5m ($508.3k - $4.5m),$1.1b,1736.0
2228280,MEMORIAPOLIS,5PM Studio,City Builder,$2m ($1.4m - $2.6m),$2.1m,1657.0
2020710,Havendock,Pretty Soon,City Builder,$1.2m ($817.4k - $1.7m),$10.1m,1675.0
894940,Littlewood,SmashGames,City Builder,$2.5m ($1.8m - $3.1m),$12.4m,1644.0
1547890,Let's Build a Zoo,No More Robots,City Builder,$3.9m ($1.9m - $6m),$24.5m,1619.0
231140,Cities XL Platinum,Focus Entertainment,City Builder,$1.1m ($237.8k - $2m),$728.4m,1638.0
2290000,TerraScape,Stray Fawn Publishing,City Builder,$1.7m ($1m - $2.3m),$20.1m,1587.0
2013240,Immortal Family,方块游戏(CubeGame),City Builder,$322k ($205.6k - $438.4k),$15.5m,1587.0
1538570,Patron,Overseer Games,City Builder,$2.9m ($1.4m - $4.3m),$4.5m,1593.0
39680,The Guild II Renaissance,THQ Nordic,City Builder,$912.5k ($531k - $1.2m),$387.4m,1244.0
2834600,My Little Life,9FingerGames,City Builder,$317.5k ($204.6k - $430.4k),$377.3k,1521.0
2400770,Dungeon Tycoon,Goblinz Publishing,City Builder,$896.9k ($622.1k - $1.1m),$29.1m,1518.0
1875060,Reus 2,Firesquid,City Builder,$2.1m ($1.3m - $2.8m),$2.9m,1215.0
1291340,Townscaper,Raw Fury,City Builder,$5.6m ($3.3m - $8m),$99.5m,1162.0
1252780,Bloons Monkey City,Ninja Kiwi,City Builder,$216.7k ($136.7k - $296.6k),$64.7m,1166.0
1281630,Anno 1404 - History Edition,Ubisoft,City Builder,$3.5m ($1.7m - $5.3m),$2.4b,1152.0
1882500,Cattails: Wildwood Story,Falcon Development,City Builder,$473.3k ($307k - $639.6k),$1.2m,1142.0
1024650,Port Royale 4,Kalypso Media,City Builder,$4.8m ($2.4m - $7.2m),$91.9m,1107.0
1254320,Surviving the Abyss,Paradox Arc,City Builder,$1m ($703k - $1.3m),$14.6m,1069.0
1157220,Nebuchadnezzar,Astra Logical,City Builder,$1.1m ($743.3k - $1.5m),$2.5m,908.0
521150,Another Brick in The Mall,The Quadsphere,City Builder,$1.5m ($1.1m - $2m),$1.5m,896.0
2750080,The Settlers: New Allies,Ubisoft,City Builder,$641.8k ($395.9k - $887.7k),$2.4b,888.0
1104330,Founders' Fortune,Dionic Software,City Builder,$1.4m ($936.8k - $2m),$3.7m,834.0
1134710,NIMBY Rails,Weird and Wry,City Builder,$1.2m ($868.6k - $1.6m),$1.8m,824.0
1743830,One Military Camp,Abylight Studios,City Builder,$1m ($691.1k - $1.4m),$2.3m,804.0
2144640,Endzone 2,Assemble Entertainment,City Builder,$872k ($571.7k - $1.1m),$24.3m,803.0
1336180,Floodland,Ravenscourt,City Builder,$618.6k ($372.2k - $864.9k),$6.1m,789.0
351860,Cultures - Northland,Daedalic Entertainment,City Builder,$16.6k ($8.9k - $24.2k),$159.9m,788.0
2807150,Worshippers of Cthulhu,Crytivo,City Builder,$1.6m ($1m - $2.2m),$23.4m,773.0
1074070,Dust to the End,2P Games,City Builder,$201.2k ($120.5k - $281.8k),$43.1m,752.0
840390,Spacebase Startopia,Kalypso Media,City Builder,$289k ($204.3k - $373.7k),$91.9m,647.0
1489970,Highrise City,Deck13,City Builder,$1.1m ($703.3k - $1.6m),$19.7m,646.0
789660,Buggos,Intrepid Marmot,City Builder,$430.2k ($260.8k - $599.7k),$684.9k,688.0
1304430,Viking Frontiers,GameHunters,City Builder,$193.2k ($122.6k - $263.8k),$193.2k,625.0
591370,Production Line : Car factory simulation,Positech Games,City Builder,$2m ($1.4m - $2.7m),$16.9m,631.0
2012190,KAISERPUNK,Overseer Games,City Builder,$700.1k ($474.3k - $925.9k),$4.5m,632.0
2103470,Republic of Pirates,PQube,City Builder,$522.2k ($332.6k - $711.7k),$20.1m,608.0
2678990,Minami Lane,Doot Tiny Games,City Builder,$847.7k ($545.8k - $1.1m),$1m,587.0
1864880,Roman Triumph: Survival City Builder,Forklift Interactive,City Builder,$572.4k ($377.8k - $766.9k),$7.4m,572.0
1847240,Game Dev Story,"Kairosoft Co., Ltd",City Builder,$512.7k ($270.2k - $755.3k),$5.6m,571.0
1730250,Pan'orama,Awaken Realms,City Builder,$656.2k ($424.4k - $887.9k),$26.9m,567.0
2206350,Farm Manager World,Sim Farm S.A.,City Builder,$560.3k ($378.5k - $742.2k),$4.6m,563.0
1515950,Capcom Arcade Stadium,"CAPCOM Co., Ltd.",Fighting,$2.3m ($1.2m - $3.4m),$1.8b,481088.0
1755910,Capcom Arcade 2nd Stadium,"CAPCOM Co., Ltd.",Fighting,$1.8m ($1m - $2.7m),$1.8b,458580.0
629760,MORDHAU,Triternion,Fighting,$73.2m ($51.1m - $95.2m),$73.2m,60204.0
1790600,DRAGON BALL: Sparking! ZERO,Bandai Namco Entertainment,Fighting,$89.5m ($64.3m - $114.7m),$1.7b,120000.0
1203220,NARAKA: BLADEPOINT,NetEase Games Global,Fighting,$379.2m ($262.3m - $496.1m),$379.2m,385770.0
678950,DRAGON BALL FighterZ,Bandai Namco Entertainment,Fighting,$54.6m ($39.2m - $69.9m),$1.7b,44234.0
1384160,GUILTY GEAR -STRIVE-,Arc System Works,Fighting,$46m ($30.3m - $61.7m),$87.6m,30939.0
1778820,TEKKEN 8,Bandai Namco Entertainment,Fighting,$64.3m ($45.5m - $83m),$1.7b,46139.0
208650,Batman: Arkham Knight,WB Games,Fighting,$46.3m ($32.8m - $59.9m),$198.6m,25623.0
1971870,Mortal Kombat 1,Warner Bros. Games,Fighting,$39m ($28.3m - $49.7m),$882.3m,26576.0
851850,DRAGON BALL Z: KAKAROT,Bandai Namco Entertainment Inc.,Fighting,$50m ($34.4m - $65.7m),$237.6m,25715.0
544750,SOULCALIBUR VI,BANDAI NAMCO Entertainment,Fighting,$12.5m ($6.9m - $18.1m),$478.1m,14486.0
473690,Absolver,Devolver Digital,Fighting,$9.8m ($5.3m - $14.3m),$501.4m,18921.0
323470,DRAGON BALL XENOVERSE,BANDAI NAMCO Entertainment,Fighting,$23m ($17.5m - $28.6m),$478.1m,22782.0
775500,SCARLET NEXUS,BANDAI NAMCO Entertainment,Fighting,$22.1m ($14.5m - $29.7m),$478.1m,14479.0
454650,DRAGON BALL XENOVERSE 2,Bandai Namco Entertainment,Fighting,$30.9m ($23m - $38.9m),$1.7b,13570.0
1216060,DNF Duel,NEXON,Fighting,$3.9m ($2.5m - $5.4m),$184.6m,12324.0
844870,KurtzPel,KOG,Fighting,$3.5m ($2.5m - $4.4m),$41.9m,11878.0
1742020,Idol Showdown,holo Indie,Fighting,0,$1.3m,10655.0
242700,Injustice: Gods Among Us Ultimate Edition,Warner Bros. Interactive Entertainment,Fighting,$8.3m ($3.9m - $12.8m),$446.3m,10262.0
629730,Blade and Sorcery,WarpFrog,Fighting,$36.8m ($26.9m - $46.6m),$36.8m,10235.0
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,BANDAI NAMCO Entertainment,Fighting,$53.1m ($34.7m - $71.5m),$478.1m,8372.0
1206610,Rubber Bandits,Flashbulb,Fighting,$1.9m ($1.1m - $2.8m),$14.6m,8346.0
1089090,ONE PIECE: PIRATE WARRIORS 4,BANDAI NAMCO Entertainment,Fighting,$20.1m ($12.3m - $27.8m),$478.1m,7222.0
1451190,Undisputed,Deep Silver,Fighting,$13.3m ($8.7m - $17.9m),$567.3m,6858.0
200260,Batman: Arkham City - Game of the Year Edition,WB Games,Fighting,$10.5m ($6.6m - $14.3m),$198.6m,6822.0
35140,Batman: Arkham Asylum Game of the Year Edition,WB Games,Fighting,$10m ($6.1m - $13.8m),$198.6m,6739.0
1689620,BLEACH Rebirth of Souls,Bandai Namco Entertainment Inc.,Fighting,$5.7m ($3.6m - $7.7m),$237.6m,6611.0
1602010,Persona 4 Arena Ultimax,SEGA,Fighting,$3.8m ($2.1m - $5.4m),$1.6b,5628.0
578620,GORN,Devolver Digital,Fighting,$8.3m ($4.8m - $11.8m),$501.4m,5261.0
1372110,JoJo's Bizarre Adventure: All-Star Battle R,Bandai Namco Entertainment,Fighting,$11.6m ($8.1m - $15.2m),$1.7b,5023.0
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,BANDAI NAMCO Entertainment,Fighting,$10.8m ($6.9m - $14.7m),$478.1m,4677.0
2492040,FATAL FURY: City of the Wolves,SNK CORPORATION,Fighting,$4.4m ($3.3m - $5.5m),$35.7m,4592.0
394310,Punch Club,tinyBuild,Fighting,$4.8m ($3.4m - $6.3m),$179.6m,4277.0
331600,One Piece Pirate Warriors 3,BANDAI NAMCO Entertainment,Fighting,$9m ($6.8m - $11.2m),$478.1m,4242.0
245170,Skullgirls 2nd Encore,Autumn Games,Fighting,$10.2m ($6.8m - $13.7m),$10.2m,3916.0
2918150,ONE PIECE Bounty Rush,Bandai Namco Entertainment Inc.,Fighting,$4m ($1.8m - $6.2m),$237.6m,3891.0
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,"KOEI TECMO GAMES CO., LTD.",Fighting,$19.3m ($13m - $25.7m),$424.5m,3851.0
1163550,Captain Tsubasa: Rise of New Champions,BANDAI NAMCO Entertainment,Fighting,$5.1m ($3.1m - $7m),$478.1m,3630.0
493840,Marvel vs. Capcom: Infinite,Capcom,Fighting,$2.4m ($1.5m - $3.4m),$248m,3592.0
495910,Dungeon Fighter Online,Neople,Fighting,$13.6m ($9.1m - $18.1m),$13.6m,3441.0
1335200,Action Taimanin,Infini-Brain inc.,Fighting,$25.1m ($16.3m - $33.8m),$25.1m,3400.0
1090630,Granblue Fantasy: Versus,XSEED Games,Fighting,$14.7m ($8.4m - $21.1m),$125.7m,3367.0
418340,RWBY: Grimm Eclipse,FarBridge,Fighting,$4.9m ($3m - $6.7m),$4.9m,3224.0
1343240,Thymesia,Team17,Fighting,$4.2m ($3m - $5.4m),$491.6m,3194.0
1123770,Curse of the Dead Gods,Focus Entertainment,Fighting,$6.5m ($4.1m - $8.8m),$728.4m,2971.0
285900,Gang Beasts,Boneloaf,Fighting,$48.1m ($34m - $62.2m),$48.1m,2946.0
3027930,Karate Survivor,Alawar,Fighting,$581.5k ($397.3k - $765.7k),$13.3m,2923.0
383980,Rivals of Aether,Aether Studios,Fighting,$12.5m ($9.3m - $15.7m),$18.8m,2828.0
702890,BlazBlue: Cross Tag Battle,Arc System Works,Fighting,$4.6m ($2.8m - $6.5m),$87.6m,2746.0
248570,Toribash,"Nicalis, Inc.",Fighting,0,$84.8m,2648.0
348550,GUILTY GEAR XX ACCENT CORE PLUS R,Arc System Works,Fighting,$2.1m ($1.3m - $2.8m),$87.6m,2330.0
6020,STAR WARS Jedi Knight - Jedi Academy,LucasArts,Fighting,$2.4m ($1.2m - $3.7m),$124.9m,2306.0
1557740,ROUNDS,Landfall,Fighting,$7.6m ($4.8m - $10.3m),$200.8m,2208.0
2076010,UNDER NIGHT IN-BIRTH II Sys:Celes,Arc System Works,Fighting,$3.7m ($2.5m - $4.9m),$87.6m,2165.0
627270,Injustice 2,WB Games,Fighting,$11.2m ($6.7m - $15.6m),$198.6m,2093.0
576480,Drunken Fight Simulator,Volens Nolens Games,Fighting,$8.3k ($1.6k - $15k),$658.4k,2019.0
2634890,MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,"CAPCOM Co., Ltd.",Fighting,$4.1m ($2.6m - $5.6m),$1.8b,2019.0
411370,Melty Blood Actress Again Current Code,Arc System Works,Fighting,$2.7m ($1.8m - $3.5m),$87.6m,2015.0
921590,DISSIDIA FINAL FANTASY NT Free Edition,Square Enix,Fighting,$1.2m ($658.9k - $1.8m),$1b,1981.0
597170,Clone Drone in the Danger Zone,Doborog Games,Fighting,$9.5m ($7.1m - $12m),$10m,1921.0
798510,SUPER DRAGON BALL HEROES WORLD MISSION,BANDAI NAMCO Entertainment,Fighting,$2.5m ($1.6m - $3.4m),$478.1m,1895.0
264200,One Finger Death Punch,Silver Dollar Games,Fighting,$2.3m ($1.5m - $3m),$2.6m,1857.0
1259790,Puyo Puyo Tetris 2,SEGA,Fighting,$5.2m ($2.4m - $8m),$1.6b,1826.0
746580,HARDCORE MECHA,RocketPunch Games,Fighting,$927.5k ($596.3k - $1.2m),$1.2m,1754.0
357190,ULTIMATE MARVEL VS. CAPCOM 3,"CAPCOM U.S.A., INC.",Fighting,$7.1m ($4.4m - $9.8m),$7.1m,1706.0
586200,Street Fighter 30th Anniversary Collection,"Capcom U.S.A, Inc.",Fighting,$4.1m ($1.9m - $6.2m),$4.1m,1737.0
564230,Fire Pro Wrestling World,"Spike Chunsoft Co., Ltd.",Fighting,$1.6m ($981.2k - $2.3m),$94.5m,1675.0
1020790,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Bandai Namco Entertainment,Fighting,$4.6m ($3.2m - $5.9m),$1.7b,1663.0
214770,Guacamelee! Gold Edition,Drinkbox Studios,Fighting,$4m ($2m - $6m),$12.7m,1643.0
716710,東方憑依華　～ Antinomy of Common Flowers.,"SUNFISH Co., Ltd.",Fighting,$1.1m ($734.6k - $1.6m),$1.4m,1442.0
3112260, Virtua Fighter 5 R.E.V.O. World Stage,SEGA,Fighting,$1.1m ($766.5k - $1.4m),$1.6b,1395.0
337320,Paint the Town Red,South East Games,Fighting,$11.7m ($8.5m - $14.9m),$11.8m,1365.0
3920,Sid Meier's Pirates!,2K,Fighting,$1.5m ($905.6k - $2.2m),$1.7b,1333.0
424280,Iron Snout,SnoutUp,Fighting,0,$29k,1332.0
209120,Street Fighter X Tekken,"Capcom U.S.A., Inc.",Fighting,$15.4k ($8.4k - $22.3k),$15.4k,1287.0
758330,Shenmue I & II,SEGA,Fighting,$1.6m ($847.1k - $2.3m),$1.6b,1280.0
748360,MY HERO ONE'S JUSTICE,BANDAI NAMCO Entertainment,Fighting,$1.4m ($808.1k - $2m),$478.1m,1243.0
314030,Guilty Gear X2 #Reload,Arc System Works,Fighting,$124.4k ($24.8k - $223.9k),$87.6m,1230.0
755500,ONE PIECE World Seeker,BANDAI NAMCO Entertainment,Fighting,$4.2m ($2.7m - $5.6m),$478.1m,1213.0
571260,THE KING OF FIGHTERS XIV STEAM EDITION,SNK CORPORATION,Fighting,$7.4m ($4.6m - $10.1m),$35.7m,1173.0
1215390,Animal Revolt Battle Simulator,VDimension,Fighting,$2.7m ($1.4m - $3.9m),$2.7m,1034.0
411830,SENRAN KAGURA SHINOVI VERSUS,XSEED Games,Fighting,$3m ($2.2m - $3.8m),$125.7m,1017.0
801630,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],Arc System Works,Fighting,$4.3m ($2.4m - $6.3m),$87.6m,959.0
425220,One Piece Burning Blood,BANDAI NAMCO Entertainment,Fighting,$3.4m ($2.2m - $4.6m),$478.1m,850.0
577940,Killer Instinct,Xbox Game Studios,Fighting,$2.4m ($1.8m - $3m),$1.8b,823.0
1390410,Midnight Fight Express,Humble Games,Fighting,$1m ($752.6k - $1.2m),$202.5m,765.0
601220,Zup! F,Quiet River,Fighting,$285.5k ($166.3k - $404.7k),$2.4m,751.0
1835240,Spiritfall,Gentle Giant,Fighting,$828.4k ($613.1k - $1m),$828.5k,738.0
804490,Creed: Rise to Glory,Survios,Fighting,$1.2m ($746.5k - $1.7m),$9.1m,719.0
1116960,UNDEFEATED,Vantan Game Academy,Fighting,0,$0 ,687.0
1021770, Wanba Warriors,Wanba Studio,Fighting,$844.6k ($477.9k - $1.2m),$1.4m,665.0
25000,Overgrowth,Wolfire Games,Fighting,$6.9m ($4.5m - $9.4m),$8.9m,601.0
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,SNK CORPORATION,Fighting,$1.6m ($1m - $2.1m),$35.7m,589.0
1420350,Fraymakers,Team Fray,Fighting,$976.5k ($636.9k - $1.3m),$974.7k,561.0
495140,NARUTO: Ultimate Ninja STORM,BANDAI NAMCO Entertainment,Fighting,$2.5m ($1.7m - $3.3m),$478.1m,550.0
1669170,Northend Tower Defense,Northend Games,Fighting,$432.7k ($259.4k - $606k),$432.7k,545.0
2536260,Mayhemers,Anigtas,Fighting,$69.6k ($37.6k - $101.7k),$69.6k,489.0
1685750,Capcom Fighting Collection,"CAPCOM Co., Ltd.",Fighting,$1.9m ($961k - $2.8m),$1.8b,537.0
1000360,Hellish Quart,Kubold,Fighting,$4.7m ($3m - $6.3m),$4.7m,484.0
232770,POSTAL,Running With Scissors,Horror,0,$19.5m,408008.0
1966720,Lethal Company,Zeekerss,Horror,$144.1m ($101.4m - $186.8m),$144.5m,239369.0
395170,DISTRAINT: Deluxe Edition,Jesse Makkonen,Horror,$230.7k ($141.5k - $319.9k),$554.6k,162795.0
391720,Layers of Fear (2016),Bloober Team SA,Horror,$9.1m ($5.4m - $12.8m),$23.7m,143872.0
782330,DOOM Eternal,Bethesda Softworks,Horror,$169.8m ($121.6m - $217.9m),$2.1b,84865.0
976310,Mortal Kombat 11,Warner Bros. Games,Horror,$86.6m ($53.8m - $119.3m),$882.3m,27301.0
2531310,The Last of Us Part II Remastered,PlayStation Publishing LLC,Horror,$33.5m ($22.8m - $44.1m),$1.3b,18345.0
418460,Rising Storm 2: Vietnam,Tripwire Interactive,Horror,$21.8m ($15.7m - $27.9m),$237.9m,24518.0
418370,Resident Evil 7 Biohazard,"CAPCOM Co., Ltd.",Horror,$69m ($44.4m - $93.6m),$1.8b,18211.0
1987080,Inside the Backrooms,MrFatcat,Horror,$17.5m ($10.9m - $24.1m),$17.5m,14807.0
2625420,Drive Beyond Horizons,Tacty Studio,Horror,$19.7m ($13.5m - $25.9m),$19.7m,14797.0
307780,Mortal Kombat X,Warner Bros. Games,Horror,$51m ($33.7m - $68.3m),$882.3m,13649.0
1562430,DREDGE,Team17,Horror,$34.4m ($23.5m - $45.4m),$491.6m,12686.0
934700,Dead Island 2,Deep Silver,Horror,$18.3m ($13.1m - $23.4m),$567.3m,12054.0
2095300,Breakout 13,ALT Lab,Horror,$2.2m ($1.5m - $2.9m),$2.3m,11925.0
3014080,The Hundred Line -Last Defense Academy-,Aniplex Inc.,Horror,$6.5m ($4.3m - $8.7m),$14.6m,9977.0
221040,Resident Evil 6,Capcom,Horror,$38.6m ($27.7m - $49.4m),$248m,11836.0
2644470,PICO PARK 2,TECOPARK,Horror,$3.8m ($2.1m - $5.4m),$17.3m,9579.0
963330,Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),Zloy Krot Studio,Horror,$6.6k ($3.5k - $9.6k),$18.3k,8543.0
813230,ANIMAL WELL,Bigmode,Horror,$13m ($9.1m - $16.8m),$13.8m,8107.0
568220,Lobotomy Corporation | Monster Management Simulation,ProjectMoon,Horror,$21.7m ($15.2m - $28.1m),$108.8m,7920.0
1063660,Bendy and the Dark Revival,Joey Drew Studios,Horror,$4.4m ($3.2m - $5.7m),$16.6m,5686.0
393530,Insanity Clicker,PlayFlock,Horror,$51.8k ($37.5k - $66.1k),$53k,6795.0
1552350,The Jackbox Party Pack 8,"Jackbox Games, Inc.",Horror,$4.2m ($2.3m - $6m),$65.9m,4635.0
282800,100% Orange Juice,Fruitbat Factory,Horror,$1.5m ($945k - $2.2m),$3.3m,5432.0
1963370,No One Survived,Cat Play Studio,Horror,$3.5m ($2.6m - $4.5m),$3.6m,4599.0
404590,Vikings - Wolves of Midgard,Kalypso Media Digital,Horror,$2.6m ($1.6m - $3.5m),$47.6m,4043.0
1766740,Choo-Choo Charles,Two Star Games,Horror,$7.2m ($5.2m - $9.2m),$7.4m,4033.0
282140,SOMA,Frictional Games,Horror,$11m ($7.9m - $14.1m),$30.8m,4015.0
752590,A Plague Tale: Innocence,Focus Entertainment,Horror,$25.4m ($18.7m - $32.1m),$728.4m,4030.0
1419170,My Singing Monsters,Big Blue Bubble,Horror,$8.7m ($5.7m - $11.7m),$9.4m,3909.0
1608450,Hellslave,Dear Villagers,Horror,$301.2k ($141.2k - $461.3k),$33.7m,3763.0
320240,We Happy Few,Gearbox Publishing,Horror,$14.8m ($10.2m - $19.4m),$259.9m,3498.0
227100,Sniper Elite: Nazi Zombie Army,Rebellion,Horror,$3.8m ($2.2m - $5.4m),$225m,3168.0
2021910,FPS Chess,DigiPen Institute of Technology,Horror,0,$0 ,2997.0
21690,Resident Evil 5,Capcom,Horror,$27.8m ($19.4m - $36.2m),$248m,2568.0
1839950,Terminator: Dark Fate - Defiance,Slitherine Ltd.,Horror,$3.1m ($2.1m - $4.1m),$97.4m,2382.0
321270,UNLOVED,Paul Schneider,Horror,$335.5k ($169.5k - $501.6k),$512.2k,2323.0
429570,The Walking Dead: Michonne - A Telltale Miniseries,Skybound Games,Horror,$1.8m ($1.2m - $2.3m),$81.1m,2203.0
338170,Ratz Instagib,Rarebyte,Horror,$795.2k ($525.1k - $1m),$855.4k,2037.0
543460,Dead Rising 4,Capcom,Horror,$5.5m ($3.2m - $7.7m),$248m,2178.0
1049800,BLOCKADE,Novalink,Horror,$79.2k ($51.4k - $106.9k),$135.9k,2026.0
637100,Sonic Forces,SEGA,Horror,$4.8m ($3.1m - $6.5m),$1.6b,2020.0
520720,Dear Esther: Landmark Edition,Secret Mode,Horror,$566.5k ($313.4k - $819.7k),$74.5m,2004.0
604010,Chimpology,Junkhive,Horror,$2.6k ($1.3k - $3.9k),$2.6k,1971.0
2322440,METAL SLUG ATTACK RELOADED,SNK CORPORATION,Horror,$282.5k ($180.5k - $384.5k),$35.7m,1894.0
628670,Hellpoint,tinyBuild,Horror,$3.2m ($2.1m - $4.3m),$179.6m,1862.0
332800,Five Nights at Freddy's 2,Scott Cawthon,Horror,$6.8m ($4m - $9.5m),$27.7m,1686.0
588160,Pizza Connection 3,Assemble Entertainment,Horror,$1.7m ($1m - $2.5m),$24.3m,1652.0
388090,Five Nights at Freddy's 4,Scott Cawthon,Horror,$5.2m ($3.5m - $7m),$27.7m,1637.0
2497920,A Difficult Game About Climbing,Pontypants,Horror,$1.7m ($1.3m - $2.1m),$1.9m,1578.0
612470,Bio Inc. Redemption,DryGin Studios,Horror,$1.5m ($1m - $2m),$1.5m,1469.0
521890,Hello Neighbor,tinyBuild,Horror,$8.8m ($5.9m - $11.7m),$179.6m,1399.0
2475490,Mouthwashing,CRITICAL REFLEX,Horror,$6.6m ($4.6m - $8.6m),$34.9m,1241.0
998740,Ring of Pain,Humble Games,Horror,$1.5m ($966.2k - $2.1m),$202.5m,1233.0
779290,Stygian: Reign of the Old Ones,Fulqrum Publishing,Horror,$1.4m ($992.8k - $1.8m),$51.6m,1207.0
492630,Bear With Me - Episode One,Miyagi Games,Horror,$2.5k ($1.8k - $3.2k),$10.8k,1201.0
504210,SHENZHEN I/O,Zachtronics,Horror,$1.8m ($1.1m - $2.6m),$14.4m,1160.0
726360,BOOBS SAGA: Prepare To Hentai Edition,Boobs Dev,Horror,$62k ($18.5k - $105.5k),$62k,1153.0
1426490,LOST EPIC,One or Eight,Horror,$583.8k ($357.9k - $809.7k),$740.2k,1149.0
