appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue
1597310,Airship: Kingdoms Adrift,indie.io,4X,$727.4k ($513.5k - $941.4k),$36.8m
1085660,Destiny 2,Bungie,Action,$912.3m ($522.3m - $1.3b),$912.4m
304390,FOR HONOR,Ubisoft,Action,$171.8m ($107.4m - $236.2m),$2.4b
1174180,Red Dead Redemption 2,Rockstar Games,Action,$439.2m ($323.3m - $555.1m),$770.8m
601150,Devil May Cry 5,"CAPCOM Co., Ltd.",Action,$132.4m ($83.4m - $181.5m),$1.8b
1254120,Bless Unleashed,VALOFE,Action,$9.8m ($6.6m - $12.9m),$27.3m
2993780,FANTASY LIFE i: The Girl Who Steals Time,LEVEL5 Inc.,Action,$24.8m ($16.9m - $32.7m),$37.7m
2384580,DYNASTY WARRIORS: ORIGINS,"KOEI TECMO GAMES CO., LTD.",Action,$49.2m ($32.1m - $66.3m),$424.5m
1172620,Sea of Thieves: 2025 Edition,Xbox Game Studios,Action,$273.9m ($193.4m - $354.4m),$1.8b
848450,Subnautica: Below Zero,Unknown Worlds Entertainment,Action,$48.7m ($38m - $59.5m),$185.6m
678960,CODE VEIN,Bandai Namco Entertainment,Action,$71.8m ($50.2m - $93.3m),$1.7b
1942280,Brotato,Blobfish,Action,$21.3m ($13.5m - $29m),$21.4m
48000,LIMBO,Playdead,Action,$6.1m ($3.8m - $8.5m),$21.1m
1693980,Dead Space,Electronic Arts,Action,$50.6m ($39.2m - $62.1m),$4.5b
221380,Age of Empires II (Retired),Xbox Game Studios,Action,$63.8m ($34.6m - $92.9m),$1.8b
240760,Wasteland 2: Director's Cut,inXile Entertainment,Action,$9.8m ($7.3m - $12.3m),$49m
2849080,Kingdom Rush 5: Alliance TD,Ironhide Game Studio,Action,$6.6m ($4.6m - $8.5m),$28.7m
555160,Pavlov,Vankrupt Games,Action,$24.5m ($16.8m - $32.2m),$24.4m
274940,Depth,Digital Confectioners,Action,$11.7m ($7.9m - $15.4m),$11.7m
1645820,SurrounDead,PlaySurrounDead,Action,$6.6m ($4.5m - $8.8m),$6.6m
292120,FINAL FANTASY XIII,Square Enix,Action,$8.3m ($6.3m - $10.4m),$1b
1498570,THE KING OF FIGHTERS XV,SNK CORPORATION,Action,$10.3m ($6.5m - $14m),$35.7m
826630,Iron Harvest,Prime Matter,Action,$27.6m ($16.8m - $38.5m),$76.6m
265300,Lords Of The Fallen 2014,CI Games,Action,$17.2m ($10.4m - $23.9m),$116.9m
699130,World War Z,Saber Interactive Inc,Action,$35.3m ($22.7m - $47.9m),$35.3m
1485590,ENDLESS Dungeon - Definitive Edition,AMPLITUDE Studios,Action,$4.5m ($3.2m - $5.8m),$86.3m
1798010,Mega Man Battle Network Legacy Collection Vol. 1,"CAPCOM Co., Ltd.",Action,$4.6m ($2.6m - $6.6m),$1.8b
487120,Citadel: Forged with Fire,Blue Isle Publishing,Action,$3.9m ($2.7m - $5.2m),$7.5m
669330,Mechabellum,Dreamhaven,Action,$7.8m ($5.8m - $9.9m),$15m
1256670,Library Of Ruina,ProjectMoon,Action,$13m ($9.5m - $16.4m),$108.8m
385400,Weapons Genius,Conglomerate 5,Action,$391.6k ($78.3k - $705k),$2.5m
640380,UBERMOSH Vol.5,Walter Machado,Action,$15.4k ($11.5k - $19.3k),$297.2k
412880,Drift Streets Japan,SA Industry,Action,$1.9m ($1m - $2.8m),$4m
285160,LEGO The Hobbit,Warner Bros. Interactive Entertainment,Action,$2.8m ($1.3m - $4.2m),$446.3m
2000890,MechWarrior 5: Clans,Piranha Games Inc.,Action,$3.7m ($2.3m - $5.1m),$24.6m
2294660,The Quinfall,Vawraek Technology Inc.,Action,$1.3m ($896.8k - $1.8m),$1.3m
617830,SUPERHOT VR,SUPERHOT Team,Action,$7.8m ($4.7m - $10.9m),$43.2m
450860,Andarilho,SC Jogos,Action,$22.6k ($13.5k - $31.6k),$762.8k
1150530,Wizard with a Gun,Devolver Digital,Action,$5.2m ($3.2m - $7.2m),$501.4m
911400,Assassin's Creed III Remastered,Ubisoft Entertainment,Action,$9.5m ($6.2m - $12.8m),$55.9m
239250,Castlevania: Lords of Shadow 2,KONAMI,Action,$5.8m ($4m - $7.5m),$639.8m
268130,Heat Signature,Suspicious Developments,Action,$3.3m ($2.4m - $4.2m),$12.4m
404410,Endless Sky,Michael Zahniser,Action,0,$0 
312990,The Expendabros,Devolver Digital,Action,0,$501.4m
1016950,Blood Bowl 3,Nacon,Action,$2.2m ($1.5m - $3m),$157.6m
339340,Resident Evil 0,"CAPCOM Co., Ltd.",Action,$4.6m ($3m - $6.2m),$1.8b
3328720,Flash Doll,Game Star,Action,$531.4k ($329.9k - $732.8k),$816.4k
462780,Darksiders Warmastered Edition,THQ Nordic,Action,$2.3m ($1.4m - $3.2m),$387.4m
513610,Madrobot X,Sometimes You,Action,$1.2k ($617 - $1.8k),$605.9k
1740720,Have a Nice Death,Arc Games,Action,$9.2m ($6.5m - $11.9m),$330.6m
420560,Firefighting Simulator - The Squad,astragon Entertainment,Action,$6.2m ($4.1m - $8.2m),$103.7m
1815570,Aces & Adventures,Yogscast Games,Action,$994.7k ($592.7k - $1.3m),$37.9m
533780,Zombie Defense,Home Net Games,Action,$2k ($1.2k - $2.8k),$440.6k
345180,Victor Vran ARPG,Haemimont Games,Action,$3.1m ($1.9m - $4.2m),$3.2m
58610,Wargame: European Escalation,Eugen Systems,Action,$906.1k ($482.8k - $1.3m),$60.1m
2695490,Age of Water,Gaijin Network Ltd,Action,$1.6m ($928.6k - $2.2m),$516.7m
1699480,KLETKA,Callback,Action,$2.7m ($1.6m - $3.8m),$2.6m
272470,The Incredible Adventures of Van Helsing II,NeocoreGames,Action,$1.5m ($879.9k - $2.2m),$38.8m
326120,Horizon Shift,Funbox Media Ltd,Action,$22.4k ($4.4k - $40.3k),$509.5k
2510710,Kunitsu-Gami: Path of the Goddess,"CAPCOM Co., Ltd.",Action,$2m ($1.5m - $2.5m),$1.8b
314710,Mighty No. 9,Deep Silver,Action,$1.6m ($1m - $2.1m),$567.3m
418030,Subsistence,ColdGames,Action,$5.1m ($3.5m - $6.8m),$5.1m
312780,Way of the Samurai 4,"Spike Chunsoft Co., Ltd.",Action,$1.5m ($1.1m - $1.9m),$94.5m
366090,Colony Survival,Pipliz,Action,$6.5m ($5m - $8.1m),$6.5m
1934570,South of Midnight,Xbox Game Studios,Action,$2.6m ($1.7m - $3.4m),$1.8b
375850,Island Defense,Stereo7 Games,Action,$23.8k ($4.7k - $42.9k),$32.4k
1634860,Minishoot' Adventures,SoulGame Studio,Action,$1.5m ($1.1m - $2m),$1.5m
485440,Call Of The Mighty Warriors,SC Jogos,Action,$5k ($2.6k - $7.3k),$762.8k
598700,The Vagrant,SakuraGame,Action,$760.6k ($501.3k - $1m),$3.9m
1627570,The Plucky Squire,Devolver Digital,Action,$2.7m ($1.7m - $3.7m),$501.4m
35700,Trine Enchanted Edition,Frozenbyte,Action,$3.1m ($1.6m - $4.6m),$30.2m
367270,Angels Fall First,Strangely Interactive Ltd,Action,$1.6m ($1m - $2.1m),$1.6m
458710,Kingdom Rush Frontiers - Tower Defense,Ironhide Game Studio,Action,$3m ($2m - $3.9m),$28.7m
598330,SimAirport,LVGameDev LLC,Action,$3.2m ($2.2m - $4.3m),$4m
965200,Walking Zombie 2,Alda Games,Action,$128.7k ($100.4k - $157.1k),$975.3k
1975580,Wild Woods,Daedalic Entertainment,Action,$1.2m ($752.8k - $1.6m),$159.9m
384490,NECROPOLIS: BRUTAL EDITION,Paradox Interactive,Action,$4.1m ($2.7m - $5.4m),$1.1b
1375900,Swarm Grinder,Null State Protocol,Action,$446.2k ($305k - $587.5k),$460.3k
1920480,River City Girls 2,WayForward,Action,$1.6m ($1.2m - $2m),$11.9m
3084280,Threefold Recital,indienova,Action,$578.9k ($357.2k - $800.6k),$41.5m
2616140,Sunset Motel,RockGame S.A.,Action,$555k ($360.2k - $749.8k),$5m
1832220,Blind Fate: Edo no Yami — Dojo,101XP,Action,0,$3.9m
1051310,Paper Dolls: Original / 纸人,"Beijing Litchi Culture Media Co., Ltd.",Action,$2.9m ($1.8m - $4m),$4.5m
1227780,Taur,Echo Entertainment,Action,$1.3m ($855k - $1.7m),$1.3m
2658450,LOLLIPOP CHAINSAW RePOP,"DRAGAMI GAMES, LTD.",Action,$2.3m ($1.7m - $2.9m),$2.7m
1961600,Darfall,Paradox Arc,Action,$464.2k ($339.5k - $589k),$14.6m
298030,Total Annihilation,Wargaming.net,Action,$333.2k ($213.5k - $452.8k),$343.6k
396480,Battlevoid: Harbinger,Bugbyte Ltd.,Action,$214.1k ($145.5k - $282.7k),$9.5m
246580,The Typing of The Dead: Overkill,SEGA,Action,$3.2m ($2m - $4.5m),$1.6b
2021210,DRAGON QUEST TREASURES,Square Enix,Action,$555.8k ($350.5k - $761k),$1b
410710,System Shock: Enhanced Edition,Nightdive Studios,Action,$137.4k ($76k - $198.9k),$20.5m
1055430,Swords and Sandals Classic Collection,eGames.com,Action,$1.6m ($1m - $2.2m),$2.4m
2085370,Classified: France '44,Team17,Action,$829.5k ($509.2k - $1.1m),$491.6m
2602030,Entropy Survivors,First Break Labs,Action,$288.8k ($179.5k - $398.1k),$631.1k
1952250,SAMURAI MAIDEN,D3PUBLISHER,Action,$1.1m ($648.2k - $1.6m),$55.3m
1573100,Subterrain: Mines of Titan,indie.io,Action,$305k ($203.1k - $407k),$36.8m
581630,Sword With Sauce,Diatomic Studios,Action,$1m ($606k - $1.5m),$1m
503620,Fictorum,Scraping Bottom Games,Action,$886.1k ($547.5k - $1.2m),$886.1k
2236070,Peaks of Yore,TraipseWare,Action,$1m ($748.5k - $1.3m),$1m
640890,Will Glow the Wisp,PartTimeIndie,Action,$3.4k ($1.7k - $5.1k),$8.8k
311770,LEGO Pirates of the Caribbean: The Video Game,Disney,Action,$3.2m ($1.9m - $4.5m),$129.5m
1623730,Palworld,Pocketpair,Adventure,$414.2m ($260.2m - $568.3m),$438m
346110,ARK: Survival Evolved,Studio Wildcard,Adventure,$456.5m ($309.6m - $603.4m),$538.1m
1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,Adventure,$75m ($50m - $100m),$75m
1222670,The Sims 4,Electronic Arts,Adventure,$159.5m ($85.2m - $233.9m),$4.5b
2215430,Ghost of Tsushima DIRECTOR'S CUT,PlayStation Publishing LLC,Adventure,$103.4m ($74.1m - $132.8m),$1.3b
1364780,Street Fighter 6,"CAPCOM Co., Ltd.",Adventure,$126.8m ($84.5m - $169.1m),$1.8b
834910,ATLAS,Grapeshot Games,Adventure,$24m ($16.3m - $31.7m),$24m
1113560,NieR Replicant ver.1.22474487139...,Square Enix,Adventure,$25.8m ($17.6m - $33.9m),$1b
2072450,Like a Dragon: Infinite Wealth,SEGA,Adventure,$26.4m ($19.6m - $33.1m),$1.6b
346900,AdVenture Capitalist,Hyper Hippo Games,Adventure,$9.9m ($6.8m - $13m),$10m
1084600,My Time at Sandrock,Pathea Games,Adventure,$24m ($17.2m - $30.7m),$29.2m
383180,Dead Island: Riptide Definitive Edition,Deep Silver,Adventure,$3.5m ($1.8m - $5.2m),$567.3m
298110,Far Cry® 4,Ubisoft,Adventure,$54.9m ($43.8m - $66m),$2.4b
2375550,Like a Dragon Gaiden: The Man Who Erased His Name,SEGA,Adventure,$9.6m ($7.2m - $12.1m),$1.6b
700330,SCP: Secret Laboratory,Northwood Studios,Adventure,0,$0 
751780,Forager,Humble Games,Adventure,$23.1m ($15.3m - $30.9m),$202.5m
324800,Shadow Warrior 2,Devolver Digital,Adventure,$34.4m ($19.2m - $49.5m),$501.4m
365360,Battle Brothers,Overhype Studios,Adventure,$11.1m ($7.3m - $14.9m),$11.1m
527230,For The King,Curve Games,Adventure,$25.2m ($15.3m - $35.1m),$196.4m
1041720,Kingdoms of Amalur: Re-Reckoning,THQ Nordic,Adventure,$13.2m ($8.8m - $17.6m),$387.4m
414340,Hellblade: Senua's Sacrifice,Ninja Theory,Adventure,$25.3m ($16.2m - $34.4m),$26m
32370,STAR WARS Knights of the Old Republic,LucasArts,Adventure,$14.7m ($9.5m - $20m),$124.9m
614570,Dishonored: Death of the Outsider,Bethesda Softworks,Adventure,$5.7m ($3.6m - $7.7m),$2.1b
20500,Red Faction Guerrilla Steam Edition,Deep Silver,Adventure,0,$567.3m
822240,Animal Jam,"WildWorks, Inc.",Adventure,$1.9m ($994.4k - $2.9m),$1.9m
1239020,TOGETHER BnB,AURORA Games,Adventure,$5m ($3.2m - $6.8m),$5.1m
2776450,Multiverse Loot Hunter,游戏养家工作室,Adventure,$588.8k ($380.9k - $796.8k),$919.8k
636480,Ravenfield,SteelRaven7,Adventure,$14.5m ($9.5m - $19.5m),$14.5m
50620,Darksiders,THQ Nordic,Adventure,0,$387.4m
1796470,Haste,Landfall,Adventure,$6.6m ($4.6m - $8.7m),$200.8m
365420,Apollo4x,Volens Nolens Games,Adventure,$4.7k ($2.3k - $7.1k),$658.4k
397060,Faeria,Versus Evil,Adventure,$4.8m ($1.1m - $8.5m),$33.5m
247000,Talisman: Digital Edition,Nomad Games,Adventure,$5.1m ($3.2m - $7m),$6m
33230,Assassin's Creed 2,Ubisoft,Adventure,$27.1m ($20.1m - $34.1m),$2.4b
269770,Secrets of Grindea,Pixel Ferrets,Adventure,$4.7m ($3.5m - $5.9m),$4.7m
1816300,HARVESTELLA,Square Enix,Adventure,$4.7m ($3.1m - $6.4m),$1b
407130,Tank Mechanic Simulator,PlayWay S.A.,Adventure,$3.9m ($2.4m - $5.4m),$275.8m
239350,Spelunky,Mossmouth,Adventure,$6.9m ($4.8m - $9m),$23.4m
1726400,The Death | Thần Trùng,DUT Studio,Adventure,$165.8k ($99.5k - $232.1k),$165.8k
937170,Otaku's Adventure,Spacelight Studio,Adventure,$1.2m ($789.1k - $1.7m),$1.2m
1466640,Road 96 ,THQ Nordic,Adventure,$7.3m ($5.2m - $9.4m),$387.4m
581600,The Albatross,FlagmanJeremy,Adventure,$2.8k ($1.1k - $4.5k),$28.6k
291170,Royal Defense,8Floor,Adventure,$22.1k ($12k - $32.1k),$3.8m
203350,King's Bounty: Warriors of the North,Fulqrum Publishing,Adventure,$375.5k ($230.2k - $520.8k),$51.6m
1140440,OMON Simulator,United Nations,Adventure,$53.3k ($31.1k - $75.5k),$53.3k
1120810,Eastern Exorcist,Wildfire Game（无锡野火数字科技有限公司）,Adventure,$1.3m ($860.9k - $1.7m),$1.3m
1530160,Digimon World: Next Order,Bandai Namco Entertainment,Adventure,$4.5m ($2.9m - $6.1m),$1.7b
2369900,Castlevania Dominus Collection,KONAMI,Adventure,$2.3m ($1.5m - $3.1m),$639.8m
547680,Guild Quest,Hyper Hippo Games,Adventure,$3.4k ($2.4k - $4.4k),$10m
275670,Space Run,Focus Entertainment,Adventure,$1.5m ($1.1m - $1.9m),$728.4m
593280,Cat Quest,Kepler Interactive,Adventure,$2.5m ($1.5m - $3.4m),$249.7m
538680,The Legend of Heroes: Trails of Cold Steel,XSEED Games,Adventure,$5.1m ($3.4m - $6.8m),$125.7m
2827230,Wild Assault,Combat Cat Studio,Adventure,$838.5k ($527.9k - $1.1m),$833.5k
356040,Sheltered,Team17 Digital Ltd,Adventure,$3.2m ($2m - $4.4m),$25.9m
1282150,SpongeBob SquarePants: The Cosmic Shake,THQ Nordic,Adventure,$5.5m ($3.4m - $7.7m),$387.4m
3069120,Love Curse: Find Your Soulmate,Xso,Adventure,$444.2k ($282k - $606.4k),$442.8k
221540,DG2: Defense Grid 2,Hidden Path Entertainment,Adventure,$1.3m ($853.6k - $1.8m),$3.1m
1069160,SKALD: Against the Black Priory,Raw Fury,Adventure,$1.2m ($823.9k - $1.6m),$99.5m
1574260,My Friendly Neighborhood,DreadXP,Adventure,$2.1m ($1.6m - $2.7m),$18.5m
714020,Idle Adventure,zha7,Adventure,$2.4k ($1.6k - $3.3k),$2.5k
2514960,Refind Self: The Personality Test Game,PLAYISM,Adventure,$1.2m ($843.8k - $1.7m),$86.3m
948740,AI: The Somnium Files,"Spike Chunsoft Co., Ltd.",Adventure,$5m ($3.3m - $6.8m),$94.5m
1324530,"Warhammer 40,000: Shootas, Blood & Teef",Rogueside,Adventure,$1.6m ($1m - $2.2m),$5.9m
24880,The Saboteur,Electronic Arts,Adventure,$690.5k ($451.5k - $929.4k),$4.5b
864700,Dinosaur Fossil Hunter,▲ Pyramid Games,Adventure,$741.1k ($448.2k - $1m),$2.4m
235360,Prime World: Defenders,Nival,Adventure,$349.8k ($221.8k - $477.8k),$2.5m
735280,EMERGENCY 20,Sixteen Tons Entertainment,Adventure,$3.3m ($2.3m - $4.3m),$5.3m
202750,Alan Wake's American Nightmare,Remedy Entertainment,Adventure,$2.3m ($1.6m - $2.9m),$66m
111800,Blocks That Matter,Swing Swing Submarine,Adventure,$119.7k ($54.1k - $185.2k),$250k
388880,Oxenfree,Night School Studio,Adventure,$3m ($2.2m - $3.9m),$3.3m
813540,Scheming Through The Zombie Apocalypse: The Beginning,GrabTheGames,Adventure,$73k ($30.1k - $115.9k),$13.7m
295250,Stranded,Curve Games,Adventure,$44.7k ($8.9k - $80.5k),$196.4m
1296360,Archvale,Humble Games,Adventure,$783.1k ($472.5k - $1m),$202.5m
951240,Obenseuer,Loiste Interactive,Adventure,$400.1k ($282.7k - $517.5k),$1.1m
1859280,7 Days to End with You,PLAYISM,Adventure,$1.2m ($717.3k - $1.7m),$86.3m
2138090,Atelier Marie Remake: The Alchemist of Salburg,"KOEI TECMO GAMES CO., LTD.",Adventure,$627.6k ($392.2k - $862.9k),$424.5m
205610,Port Royale 3,Kalypso Media Digital,Adventure,$740.3k ($483.2k - $997.4k),$47.6m
286100,You Have to Win the Game,Minor Key Games,Adventure,0,$1.4m
2071200,The Bad Kids,LightOn Game,Adventure,$107.1k ($70.5k - $143.7k),$149.9k
2100,Dark Messiah of Might & Magic,Ubisoft,Adventure,$4.5m ($2.9m - $6.1m),$2.4b
612570,Fort Triumph,CookieByte Entertainment,Adventure,$276.7k ($155.5k - $397.8k),$276.7k
