appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
227300,Euro Truck Simulator 2,SCS Software,Indie,$122.5m ($92.7m - $152.2m),$173.1m,69695.0,97.45,15000000.0,0.8081055801599548
244210,Assetto Corsa,Kunos Simulazioni,Indie,$112.5m ($75.3m - $149.7m),$112.5m,19780.0,92.49,7500000.0,0.7454941613958463
1296830,暖雪 Warm Snow,bilibili,Indie,$21.1m ($13.8m - $28.4m),$133.8m,44545.0,93.03,1500000.0,0.7115168722295468
274170,Hotline Miami 2: Wrong Number,Devolver Digital,Indie,$12.7m ($9.1m - $16.3m),$501.4m,18882.0,94.15,3500000.0,0.7033169599582656
1222700,A Way Out,Electronic Arts,Indie,$29.9m ($19.6m - $40.1m),$4.5b,8548.0,87.06,3500000.0,0.6935090996230403
714010,Aim Lab,Statespace,Indie,$24.6m ($13.5m - $35.6m),$24.6m,15141.0,70.272,3500000.0,0.6692475074190276
274190,Broforce,Devolver Digital,Indie,$18.8m ($12.7m - $25m),$501.4m,4285.0,97.0,3500000.0,0.6659332319406202
972660,Spiritfarer: Farewell Edition,Thunder Lotus,Indie,$21m ($14.3m - $27.8m),$26.5m,11726.0,95.05,1500000.0,0.6651874371321199
590380,Into the Breach,Subset Games,Indie,$12m ($7.9m - $16m),$30.8m,14573.0,94.2,1500000.0,0.6635761256176538
690830,Foundation,Polymorph Games,Indie,$26.5m ($18.2m - $34.7m),$26.5m,18422.0,85.87,750000.0,0.6578276275998453
1190970,House Flipper 2,Frozen District,Indie,$34.3m ($21.9m - $46.7m),$99.1m,21829.0,86.69,350000.0,0.6562240635631497
204300,Awesomenauts,Atari,Indie,$4.9m ($2.4m - $7.4m),$37.7m,12050.0,85.07,3500000.0,0.6553707395772858
704850,Thief Simulator,PlayWay S.A.,Indie,$18.1m ($9.4m - $26.8m),$275.8m,7186.0,88.46,1500000.0,0.6512856179262403
1029780,Going Medieval,Mythwright,Indie,$16.2m ($11m - $21.4m),$41.3m,14600.0,89.52,750000.0,0.6490264114472954
240720,Getting Over It with Bennett Foddy,Bennett Foddy,Indie,$18.1m ($13.3m - $22.9m),$18.1m,4959.0,82.72,3500000.0,0.6413689356064989
326460,ShellShock Live,kChamp Games,Indie,$13.2m ($8.4m - $18.1m),$13.3m,7346.0,93.39,1500000.0,0.6393323924153942
2407270,AI LIMIT,CE-Asia,Indie,$14m ($8.7m - $19.4m),$18.2m,14433.0,92.76,350000.0,0.6292017514525576
510840,Evolvation,HyperReuts,Indie,$180.7k ($36.1k - $325.3k),$180.7k,100638.0,61.875,1500000.0,0.6080277940871589
582010,Monster Hunter: World,"CAPCOM Co., Ltd.",JRPG,$427.1m ($281.3m - $572.9m),$1.8b,329333.0,89.15,15000000.0,0.8760901201936593
1687950,Persona 5 Royal,SEGA,JRPG,$101.5m ($64.5m - $138.6m),$1.6b,35298.0,96.58,3500000.0,0.7603269897510971
2679460,Metaphor: ReFantazio,SEGA,JRPG,$52.6m ($34.5m - $70.8m),$1.6b,85194.0,90.5,1500000.0,0.7529810260146971
