appid,name,genres,release_date,is_free,price,developers,publishers
708580,The Exorcist: Legion VR - Chapter 1: First Rites,"Action, Adventure","22 Nov, 2017",False,"₩ 5,500",Wolf & Wood Interactive Ltd,"LegionVR, LLC, Fun Train"
742420,Saints Row,"Action, Adventure","24 Aug, 2023",False,"₩ 30,400",Volition,Deep Silver
362020,Queen At Arms,"Adventure, RPG","3 Feb, 2016",False,"₩ 27,000",Aqualuft Games,Aqualuft Games
1398740,The Chrono Jotter,Adventure,"25 Aug, 2021",False,"₩ 12,500",Orca Layout,"2P Games, Orca Layout"
1450750,Deva｜The Haunted Game,Action,"3 May, 2021",False,"₩ 18,500",ViserionStudio,ViserionStudio
614140,Illusoria,Adventure,"30 May, 2017",False,"₩ 1,100",Under The Bridge,BadLand Publishing
551570,Sarab: Duji Tower,"Adventure, RPG","17 Nov, 2016",False,"₩ 2,200",Abdulla Hassan Al-Farsi,Abdulla Hassan Al-Farsi
307210,Will Fight for Food: Super Actual Sellout: Game of the Hour,"Action, RPG","22 Apr, 2015",False,"₩ 5,600",Pyrodactyl,Pyrodactyl
922140,"Oh, you touch my balls ( ͡° ͜ʖ ͡°)",,"10 Oct, 2018",False,"₩ 1,100",Easy game,Game for people
592030,Just In Time Incorporated,Action,"27 Jul, 2017",False,"₩ 5,500",Second Wind Interactive,Second Wind Interactive
796350,NatureFly,Adventure,"18 Feb, 2018",False,₩ 820,John's Project,John's Project
1301340,Super Blood Warriors,Action,Coming soon,False,,"Nick Backus, Noah Backus","Nick Backus, Noah Backus"
1253030,Cubecois,,"17 Jun, 2020",True,,9 Squad LTD,9 Squad LTD
727530,Expelled,"Action, Adventure","1 Nov, 2017",False,"₩ 5,600","Whited43, Fantsize",Conglomerate 5
1341820,As Dusk Falls,Adventure,"19 Jul, 2022",False,"₩ 7,470",INTERIOR/NIGHT,Xbox Game Studios
329440,Sonic Lost World,Adventure,"2 Nov, 2015",False,"₩ 8,700",Sonic Team,SEGA
1384500,The Owl Quest,Adventure,"18 Aug, 2020",False,"₩ 2,270",Biscay JPh,Biscay JPh
772940,Mori and the Whisper,Adventure,Coming soon,False,,Crystal Realms Entertainment,Crystal Realms Entertainment
893610,Skautfold: Into the Fray,"Action, RPG","5 Dec, 2018",False,"₩ 11,000",Steve Gal,Pugware
438790,Random Access Murder,Action,"5 Aug, 2016",False,"₩ 6,700",Team Murder,Team Murder
1341980,Coronavirus - Nano Force,Action,"25 Jun, 2020",True,,Daniel Snow,Daniel Snow
1261630,Mindframe: The Secret Design Collector's Edition,Adventure,"6 Mar, 2020",False,"₩ 10,500",Mad Head Games,Big Fish Games
823210,Lunar Soil,"Adventure, RPG",To be announced,False,,Morgondag,Morgondag
474210,BUTCHER,"Action, Adventure","5 Oct, 2016",False,"₩ 10,500","Phobia Game Studio, Transhuman Design",Crunching Koalas
310830,Retrobooster,Action,"11 Jul, 2014",False,"₩ 16,500",Really Slick,Really Slick
469710,Shattered Throne,,"28 Nov, 2016",False,"₩ 5,600",Checkmark Games,Checkmark Games
