appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
285600,Moebius: Empire Rising Demo,"Adventure, Indie, Puzzle",,,,Phoenix Online Studios,Phoenix Online Publishing,0.0,steamspy,,True
320361,Moira's Urban Ninja Costume,"Action, Adventure",,,,Capcom,Capcom,0.0,steamspy,,True
994970,Molecats Demo,"Adventure, Casual, Indie, Puzzle",,,,Vidroid,Vidroid,0.0,steamspy,,True
727210,Moleman 4 - Longplay (Deluxe Edition): Moleman 2 - Demoscene: The Art of the Algorithms,Indie,,,,,,0.0,steamspy,1.0,True
722841,Moleman 4 - Longplay (Deluxe Edition): Moleman 4 - 90s Expansion Pack,Indie,,,,,,0.0,steamspy,,True
521070,Momento Temporis: Light from the Deep Demo,"Action, Adventure, Indie, Metroidvania, Platformer",,,,Burning Ice Games,Burning Ice Games,0.0,steamspy,,True
463080,Momentum Demo,Indie,,,,Projectile Entertainment,Projectile Entertainment,0.0,steamspy,8.0,True
449360,Momodora: Reverie Under the Moonlight OST,"Action, Indie",,,,Bombservice,PLAYISM,0.0,steamspy,,True
802420,Momoiro Closet Demo,"Adventure, Casual, Visual Novel",,,,Frontwing,Frontwing USA,0.0,steamspy,,True
416920,Monaco Soundtrack by Austin Wintory,"Action, Adventure, Casual, Indie, Strategy",,,,"Pocketwatch Games, Austin Wintory",Pocketwatch Games,0.0,steamspy,,True
1017280,Monads Demo,"Indie, JRPG, RPG, Strategy",,,,Team Monad,PsychoFlux Entertainment,0.0,steamspy,,True
80595,Monday Night Combat Ammo Mule Trailer,"Action, Indie, Shooter, Sports, Strategy, Tower Defense",,,,Uber Entertainment,Uber Entertainment,0.0,steamspy,,True
80593,Monday Night Combat Crossfire Trailer,"Action, Indie, Shooter, Sports, Strategy, Tower Defense",,,,,,0.0,steamspy,,True
80594,Monday Night Combat LaseRazor Trailer,"Action, Indie, Shooter, Sports, Strategy, Tower Defense",,,,,,0.0,steamspy,,True
80795,Monday Night Combat Tullys Trailer,"Action, Indie, Shooter, Sports, Strategy, Tower Defense",,,,,,0.0,steamspy,,True
469680,Mondrian - Abstraction in Beauty Demo,"Casual, Indie",,,,Lantana Games,Lantana Games,0.0,steamspy,,True
392810,Mondrian - Abstraction in Beauty: Original Game Soundtrack,"Casual, Indie",,,,Lantana Games,Lantana Games,0.0,steamspy,,True
611650,Mono Demo,"Horror, Indie",,,,JeliLiam,JeliLiam,0.0,steamspy,,True
304610,Monochroma Demo,"Action, Adventure, Horror, Indie, Platformer, Puzzle",,,,Nowhere Studios,Nowhere Studios,0.0,steamspy,,True
1070270,Monster Boy And The Cursed Kingdom Demo,"Action, Adventure, Indie, Metroidvania, Platformer",,,,Game Atelier,FDG Entertainment,0.0,steamspy,,True
1044070,Monster Crush - C4 Demolition Edition,"Casual, Indie, Strategy",,,,628 Games,628 Games,0.0,steamspy,,True
770976,Monster Hunter: World - The Handler's Friendly Felyne Costume,Action,,,,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.0,steamspy,,True
763699,Monster Hunter: World - The Handler's Guildmarm Costume,Action,,,,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.0,steamspy,,True
912540,Monster Hunter: World Original Soundtrack,Action,,,,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",0.0,steamspy,,True
634030,Monster Slayers - Fire and Steel Expansion,"Action, Indie",,,,Nerdook Productions,Digerati,0.0,steamspy,,True
16630,Monster Trucks Nitro Demo,"Indie, Racing, Sports",,,,Redlynx Ltd,Miniclip.com,0.0,steamspy,,True
5184,Monster Trucks Nitro Trailer,"Indie, Racing, Sports",,,,,,0.0,steamspy,,True
385870,Monstrum - Original Soundtrack,Indie,,,,Team Junkfish,Junkfish Limited,0.0,steamspy,,True
1664360,Monuments Flipper: Prologue,"Casual, Indie, Simulation",,,,"Monuments Games, Games Incubator","Games Incubator, PlayWay S.A.",0.0,steamspy,,True
434350,Moon Hunters - Soundtrack,"Adventure, Indie, RPG",,,,Kitfox Games,Kitfox Games,0.0,steamspy,,True
973740,Moonlighter Original Soundtrack,"Action, Adventure, Indie",,,,Digital Sun,11 bit studios,0.0,steamspy,,True
773310,Morleyville Mall Demo,"Action, Horror, Indie, Strategy",,,,StarvingIndieDeveloper,StarvingIndieDeveloper,0.0,steamspy,,True
351020,Morningstar: Descent to Deadrock Demo,"Adventure, Indie",,,,Red Herring Labs,Phoenix Online Publishing,0.0,steamspy,,True
277720,MorphVOX Pro 4 - Voice Expansion Pack,Casual,,,,Screaming Bee,Screaming Bee,0.0,steamspy,,True
1119580,Morphies Law Demo,"Action, Indie, Shooter",,,,Cosmoscope GmbH,Cosmoscope GmbH,0.0,steamspy,,True
1054872,Mortal Kombat 11 Gold Demon Scorpion,Action,,,,"NetherRealm Studios, QLOC, Shiver",,0.0,steamspy,,True
1095031,Mortal Kombat 11 Klassic Arcade Ninja Skin Pack 1,Action,,,,"NetherRealm Studios, QLOC, Shiver",,0.0,steamspy,,True
558310,Mosaic: Game of Gods - Soundtrack,Casual,,,,New Bridge Games,New Bridge Games,0.0,steamspy,,True
558280,Mosaic: Game of Gods Demo,"Casual, Puzzle",,,,New Bridge Games,New Bridge Games,0.0,steamspy,,True
841940,Mosaic: Game of Gods II Demo,"Casual, Puzzle",,,,New Bridge Games,New Bridge Games,0.0,steamspy,,True
572460,Moto Racer  4 Demo,"Action, Racing, Sports",,,,Artefacts Studio,Microids,0.0,steamspy,4.0,True
510940,Moto Racer 4 - Season Pass,Racing,,,,Artefacts Studio,Microids,0.0,steamspy,,True
