appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
431960,Wallpaper Engine,"Action, Horror, Indie",,,,Wallpaper Engine Team,Wallpaper Engine Team,65691.0,steamspy,150271.0,True
786520,SAO Utils: Beta,Indie,,,,Joshua Chen,Studio GPBeta,871.0,steamspy,3847.0,True
1929610,Demonologist,"Action, Horror, Indie, Survival",,,,Clock Wizard Games,Clock Wizard Games,258.0,steamspy,8693.0,True
2552450,KINGDOM HEARTS III + Re Mind (DLC),"Action, Adventure, JRPG, RPG",,,,Square Enix,Square Enix,255.0,steamspy,1267.0,True
231120,Euro Truck Simulator 2 Demo,"Action, Adventure, Casual, Indie, RPG, Racing, Simulation",,,,SCS Software,SCS Software,212.0,steamspy,1310.0,True
830640,DayZ Tools,Survival,,,,Bohemia Interactive,Bohemia Interactive,82.0,steamspy,216.0,True
457550,Bigscreen Beta,"Adventure, Casual, Simulation",,,,"Bigscreen, Inc.","Bigscreen, Inc.",76.0,steamspy,2436.0,True
452280,Factorio Demo,"Indie, Simulation, Strategy, Survival",,,,Wube Software LTD.,Wube Software LTD.,74.0,steamspy,2987.0,True
2707900,NIGHT-RUNNERS PROLOGUE,"Horror, RPG, Racing, Sports",,,,PLANET JEM,PLANET JEM,62.0,steamspy,1992.0,True
10150,Prototype,"Action, Adventure, Horror, RPG",,,,Radical Entertainment,Activision,51.0,steamspy,965.0,True
2552440,KINGDOM HEARTS HD 2.8 Final Chapter Prologue,"Action, Adventure, JRPG, RPG",,,,Square Enix,Square Enix,50.0,steamspy,202.0,True
591960,Animation Throwdown: The Quest for Cards,"Adventure, Card & Board, Casual, Horror, RPG, Strategy",,,,"Synapse Games, Chinzilla",Kongregate,49.0,steamspy,1359.0,True
1410710,Democracy 4,"Indie, Simulation, Strategy",,,,Positech Games,Positech Games,48.0,steamspy,685.0,True
115320,Prototype 2,"Action, Adventure, Horror, RPG",,,,Radical Entertainment,Activision,43.0,steamspy,4062.0,True
1490890,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,"Action, Adventure",,,,CyberConnect2,SEGA,39.0,steamspy,7939.0,True
564310,Serious Sam Fusion 2017 (beta),"Action, Indie, Shooter",,,,Croteam,"Devolver Digital, Croteam",39.0,steamspy,486.0,True
1344350,SUCCUBUS: Prologue,"Action, Adventure, Horror, Indie",,,,Madmind Studio,Madmind Studio,38.0,steamspy,395.0,True
2204130,Sid Meier's Alpha Centauri Planetary Pack,"4X, Strategy",,,,Firaxis Games,Electronic Arts,37.0,steamspy,276.0,True
1092720,Hello Neighbor Alpha 2,"Action, Horror, Puzzle, Survival",,,,Dynamic Pixels,tinyBuild,31.0,steamspy,102.0,True
3132990,Black Myth: Wukong Benchmark Tool,"Action, Adventure, Horror",,,,Game Science,Game Science,30.0,steamspy,47941.0,True
267530,The LEGO Movie - Videogame,"Action, Adventure, Casual, Platformer, RPG",,,,"TT Fusion, Traveller's Tales",Warner Bros. Interactive Entertainment,29.0,steamspy,1394.0,True
1396240,Contraband Police: Prologue,"Action, Shooter, Simulation",,,,Crazy Rocks,PlayWay S.A.,28.0,steamspy,798.0,True
3011030,NO-SKIN,"Horror, RPG, Strategy",,,,NoEye-Soft,NoEye-Soft,26.0,steamspy,214.0,True
2089250,Alpha Response,"Action, Shooter",,,,Ultimo Ratio Games,Ultimo Ratio Games,25.0,steamspy,1439.0,True
1092710,Hello Neighbor Alpha 1,"Action, Horror, Platformer, Puzzle, Survival",,,,Dynamic Pixels,tinyBuild,25.0,steamspy,149.0,True
1096710,Hello Neighbor Alpha 4,"Action, Adventure, Horror, Indie, Puzzle, Strategy, Survival",,,,Dynamic Pixels,tinyBuild,24.0,steamspy,141.0,True
1694430,Dynamic Dungeons Editor,"Adventure, Card & Board, RPG",,,,Dynamic Dungeons,Dynamic Dungeons,22.0,steamspy,88.0,True
1804010,Labyrinth Of The Demon King,"Action, Adventure, Horror, RPG, Survival",,,,J. R. Hudepohl,"Top Hat Studios, Inc.",22.0,steamspy,435.0,True
974630,Shadow of the Tomb Raider Demo,"Action, Adventure, Puzzle, Shooter, Survival",,,,"Eidos-Montréal, Crystal Dynamics, Nixxes software",Square Enix,21.0,steamspy,780.0,True
2315430,The Executive - Movie Industry Tycoon,"Casual, Indie, Simulation, Strategy",,,,Aniki Games,"Goblinz Publishing, Maple Whispering Limited",20.0,steamspy,911.0,True
1196080,Space Simulation Toolkit,"Indie, Platformer, Simulation",,,,Pavel Kudinov,Pavel Kudinov,19.0,steamspy,71.0,True
42850,Arsenal of Democracy: A Hearts of Iron Game,Strategy,,,,BL-Logic,Paradox Interactive,16.0,steamspy,93.0,True
1055010,Energy Engine PC Live Wallpaper,Simulation,,,,3dm_live_wallpapers,3dm_live_wallpapers,16.0,steamspy,201.0,True
115100,Costume Quest,"Action, Adventure, Casual, Indie, Puzzle, RPG, Strategy",,,,Double Fine Productions,Double Fine Productions,14.0,steamspy,742.0,True
1092700,Hello Neighbor Pre-Alpha,"Action, Horror, Puzzle, Survival",,,,Dynamic Pixels,tinyBuild,14.0,steamspy,143.0,True
1933660,Demons Roots,"Adventure, Indie, JRPG, RPG",,,,Quick nail Aristocrat,Kagura Games,13.0,steamspy,599.0,True
603440,Empires of the Undergrowth Demo,"Adventure, Indie, Simulation, Strategy, Survival",,,,Slug Disco Studios,Slug Disco Studios,13.0,steamspy,162.0,True
1743850,HYPER DEMON,"Action, Shooter",,,,Sorath,Sorath,13.0,steamspy,346.0,True
3204020,Juufuutei Raden's Guide for Pixel Museum,"Casual, Indie, Platformer, Puzzle",,,,Jupiter Corporation,Jupiter Corporation,13.0,steamspy,633.0,True
1377150,Operation: Tango - Demo,"Adventure, Casual, Puzzle",,,,Clever Plays,Clever Plays,13.0,steamspy,849.0,True
1003890,Blacksad: Under the Skin,"Adventure, Puzzle",,,,"Pendulo Studios, YS Interactive",Microids,12.0,steamspy,269.0,True
640590,The LEGO NINJAGO Movie Video Game,"Action, Adventure, Platformer",,,,"Traveller's Tales, TT Games",Warner Bros. Interactive Entertainment,12.0,steamspy,5388.0,True
1325900,Demon Turf: Queens Edition,"Action, Adventure, Platformer",,,,Fabraz,Playtonic Friends,11.0,steamspy,91.0,True
1168280,"Resident Evil 2 ""R.P.D. Demo""","Action, Horror, Shooter, Survival",,,,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",11.0,steamspy,368.0,True
41010,Serious Sam HD: The Second Encounter - Demo,"Action, Indie, Shooter",,,,Croteam,Devolver Digital,11.0,steamspy,5992.0,True
881320,The LEGO Movie 2 Videogame,"Action, Adventure, Casual",,,,"TT Games, Feral interactive (Mac)","Warner Bros. Interactive Entertainment, Feral interactive (Mac)",11.0,steamspy,240.0,True
1092730,Hello Neighbor Alpha 3,"Action, Adventure, Horror, Indie, Puzzle, Strategy, Survival",,,,Dynamic Pixels,tinyBuild,10.0,steamspy,80.0,True
1364960,Hello Neighbor 2 Alpha 1.5,"Adventure, Horror, Platformer, Puzzle, Survival",,,,"Eerie Guest, tinyBuild",tinyBuild,9.0,steamspy,1061.0,True
2770160,Maxwell's puzzling demon,"Casual, Indie, Puzzle",,,,muratsubo Games,muratsubo Games,9.0,steamspy,72.0,True
3452,Typer Shark! Deluxe Free Demo,Casual,,,,"PopCap Games, Inc.","PopCap Games, Inc.",9.0,steamspy,,True
245470,Democracy 3,"Casual, Indie, Simulation, Strategy",,,,Positech Games,Positech Games,8.0,steamspy,2636.0,True
3332,Zuma Deluxe Free Demo,"Casual, Puzzle",,,,"PopCap Games, Inc.","PopCap Games, Inc.",8.0,steamspy,,True
34010,Alpha Protocol,"Action, Adventure, RPG, Shooter",,,,Obsidian Entertainment,SEGA,7.0,steamspy,389.0,True
1711950,GWENT: Rogue Mage (Single-Player Expansion),"Card & Board, Puzzle, Strategy",,,,CD PROJEKT RED,CD PROJEKT RED,7.0,steamspy,1071.0,True
2905970,Sunset Motel: Prologue,"Action, Casual, Simulation",,,,Efkey Studios,RockGame S.A.,7.0,steamspy,153.0,True
1812060,Yokai Art: Night Parade of One Hundred Demons,"Casual, Horror, Indie, Puzzle, Strategy, Survival, Tower Defense",,,,Secret Labo,Secret Labo,7.0,steamspy,241.0,True
350070,Environmental Station Alpha,"Action, Adventure, Indie, Metroidvania, Platformer, Puzzle",,,,"Arvi Teikari, Roope Mäkinen",Hempuli Oy,6.0,steamspy,63.0,True
1017060,Planet Evolution PC Live Wallpaper,Simulation,,,,3dm_live_wallpapers,3dm_live_wallpapers,6.0,steamspy,96.0,True
301280,Skin Deep,"Action, Indie, Simulation","30 Apr, 2025",False,"₩ 21,500",Blendo Games,Annapurna Interactive,6.0,appdetails,485.0,True
802870,The Ditzy Demons Are in Love With Me,"Adventure, Casual, Visual Novel",,,,SMILE,Sekai Project,6.0,steamspy,139.0,True
927730,3D Earth Time Lapse PC Live Wallpaper,Simulation,,,,3dm_live_wallpapers,3dm_live_wallpapers,5.0,steamspy,49.0,True
1467920,A Guidebook of Babel,"Adventure, Puzzle",,,,StarryStarry,Thermite Games,5.0,steamspy,,True
734880,A Hat in Time - Modding Tools,Horror,,,,,SP Digital Arts Inc.,5.0,steamspy,64.0,True
1019100,Attack on Titan 2 - A.O.T.2 - 進撃の巨人２ Demo,"Action, Adventure, Horror, RPG",,,,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.0,steamspy,177.0,True
275180,Costume Quest 2,"Action, Adventure, Casual, Indie, JRPG, RPG",,,,Double Fine Productions,"Midnight City, Majesco Entertainment",5.0,steamspy,345.0,True
530210,INSIDE Demo,"Action, Adventure, Horror, Indie, Platformer, Puzzle",,,,Playdead,Playdead,5.0,steamspy,151.0,True
2659050,Movies Tycoon,"City Builder, Simulation, Strategy",,,,PixelCraze s.r.o.,PixelCraze s.r.o.,5.0,steamspy,172.0,True
1966220,Pampas & Selene: The Maze of Demons,"Action, Adventure, Metroidvania, Platformer",,,,@unepic_fran,Unepic Games,5.0,steamspy,104.0,True
2803360,Project L33T: Prologue,"Action, RPG, Shooter",,,,Holmgard Games,Holmgard Games,5.0,steamspy,87.0,True
993110,Skinwalker Hunt,"Action, Adventure, Horror, Shooter, Survival",,,,Gua,Gua,5.0,steamspy,,True
2551920,Tools Up! Ultimate Edition,"Action, Adventure, Casual, Platformer, Simulation",,,,The Knights of Unity,"Untold Tales, Gamersky Games",5.0,steamspy,100.0,True
449960,Book of Demons,"Action, Adventure, Card & Board, RPG, Roguelike",,,,Thing Trunk,Thing Trunk,4.0,steamspy,2054.0,True
1409670,Bright Memory: Infinite Ray Tracing Benchmark,Indie,,,,FYQD-Studio,"FYQD-Studio, PLAYISM",4.0,steamspy,,True
1522,DEFCON Demo,"Horror, Indie, Simulation, Strategy",,,,Introversion Software,Introversion Software,4.0,steamspy,,True
1141220,DemonCrawl,"Adventure, Indie, Puzzle, RPG, Strategy",,,,Therefore Games,Therefore Games,4.0,steamspy,,True
712190,Genesis Alpha One Deluxe Edition,"Action, Horror, Roguelike, Survival",,,,Radiation Blue,Team17 Digital Ltd,4.0,steamspy,763.0,True
22450,Hunted: The Demon’s Forge,"Action, Adventure, RPG, Shooter",,,,inXile Entertainment,Bethesda Softworks,4.0,steamspy,170.0,True
504130,Manual Samuel - Last Tuesday Edition,"Adventure, Casual, Indie",,,,Perfectly Paranormal,Curve Games,4.0,steamspy,8969.0,True
39000,Moonbase Alpha,"Adventure, Massively Multiplayer, Puzzle, Simulation, Strategy",,,,"Virtual Heroes, Army Game Studio",NASA,4.0,steamspy,303.0,True
2007530,Spellbook Demonslayers,"Action, Casual, RPG, Roguelike, Shooter",,,,Xendra,"Xendra, Erabit",4.0,steamspy,924.0,True
1121930,Synth Riders Beatmap Editor,Indie,,,,"Kluge Strategic, LLC","Kluge Strategic, LLC",4.0,steamspy,23.0,True
303210,The Beginner's Guide,"Adventure, Horror, Indie, Puzzle",,,,Everything Unlimited Ltd.,Everything Unlimited Ltd.,4.0,steamspy,913.0,True
992310,Backbone: Prologue,"Adventure, Indie, Puzzle, RPG",,,,EggNut,Raw Fury,3.0,steamspy,,True
207100,Castle Crashers Demo,"Action, Adventure, Casual, Indie, RPG",,,,The Behemoth,The Behemoth,3.0,steamspy,108.0,True
1732340,DEMON GAZE EXTRA,"JRPG, RPG",,,,"DRAGAMI GAMES, LTD.",Clouded Leopard Entertainment,3.0,steamspy,136.0,True
422510,DEMON'S TILT,"Action, Horror, Indie",,,,"WIZNWAR, FLARB LLC",FLARB LLC,3.0,steamspy,23.0,True
589120,Danganronpa V3: Killing Harmony Demo Ver.,"Adventure, Visual Novel",,,,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",3.0,steamspy,1089.0,True
2364560,Demonheart: The Cursed Trial,"Adventure, Casual, RPG, Simulation, Visual Novel",,,,Rolling Crown,Rolling Crown,3.0,steamspy,,True
964080,Endless Universe 2 PC Live Wallpaper,Simulation,,,,3dm_live_wallpapers,3dm_live_wallpapers,3.0,steamspy,20.0,True
2081400,Gal Guardians: Demon Purge,"Action, Adventure, Metroidvania, Platformer",,,,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",3.0,steamspy,1321.0,True
48010,LIMBO Demo,"Action, Adventure, Casual, Horror, Indie, Platformer, Puzzle",,,,Playdead,Playdead,3.0,steamspy,115.0,True
286650,MXGP - The Official Motocross Videogame Demo,"Action, Adventure, Racing, Simulation, Sports",,,,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",3.0,steamspy,562.0,True
319260,NoLimits 2 Roller Coaster Simulation Demo,"Indie, Simulation",,,,Ole Lange,Mad Data GmbH & Co. KG,3.0,steamspy,,True
3592,Plants vs. Zombies Demo,"Adventure, Casual, Indie, Puzzle, Strategy, Survival, Tower Defense",,,,"PopCap Games, Inc.","PopCap Games, Inc.",3.0,steamspy,,True
455510,WolfQuest Demo,"Action, Adventure, Indie, RPG, Simulation, Survival",,,,eduweb,eduweb,3.0,steamspy,,True
213390,Atooms to Moolecules Demo,"Casual, Indie",,,,BitSits Games,BitSits Games,2.0,steamspy,,True
24710,Command and Conquer: Red Alert 3 Demo,"Action, Strategy",,,,EA Los Angeles,Electronic Arts,2.0,steamspy,94.0,True
497770,Epistory - Typing Chronicles Demo,"Action, Adventure, Indie, RPG",,,,Fishing Cactus,Fishing Cactus / Plugin Digital,2.0,steamspy,,True
671210,FINAL FANTASY XV WINDOWS EDITION PLAYABLE DEMO,"Action, JRPG, RPG",,,,Square Enix,Square Enix,2.0,steamspy,6034.0,True
2717570,Find the Demon 恶魔鉴定守则,"Casual, Puzzle, Visual Novel",,,,SHAKINO_UNION,LoveStoryProject,2.0,steamspy,210.0,True
1268040,Fluid Engine PC Live Wallpaper,Simulation,,,,3dm_live_wallpapers,3dm_live_wallpapers,2.0,steamspy,75.0,True
1695794,Halo 3: ODST Mod Tools - MCC,Action,,,,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Polyslash,2.0,steamspy,,True
557800,Hello Charlotte Demo,"Adventure, Horror, Indie, RPG, Visual Novel",,,,etherane,etherane,2.0,steamspy,,True
1504150,Hello Guest: Hello Neighbor 2 pre-alpha,"Action, Adventure, Horror, Indie, Puzzle, Strategy, Survival",,,,"Eerie Guest, tinyBuild",tinyBuild,2.0,steamspy,45.0,True
1373880,Hello Neighbor 2 Alpha 1,"Adventure, Horror, Platformer, Puzzle, Strategy, Survival",,,,"Eerie Guest, tinyBuild",tinyBuild,2.0,steamspy,141.0,True
3322,Insaniquarium Deluxe Free Demo,"Action, Casual, Simulation, Strategy",,,,"PopCap Games, Inc.","PopCap Games, Inc.",2.0,steamspy,,True
343730,Irrational Exuberance: Prologue,"Adventure, Casual, Indie",,,,Buffalo Vision,Buffalo Vision,2.0,steamspy,14.0,True
485030,PLANET ALPHA,"Action, Adventure, Indie, Platformer, Puzzle, Survival",,,,Planet Alpha ApS,Team17 Digital Ltd,2.0,steamspy,,True
1817300,Pose Tool 3D Pro,"Indie, Simulation",,,,Riven Phoenix,alienthink.com,2.0,steamspy,7.0,True
1431610,Prison Simulator: Prologue,"Action, Adventure, Shooter, Simulation",,,,Baked Games,"Baked Games, PlayWay S.A.",2.0,steamspy,,True
222500,Rail Adventures - VR Tech Demo,"Action, Indie, Racing",,,,exosyphen studios,exosyphen studios,2.0,steamspy,,True
207510,Rayman Origins Demo,"Action, Adventure, Platformer",,,,UBIart Montpellier,Ubisoft,2.0,steamspy,62.0,True
1691420,START AGAIN: a prologue,"Horror, JRPG, RPG",,,,insertdisc5,insertdisc5,2.0,steamspy,,True
2825130,Shadowed: The Demon Castle of Ooe,"RPG, Roguelike",,,,Lab Rabbit Games ltd,Lab Rabbit Games ltd,2.0,steamspy,6.0,True
202290,Sonic Generations Demo,"Action, Adventure, Platformer",,,,Devil's Details,SEGA,2.0,steamspy,,True
247750,The Stanley Parable Demo,"Adventure, Casual, Indie, Puzzle",,,,Galactic Cafe,Galactic Cafe,2.0,steamspy,952.0,True
1004490,Tools Up!,"Action, Adventure, Casual, Indie, Simulation",,,,The Knights of Unity,"Untold Tales, Gamersky Games",2.0,steamspy,253.0,True
34350,Total War: SHOGUN 2 Demo,"Action, Strategy",,,,The Creative Assembly,SEGA,2.0,steamspy,,True
727270,Will Glow the Wisp Demo,"Action, Indie, Platformer",,,,PartTimeIndie,PartTimeIndie,2.0,steamspy,,True
22010,World of Goo Demo,"Casual, Indie, Puzzle, Strategy",,,,2D BOY,2D BOY,2.0,steamspy,38.0,True
1074450,A Legionary's Life Demo,"Indie, RPG",,,,Alessandro Roberti,Alessandro Roberti,1.0,steamspy,,True
33970,ARMA II: Operation Arrowhead Demo,"Action, Shooter, Simulation, Strategy",,,,Bohemia Interactive,Bohemia Interactive,1.0,steamspy,150.0,True
642810,AccuRC 2 Demo,"Racing, Simulation, Sports",,,,Trasnatech,Trasnatech,1.0,steamspy,,True
3532,Amazing Adventures Around the World Demo,"Casual, Puzzle",,,,SpinTop Games,"PopCap Games, Inc.",1.0,steamspy,,True
285540,Among the Sleep Demo,"Action, Adventure, Horror, Indie",,,,Krillbite Studio,Krillbite Studio,1.0,steamspy,106.0,True
1428610,Animal Rescuer: Prologue,"Action, Adventure, Indie, RPG",,,,Turquoise Revival Games,Turquoise Revival Games,1.0,steamspy,,True
915520,Arcade Spirits Demo,"Casual, Indie, Simulation, Visual Novel",,,,Fiction Factory Games,PQube Limited,1.0,steamspy,,True
12910,AudioSurf Demo,"Casual, Indie, Puzzle, Racing",,,,Dylan Fitterer,,1.0,steamspy,81.0,True
3352,Bejeweled Deluxe Free Demo,"Casual, Puzzle",,,,"PopCap Games, Inc.","PopCap Games, Inc.",1.0,steamspy,,True
299050,Blood II: The Chosen + Expansion,"Action, Adventure","14 Jul, 2014",False,"₩ 1,100",Monolith Productions,Atari,1.0,appdetails,,True
1435090,Bloody Rally Show: Prologue,"RPG, Racing, Sports, Survival",,,,Kodo Linija,Kodo Linija,1.0,steamspy,,True
26810,Braid Demo,"Adventure, Casual, Indie, Platformer, Puzzle, Strategy",,,,Number None,Number None,1.0,steamspy,,True
1141550,CUCKOLD SIMULATOR: Life as a Beta Male Cuck,"Casual, Indie, Simulation, Visual Novel",,,,Team SNEED,Team SNEED,1.0,steamspy,57.0,True
2937710,Clothing Store Simulator: Prologue,"Action, Casual, Simulation",,,,Kiki Games,Kiki Games,1.0,steamspy,368.0,True
1261060,Cosmic Journey PC Live Wallpaper,Simulation,,,,3dm_live_wallpapers,3dm_live_wallpapers,1.0,steamspy,,True
1074760,Cricket 19 Demo,"Simulation, Sports",,,,Big Ant Studios,Big Ant Studios,1.0,steamspy,,True
370900,CrossCode Demo,"Action, Adventure, Indie, JRPG, Puzzle, RPG",,,,Radical Fish Games,Deck13,1.0,steamspy,,True
1389160,Dark Fracture: Prologue,"Action, Adventure, Horror, Indie, Simulation, Survival",,,,Twisted II Studio,"Twisted II Studio, Feardemic",1.0,steamspy,,True
427470,Democracy 3 Africa,"Indie, Simulation, Strategy",,,,Positech Games,Positech Games,1.0,steamspy,260.0,True
1261760,Democratic Socialism Simulator,"Casual, Indie, Simulation",,,,Molleindustria,Molleindustria,1.0,steamspy,,True
577670,Demolish & Build 2018,"Action, Casual, Indie, Simulation",,,,Noble Muffins,Demolish Games S.A.,1.0,steamspy,,True
1203670,Demolish & Build 3,"Action, Adventure, Indie, Simulation, Strategy",,,,Demolish Games S.A.,Demolish Games S.A.,1.0,steamspy,260.0,True
2607260,Demon Corporation: Onboarding,"Casual, Indie, JRPG, Puzzle, RPG",,,,A Shrine of Ludens,"A Shrine of Ludens, SapStaR Games",1.0,steamspy,,True
1803960,Demon Sword: Incubus,"Action, JRPG, Platformer, RPG",,,,Brianode,Eroge Japan,1.0,steamspy,,True
1747890,Demon Turf: Neon Splash,"Action, Adventure, Indie, Platformer, Simulation",,,,Fabraz,Playtonic Friends,1.0,steamspy,,True
454610,Demon's Crystals,"Action, Indie, Shooter",,,,Byte4Games,BadLand Publishing,1.0,steamspy,,True
1600910,Demon's Mirror,"Card & Board, Indie, Puzzle, RPG, Strategy",,,,Be-Rad Entertainment,Good Shepherd Entertainment,1.0,steamspy,,True
843900,Demon's Rise - War for the Deep,"Action, Indie, RPG, Strategy",,,,Wave Light Games Inc.,Wave Light Games Inc.,1.0,steamspy,41.0,True
897930,Demonheart: Hunters,"Adventure, RPG, Simulation, Visual Novel",,,,Rolling Crown,Rolling Crown,1.0,steamspy,124.0,True
215630,Demonicon,"Action, Adventure, RPG",,,,Noumena Studios,Kalypso Media Digital,1.0,steamspy,,True
1588340,Demonlore,"Adventure, Card & Board, Casual, RPG, Roguelike, Strategy, Tower Defense",,,,Barrel Smash Studios,Barrel Smash Studios,1.0,steamspy,53.0,True
1339460,Dinosaur Fossil Hunter: Prologue,"Action, Adventure, Simulation",,,,▲ Pyramid Games,Pyramid Games S.A.,1.0,steamspy,240.0,True
2781190,DragonLoop: Prologue,"Action, Adventure, Indie, Metroidvania, Platformer, RPG",,,,沙因小分队,沙因小分队,1.0,steamspy,,True
3162780,Drive Thru Miami Prologue,Simulation,,,,Alkame Games,Alkame Games,1.0,steamspy,,True
81257,Dungeon Defenders Halloween DLC Trailer,"Indie, RPG, Strategy",,,,Trendy Entertainment,,1.0,steamspy,,True
3382,Dynomite Deluxe Free Demo,"Casual, Puzzle",,,,"PopCap Games, Inc.","PopCap Games, Inc.",1.0,steamspy,,True
2224850,EMPTY SHELL: PROLOGUE,"Action, Adventure, Horror, Roguelike, Survival",,,,CC ARTS,Hyperstrange,1.0,steamspy,,True
422500,Emmerholt: Prologue,"Action, Adventure, Indie, RPG",,,,Oneiric Entertainment LLC,Oneiric Entertainment LLC,1.0,steamspy,13.0,True
10620,Empire: Total War Demo,"Action, Adventure, Strategy",,,,The Creative Assembly,SEGA,1.0,steamspy,,True
421800,EuroTruck Simulator - Mod Tools,"Action, Simulation",,,,,,1.0,steamspy,,True
1460540,Farlanders: Prologue,"City Builder, Simulation, Strategy, Survival",,,,Andriy Bychkovskyi,Crytivo,1.0,steamspy,,True
3392,Feeding Frenzy 2 Deluxe Free Demo,Casual,,,,"PopCap Games, Inc.","PopCap Games, Inc.",1.0,steamspy,,True
1478070,Fights in Tight Spaces (Prologue),"Action, Card & Board, Fighting, Strategy",,,,Ground Shatter,Raw Fury,1.0,steamspy,,True
16170,Fish Tycoon Demo,"Casual, Simulation",,,,Last Day of Work,Last Day of Work,1.0,steamspy,3.0,True
627610,Get To The Orange Door Demo,"Action, Adventure, Indie, Shooter",,,,Andrew Smith,Arcade Coin,1.0,steamspy,,True
1368460,Golden Axed: A Cancelled Prototype,"Action, Fighting",,,,"The Eccentric Ape, SEGA",SEGA,1.0,steamspy,,True
1230170,Gunsmith Simulator: Prologue,"Action, Indie, Puzzle, Shooter, Simulation",,,,GameHunters,PlayWay S.A.,1.0,steamspy,1102.0,True
3412,Heavy Weapon Deluxe Free Demo,"Action, Casual",,,,"PopCap Games, Inc.","PopCap Games, Inc.",1.0,steamspy,,True
1382910,Hell Architect: Prologue,"City Builder, Strategy",,,,Woodland Games,Leonardo Interactive,1.0,steamspy,350.0,True
562080,Hello Neighbor Demo,"Action, Adventure, Horror, Indie, Puzzle, Strategy, Survival",,,,Dynamic Pixels,tinyBuild,1.0,steamspy,,True
617730,Home Sweet Home Demo,"Action, Adventure, Horror, Indie, Puzzle, Survival",,,,"YGGDRAZIL GROUP CO., LTD","YGGDRAZIL GROUP CO., LTD",1.0,steamspy,,True
207080,Indie Game: The Movie,Indie,,,,BlinkWorks Media,BlinkWorks Media,1.0,steamspy,,True
3547420,Ire: A Prologue,"Action, Adventure","28 Oct, 2025",False,"₩ 21,500",ProbablyMonsters,ProbablyMonsters,1.0,appdetails,11.0,True
466590,Kathy Rain Demo,"Adventure, Indie",,,,Clifftop Games,Raw Fury,1.0,steamspy,,True
203970,Kingdoms of Amalur: Reckoning Demo,"Action, Adventure, RPG",,,,"Big Huge Games, 38 Studios",,1.0,steamspy,,True
224640,Krater Demo,"Action, Adventure, Indie, RPG, Strategy",,,,Fatshark,Satshark,1.0,steamspy,,True
11910,LUMINES Demo,"Casual, Puzzle",,,,Q Entertainment Inc.,Q Entertainment Inc.,1.0,steamspy,,True
464140,MXGP2 - The Official Motocross Videogame Demo,"Racing, Simulation, Sports",,,,Milestone S.r.l.,Milestone S.r.l.,1.0,steamspy,,True
7890,Men of War Demo,"Action, Shooter, Simulation, Strategy",,,,Best Way,"1C Entertainment, 1C-SoftClub",1.0,steamspy,25.0,True
207770,Men of War: Assault Squad GOTY Demo,"Action, Simulation, Strategy",,,,Digitalmindsoft,,1.0,steamspy,85.0,True
853650,Middle-earth: Shadow of War Demo,"Action, Adventure, RPG, Strategy",,,,Monolith Productions,WB Games,1.0,steamspy,263.0,True
873570,Monster Sanctuary Demo,"Action, Adventure, Indie, Metroidvania, Platformer, RPG, Strategy",,,,Moi Rai Games,Moi Rai Games,1.0,steamspy,,True
2682120,Movie Cinema Simulator,"Casual, Indie, Simulation",,,,Akhir Pekan Studio,Akhir Pekan Studio,1.0,steamspy,,True
1340530,Mr. Prepper: Prologue,"Adventure, Simulation, Survival",,,,Rejected Games,"PlayWay S.A., Rejected Games",1.0,steamspy,770.0,True
2626970,My Horse: Bonded Spirits - Prologue,"Adventure, Casual, Simulation",,,,Games Incubator,"Games Incubator, PlayWay S.A.",1.0,steamspy,,True
3572,Mystery P.I. - The New York Fortune Demo,Casual,,,,SpinTop Games,"PopCap Games, Inc.",1.0,steamspy,,True
3522,Mystery P.I. - The Vegas Heist Free Demo,Casual,,,,SpinTop Games,"PopCap Games, Inc.",1.0,steamspy,,True
270680,NEO Scavenger Demo,"Adventure, Indie, RPG, Simulation, Strategy, Survival",,,,Blue Bottle Games,Blue Bottle Games,1.0,steamspy,177.0,True
1636350,Nemezis: Mysterious Journey III Prologue,"Adventure, Casual, Indie, Puzzle",,,,Detalion Games S.A.,PlayWay S.A.,1.0,steamspy,8.0,True
1434310,PAW Patrol The Movie: Adventure City Calls,"Action, Adventure, Platformer",,,,Drakhar Studio,Outright Games Ltd.,1.0,steamspy,33.0,True
3432,Pizza Frenzy Deluxe Free Demo,Casual,,,,"PopCap Games, Inc.","PopCap Games, Inc.",1.0,steamspy,,True
16160,Plant Tycoon Demo,"Casual, Simulation",,,,Last Day of Work,Last Day of Work,1.0,steamspy,,True
859910,Play With Gilbert Demo,"Adventure, Casual, Indie",,,,Joure Visser,Joure Visser,1.0,steamspy,,True
1988830,Project Wunderwaffe: Prologue,"Action, Adventure, City Builder, Strategy, Survival",,,,Weasel Games,Weasel Games,1.0,steamspy,,True
