Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
Horror,320240,We Happy Few,"Action, Adventure, Horror, Indie, Survival",,,,Compulsion Games,Gearbox Publishing,44.0,steamspy,3498.0,False
Horror,227100,Sniper Elite: Nazi Zombie Army,"Action, Adventure, Horror, Shooter, Survival",,,,Rebellion,Rebellion,3.0,steamspy,3168.0,False
Horror,2021910,FPS Chess,"Action, Card & Board, Casual, Horror, Shooter, Sports, Strategy",,,,Meta Fork,DigiPen Institute of Technology,189.0,steamspy,2997.0,False
Horror,21690,Resident Evil 5,"Action, Adventure, Horror, Shooter, Survival",,,,Capcom,Capcom,1069.0,steamspy,2568.0,False
Horror,1839950,Terminator: Dark Fate - Defiance,"Horror, Strategy",,,,Slitherine Ltd.,Slitherine Ltd.,149.0,steamspy,2382.0,False
Horror,321270,UNLOVED,"Action, Horror, Indie, Shooter, Survival",,,,BlueEagle Productions,Paul Schneider,23.0,steamspy,2323.0,False
Horror,429570,The Walking Dead: Michonne - A Telltale Miniseries,"Action, Adventure, Horror, Survival",,,,Telltale Games,Skybound Games,12.0,steamspy,2203.0,False
Horror,543460,Dead Rising 4,"Action, Casual, Horror, Survival",,,,"Capcom Game Studio Vancouver, Inc.",Capcom,60.0,steamspy,2178.0,False
Horror,338170,Ratz Instagib,"Action, Horror, Indie, Shooter",,,,Lino Slahuschek,Rarebyte,11.0,steamspy,2037.0,False
Horror,1049800,BLOCKADE,"Action, Casual, Horror, Indie, Massively Multiplayer, Shooter, Survival",,,,Novalink,Novalink,26.0,steamspy,2026.0,False
Horror,637100,Sonic Forces,"Action, Adventure, Horror, Platformer",,,,"Sonic Team, Hardlight",SEGA,16.0,steamspy,2020.0,False
Horror,520720,Dear Esther: Landmark Edition,"Adventure, Casual, Horror, Indie, Puzzle",,,,"The Chinese Room, Robert Briscoe",Secret Mode,3.0,steamspy,2004.0,False
Horror,604010,Chimpology,"Casual, Horror, Puzzle, Simulation",,,,"themorfeus, Junkhive",Junkhive,0.0,steamspy,1971.0,False
Horror,2322440,METAL SLUG ATTACK RELOADED,"Horror, Platformer, RPG, Simulation, Strategy, Survival, Tower Defense",,,,SNK CORPORATION,SNK CORPORATION,30.0,steamspy,1894.0,False
Horror,628670,Hellpoint,"Action, Adventure, Horror, Indie, RPG",,,,Cradle Games,tinyBuild,21.0,steamspy,1862.0,False
Horror,1840,Source Filmmaker,"Horror, Survival",,,,Valve,Valve,886.0,steamspy,1837.0,False
Horror,332800,Five Nights at Freddy's 2,"Horror, Indie, Strategy, Survival",,,,Scott Cawthon,Scott Cawthon,86.0,steamspy,1686.0,False
Horror,588160,Pizza Connection 3,"Action, Casual, City Builder, Horror, Indie, Simulation, Strategy",,,,Gentlymad Studios,Assemble Entertainment,1.0,steamspy,1652.0,False
Horror,388090,Five Nights at Freddy's 4,"Action, Horror, Indie, Simulation, Strategy, Survival",,,,Scott Cawthon,Scott Cawthon,38.0,steamspy,1637.0,False
Horror,2497920,A Difficult Game About Climbing,"Action, Adventure, Casual, Horror, Platformer, Survival",,,,Pontypants,Pontypants,27.0,steamspy,1578.0,False
Horror,612470,Bio Inc. Redemption,"Horror, Indie, Simulation, Strategy",,,,DryGin Studios,DryGin Studios,10.0,steamspy,1469.0,False
Horror,521890,Hello Neighbor,"Action, Adventure, Horror, Platformer, Strategy, Survival",,,,Dynamic Pixels,tinyBuild,339.0,steamspy,1399.0,False
Horror,2475490,Mouthwashing,"Adventure, Horror, Indie",,,,Wrong Organ,CRITICAL REFLEX,142.0,steamspy,1241.0,False
Horror,998740,Ring of Pain,"Card & Board, Horror, Indie, RPG, Roguelike, Strategy",,,,"Simon Boxer, Twice Different",Humble Games,36.0,steamspy,1233.0,False
Horror,291210,UberStrike,"Action, Adventure, Horror, Indie, Massively Multiplayer, Shooter",,,,Cmune Ltd,Cmune Ltd,1.0,steamspy,1233.0,False
Horror,779290,Stygian: Reign of the Old Ones,"Adventure, Horror, Indie, RPG, Strategy",,,,Cultic Games,Fulqrum Publishing,2.0,steamspy,1207.0,False
Horror,492630,Bear With Me - Episode One,"Adventure, Horror, Indie, Puzzle",,,,Exordium Games,Miyagi Games,3.0,steamspy,1201.0,False
Horror,504210,SHENZHEN I/O,"Horror, Indie, Puzzle, Simulation",,,,Zachtronics,Zachtronics,29.0,steamspy,1160.0,False
Horror,726360,BOOBS SAGA: Prepare To Hentai Edition,"Action, Adventure, Horror, Indie",,,,Boobs Dev,Boobs Dev,34.0,steamspy,1153.0,False
Horror,1426490,LOST EPIC,"Action, Horror, Indie, Metroidvania, RPG",,,,"One or Eight, Team EARTHWARS",One or Eight,5.0,steamspy,1149.0,False
Horror,1059990,Trombone Champ,"Casual, Horror, Indie",,,,Holy Wow Studios LLC,Holy Wow Studios LLC,53.0,steamspy,1086.0,False
Horror,1067850,Kindergarten 2,"Action, Adventure, Horror, Indie, Puzzle, RPG",,,,"Con Man Games, Sean Young",SmashGames,18.0,steamspy,1051.0,False
Horror,1245430,Golden Light,"Action, Adventure, Horror, Indie, Shooter",,,,Mr. Pink,Mr. Pink,7.0,steamspy,984.0,False
Horror,220820,Zombie Driver HD,"Adventure, Horror, Racing, Shooter, Survival",,,,Exor Studios,Exor Studios,2.0,steamspy,925.0,False
Horror,751630,After the Fall,"Action, Adventure, Horror, Shooter, Survival",,,,Vertigo Games,Vertigo Games,9.0,steamspy,872.0,False
Horror,343780,Cat Goes Fishing,"Action, Adventure, Casual, Horror, Indie, Puzzle, Simulation",,,,Cat5Games,,41.0,steamspy,860.0,False
Horror,980610,Quaver,"Casual, Horror, Indie",,,,Swan,Swan,184.0,steamspy,833.0,False
Horror,420530,OneShot,"Adventure, Casual, Horror, Indie, Puzzle, RPG",,,,Future Cat LLC,KOMODO,58.0,steamspy,815.0,False
Horror,365300,Transmissions: Element 120,"Action, Adventure, Horror, Indie, Puzzle, Shooter, Survival",,,,"Shokunin, Thomas M. Visser, Vincent Thiele",Self Published,1.0,steamspy,779.0,False
Horror,2232840,Garten of Banban,"Action, Adventure, Casual, Horror, Puzzle, Survival",,,,Euphoric Brothers,Euphoric Brothers,5.0,steamspy,757.0,False
Horror,1359980,POSTAL: Brain Damaged,"Action, Horror, Shooter, Survival",,,,"Hyperstrange, CreativeForge Games","Running With Scissors, Hyperstrange",19.0,steamspy,735.0,False
Horror,515040,Make America Great Again: The Trump Presidency,"Action, Casual, Horror, Indie, Simulation, Strategy, Survival",,,,Maverick Game Studio,Three Guys Game Studio,4.0,steamspy,712.0,False
Horror,390290,Bulb Boy,"Adventure, Horror, Indie, Puzzle",,,,Bulbware,Bulbware,234.0,steamspy,697.0,False
Horror,594160,The Last Patient,"Action, Adventure, Casual, Horror, Indie, Shooter, Survival",,,,NGV Studio,NGV Studio,0.0,steamspy,693.0,False
Horror,1398210,Selene ~Apoptosis~,"Adventure, Horror, Visual Novel",,,,"Viscum key, Nupu Neko Dev",Nupu Neko Dev,7.0,steamspy,662.0,False
Horror,331480,Pinstripe,"Action, Adventure, Casual, Horror, Indie, Platformer, Puzzle",,,,"Atmos Games, LLC",Armor Games Studios,1.0,steamspy,661.0,False
Horror,94300,The Dream Machine: Chapter 1 & 2,"Adventure, Horror, Puzzle",,,,Cockroach Inc.,The Sleeping Machine,1.0,steamspy,652.0,False
Horror,1515900,Heaven Dust 2,"Action, Adventure, Horror, Puzzle, RPG, Shooter, Survival",,,,One Gruel Studio,indienova,1.0,steamspy,644.0,False
Horror,1879380,Paper Bride 2 Zangling Village,"Adventure, Casual, Horror, Puzzle, RPG, Visual Novel",,,,HeartBeat Plus,HeartBeat Plus,7.0,steamspy,636.0,False
Horror,323720,Decay: The Mare,"Adventure, Horror, Indie, Puzzle",,,,Shining Gate Software,Daedalic Entertainment,0.0,steamspy,585.0,False
Horror,1010750,Blood Fresh Supply,"Action, Horror, Shooter",,,,"Nightdive Studios, Monolith Productions",Atari,26.0,steamspy,558.0,False
Horror,9010,Return to Castle Wolfenstein,"Action, Adventure, Horror, Shooter",,,,Gray Matter Studios,Bethesda Softworks,26.0,steamspy,549.0,False
Horror,478980,Mansions of Madness,"Adventure, Card & Board, Horror, Strategy",,,,Fantasy Flight Games,Fantasy Flight Games,14.0,steamspy,539.0,False
Horror,42670,Singularity,"Action, Adventure, Horror, Shooter, Survival",,,,Raven Software,Activision,2.0,steamspy,526.0,False
Horror,986040,The Unliving,"Action, Adventure, Horror, RPG, Roguelike",,,,RocketBrush Games,Team17 Digital,1.0,steamspy,525.0,False
Horror,720250,Welcome to the Game II,"Horror, Indie, Puzzle, Simulation, Strategy, Survival",,,,Reflect Studios,Reflect Studios,13.0,steamspy,500.0,False
Horror,1012560,Snakeybus,"Action, Casual, Horror, Indie",,,,"Stovetop, LLC","Stovetop, LLC",1.0,steamspy,499.0,False
Horror,2989950,The Bathhouse | 地獄銭湯 Restored Edition,"Adventure, Casual, Horror, Puzzle, Simulation",,,,Chilla's Art,Chilla's Art,3.0,steamspy,492.0,False
Horror,619540,Darkwater,"Action, Adventure, Horror, Strategy, Survival",,,,Targon Studios,Playstack,90.0,steamspy,442.0,False
Horror,2167960,买个可乐饼吧！ - Buy a Croquette!,"Adventure, Casual, Horror, JRPG, Puzzle, RPG, Strategy, Visual Novel",,,,越青,Eternal Dream,66.0,steamspy,437.0,False
Horror,248470,Doorways: Prelude,"Action, Adventure, Horror, Indie, Platformer, Puzzle, Survival",,,,Saibot Studios,Saibot Studios,0.0,steamspy,419.0,False
Horror,407300,The Last NightMary - A Lenda do Cabeça de Cuia,"Horror, Indie, Puzzle, Survival",,,,Submersivo Game Studio,Submersivo Game Studio,0.0,steamspy,407.0,False
Horror,1119980,In Sound Mind,"Action, Adventure, Horror, Indie, Platformer, Puzzle, Shooter",,,,We Create Stuff,Maximum Entertainment,58.0,steamspy,399.0,False
Horror,1373510,BloodRayne: Terminal Cut,"Action, Adventure, Horror, Shooter",,,,Terminal Reality,Ziggurat,6.0,steamspy,385.0,False
Horror,844930,Fox Hime Zero,"Adventure, Casual, Horror, Indie, Visual Novel",,,,AsicxArt,SakuraGame,9.0,steamspy,383.0,False
Horror,530890,Haydee,"Action, Adventure, Horror, Indie, Metroidvania, Platformer, Puzzle, Shooter, Survival",,,,Haydee Interactive,Haydee Interactive,15.0,steamspy,381.0,False
Horror,562220,Zup! 2,"Action, Adventure, Card & Board, Casual, Horror, Indie, Platformer, Puzzle",,,,Quiet River,Quiet River,3.0,steamspy,374.0,False
Horror,508900,Zup! X,"Casual, Horror, Indie, Platformer, Puzzle",,,,Quiet River,Quiet River,2.0,steamspy,373.0,False
Horror,1315980,Tin Can,"Horror, Indie, Puzzle, Simulation, Strategy, Survival",,,,Tin Can Studio,Tin Can Studio,3.0,steamspy,349.0,False
Horror,1394270,SCP: Escape Together,"Action, Adventure, Horror, Indie, Strategy",,,,SCP: Escape Together development team,SCP: Escape Together development team,2.0,steamspy,348.0,False
Horror,1478160,Nyaruru Fishy Fight,"Action, Adventure, Horror, Indie, Metroidvania, Platformer, RPG",,,,"赤瞳大白猫, 猫尾巴制作组",赤瞳大白猫,5.0,steamspy,346.0,False
Horror,842100,Daymare: 1998,"Action, Adventure, Horror, Indie, Shooter, Survival",,,,Invader Studios,"Destructive Creations, All in! Games",8.0,steamspy,335.0,False
Horror,1925090,SubwaySim Hamburg,"Casual, Horror, Indie, Simulation",,,,Simuverse Interactive,Aerosoft GmbH,0.0,steamspy,319.0,False
Horror,217690,Anna - Extended Edition,"Adventure, Horror, Indie, Puzzle",,,,Dreampainters,Kalypso Media Digital,1.0,steamspy,319.0,False
Horror,1011190,SIMULACRA 2,"Horror, Puzzle, Simulation, Visual Novel",,,,Kaigan Games,Neon Doctrine,6.0,steamspy,317.0,False
Horror,1164850,Sinking Simulator,"Casual, Horror, Indie, Simulation",,,,Wicpar,Pac0master,12.0,steamspy,311.0,False
Horror,384110,Pathologic Classic HD,"Action, Adventure, Horror, Indie, RPG, Survival",,,,"Ice-Pick Lodge, General Arcade",Good Shepherd Entertainment,19.0,steamspy,306.0,False
Horror,458000,March of the Living,"Horror, RPG, Strategy, Survival",,,,Machine 22,Creaky Corpse Ltd,1.0,steamspy,298.0,False
Horror,2006140,Withering Rooms,"Action, Adventure, Horror, Metroidvania, RPG, Roguelike, Survival",,,,Moonless Formless,Perp Games,13.0,steamspy,296.0,False
Horror,2272250,Forgive Me Father 2,"Action, Adventure, Horror, Shooter",,,,Byte Barrel,Fulqrum Publishing,15.0,steamspy,292.0,False
Horror,3388870,Aooni The Horror of Blueberry Onsen,"Action, Adventure, Horror, Indie, Platformer, RPG",,,,Game Studio Inc.,Game Studio Inc.,2.0,steamspy,284.0,False
Horror,529630,The Rabbit Hole Remastered,"Adventure, Horror, Indie, Strategy",,,,VRMonkey,VRMonkey,0.0,steamspy,279.0,False
Horror,1477940,Unknown 9: Awakening,"Action, Adventure, Horror",,,,Reflector Entertainment Ltd.,BANDAI NAMCO Entertainment Inc.,4.0,steamspy,276.0,False
Horror,2928650,Only Up: SKIBIDI TOGETHER,"Adventure, Casual, Horror, Platformer, Simulation",,,,Rosa Special Studio,Rosa Special Studio,3.0,steamspy,275.0,False
Horror,380150,STASIS,"Adventure, Horror, Indie, Puzzle",,,,THE BROTHERHOOD,THE BROTHERHOOD,3.0,steamspy,274.0,False
Horror,2357910,Home Safety Hotline,"Horror, Simulation",,,,Night Signal Entertainment,Night Signal Entertainment,16.0,steamspy,257.0,False
Horror,2210,Quake 4,"Action, Adventure, Horror, Shooter",,,,"RavenSoft, id Software",Bethesda Softworks,14.0,steamspy,255.0,False
Horror,1899060,Pocket Mirror ~ GoldenerTraum,"Adventure, Casual, Horror, Puzzle, RPG",,,,"AstralShift, VisuStella",KOMODO,5.0,steamspy,251.0,False
Horror,1299690,Gori: Cuddly Carnage,"Action, Adventure, Horror, Metroidvania, Platformer",,,,Angry Demon Studio,"Wired Productions, CouchPlay Interactive (Greater China)",6.0,steamspy,249.0,False
Horror,2291340,The Baby In Yellow,"Adventure, Horror, Puzzle",,,,Team Terrible,Team Terrible,15.0,steamspy,243.0,False
Horror,1254370,No one lives under the lighthouse Director's cut,"Adventure, Horror, Indie, Puzzle",,,,Marevo Collective,Marevo Collective,3.0,steamspy,234.0,False
Horror,284390,The Last Door - Collector's Edition,"Adventure, Horror, Indie, Puzzle",,,,The Game Kitchen,Phoenix Online Publishing,6.0,steamspy,232.0,False
Horror,31270,Puzzle Agent,"Action, Adventure, Casual, Horror, Puzzle",,,,Telltale,Telltale,7.0,steamspy,228.0,False
Horror,1182310,The Excavation of Hob's Barrow,"Adventure, Horror, Indie, Puzzle",,,,Cloak and Dagger Games,Wadjet Eye Games,13.0,steamspy,227.0,False
Horror,3292260,Amenti,"Adventure, Horror",,,,Darkphobia Games,Darkphobia Games,5.0,steamspy,226.0,False
Horror,1158890,White Shadows,"Action, Adventure, Horror, Indie, Platformer, Puzzle",,,,Monokel,"Thunderful Publishing, Mixtvision",3.0,steamspy,225.0,False
Horror,1850550,I'm on Observation Duty 5,"Casual, Horror, Indie, Puzzle",,,,Notovia,Notovia,6.0,steamspy,217.0,False
Horror,645090,Zup! 5,"Action, Card & Board, Casual, Horror, Indie, Platformer, Puzzle, Survival",,,,Quiet River,Quiet River,2.0,steamspy,213.0,False
Horror,303310,The House in Fata Morgana,"Adventure, Horror, Indie, Visual Novel",,,,NOVECT,MangaGamer,34.0,steamspy,194.0,False
Horror,2492120,SAEKO: Giantess Dating Sim,"Adventure, Horror, Indie, Survival, Visual Novel",,,,SAFE HAVN STUDIO,HYPER REAL,3.0,steamspy,184.0,False
Horror,1889040,Birth,"Adventure, Casual, Horror, Indie, Puzzle",,,,Madison Karrh,Madison Karrh,2.0,steamspy,184.0,False
Horror,2331130,Just Another Night Shift,"Action, Casual, Horror, Indie, Strategy",,,,JANS Dev Team,JANS Dev Team,3.0,steamspy,180.0,False
Horror,1729140,Hired 2 Die,"Action, Horror, Simulation, Survival",,,,Electric Monkeys,Electric Monkeys,0.0,steamspy,174.0,False
Horror,1007400,Alien Shooter 2 - The Legend,"Action, Adventure, Horror, Indie, RPG, Shooter, Survival",,,,Sigma Team Inc.,Sigma Team Inc.,7.0,steamspy,149.0,False
Horror,938860,"Get In The Car, Loser!","Horror, Indie, JRPG, RPG, Visual Novel",,,,Love Conquers All Games,Love Conquers All Games,1.0,steamspy,144.0,False
Horror,2793710,Dollmare,"Adventure, Horror, Indie, Simulation",,,,"Alex Grade, gonzeek, Oxeren",Almost Done Games,15.0,steamspy,139.0,False
Horror,2119940,Her World,"Adventure, Casual, Horror, Indie, Simulation, Visual Novel",,,,"TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd., Smilegate",0.0,steamspy,135.0,False
Horror,970560,STEINS;GATE: My Darling's Embrace,"Adventure, Horror, Visual Novel",,,,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",15.0,steamspy,131.0,False
Horror,1228520,[Chilla's Art] The Convenience Store | 夜勤事件,"Action, Adventure, Casual, Horror, Indie, Simulation",,,,Chilla's Art,Chilla's Art,6.0,steamspy,129.0,False
Horror,6200,Ghost Master,"Horror, Puzzle, Simulation, Strategy",,,,Sick Puppies,Strategy First,2.0,steamspy,125.0,False
Horror,1730360,I'm on Observation Duty 4,"Casual, Horror, Puzzle, Strategy, Survival",,,,Notovia,Notovia,9.0,steamspy,122.0,False
Horror,502570,Houdini Indie,"Horror, Indie",,,,SideFX,SideFX,51.0,steamspy,121.0,False
Horror,1444920,Doctor Who: The Edge of Reality,"Action, Adventure, Horror, Indie, Puzzle",,,,"Maze Theory Ltd, Just Add Water (Developments), Ltd.",Maze Theory Ltd,0.0,steamspy,117.0,False
Horror,1814170,Lingo,"Adventure, Horror, Indie, Puzzle",,,,Brenton Wildes,Brenton Wildes,28.0,steamspy,116.0,False
Horror,943980,The logic of the miniature garden,"Adventure, Horror, Indie, RPG, Visual Novel",,,,Cabbit,SakuraGame,1.0,steamspy,112.0,False
Horror,691450,Misao - 2024 HD Remaster,"Adventure, Casual, Horror, Puzzle, RPG, Survival",,,,sen,PLAYISM,2.0,steamspy,109.0,False
Horror,345200,Tasty Blue,"Action, Adventure, Casual, Horror, Indie, Survival",,,,Dingo Games,Dingo Games,1.0,steamspy,106.0,False
Indie,899770,Last Epoch,"Action, Adventure, Indie, Massively Multiplayer, RPG",,,,Eleventh Hour Games,Eleventh Hour Games,1361.0,steamspy,258503.0,False
Indie,526870,Satisfactory,"Adventure, Indie, Simulation, Strategy, Survival",,,,Coffee Stain Studios,Coffee Stain Publishing,13410.0,steamspy,185957.0,False
Indie,510840,Evolvation,"Action, Casual, Indie, Massively Multiplayer, Simulation",,,,"Eric Ruts, Jacob Kooiman",HyperReuts,0.0,steamspy,100638.0,False
Indie,227300,Euro Truck Simulator 2,"Adventure, Casual, Indie, Simulation",,,,SCS Software,SCS Software,9228.0,steamspy,69695.0,False
Indie,1296830,暖雪 Warm Snow,"Action, Adventure, Indie, RPG, Roguelike",,,,BadMudStudio,bilibili,352.0,steamspy,44545.0,False
Indie,569610,Distant Space,"Action, Adventure, Casual, Indie, Shooter",,,,PixelMouse,PixelMouse,20.0,steamspy,26541.0,False
Indie,1190970,House Flipper 2,"Casual, Indie, Simulation",,,,Frozen District,Frozen District,2784.0,steamspy,21829.0,False
Indie,244210,Assetto Corsa,"Action, Indie, Racing, Simulation, Sports",,,,Kunos Simulazioni,Kunos Simulazioni,5724.0,steamspy,19780.0,False
Indie,274170,Hotline Miami 2: Wrong Number,"Action, Indie, Shooter",,,,Dennaton Games,Devolver Digital,376.0,steamspy,18882.0,False
Indie,690830,Foundation,"City Builder, Indie, Simulation, Strategy, Survival",,,,Polymorph Games,Polymorph Games,539.0,steamspy,18422.0,False
Indie,714010,Aim Lab,"Action, Adventure, Casual, Indie, Shooter, Simulation, Sports",,,,Statespace,Statespace,2872.0,steamspy,15141.0,False
Indie,1029780,Going Medieval,"City Builder, Indie, RPG, Simulation, Strategy, Survival",,,,Foxy Voxel,Mythwright,596.0,steamspy,14600.0,False
Indie,590380,Into the Breach,"Indie, Puzzle, RPG, Simulation, Strategy",,,,Subset Games,Subset Games,258.0,steamspy,14573.0,False
Indie,2407270,AI LIMIT,"Action, Adventure, Indie, RPG",,,,Sense Games,CE-Asia,381.0,steamspy,14433.0,False
Indie,204300,Awesomenauts,"Action, Indie, Platformer, Strategy",,,,Ronimo Games,Atari,141.0,steamspy,12050.0,False
Indie,972660,Spiritfarer: Farewell Edition,"Adventure, Indie, Platformer, Simulation",,,,Thunder Lotus,Thunder Lotus,417.0,steamspy,11726.0,False
Indie,385080,Guardians of Victoria,"Adventure, Casual, Indie, Platformer",,,,Tall Story Studios,New Reality Games,0.0,steamspy,10158.0,False
Indie,1222700,A Way Out,"Action, Adventure, Indie",,,,Hazelight Studios,Electronic Arts,167.0,steamspy,8548.0,False
Indie,326460,ShellShock Live,"Action, Casual, Indie, Massively Multiplayer, Shooter, Strategy",,,,kChamp Games,kChamp Games,164.0,steamspy,7346.0,False
Indie,704850,Thief Simulator,"Action, Adventure, Indie, RPG, Simulation",,,,Noble Muffins,PlayWay S.A.,163.0,steamspy,7186.0,False
Indie,738060,Freddy Fazbear's Pizzeria Simulator,"Adventure, Horror, Indie, Simulation, Strategy, Survival",,,,Scott Cawthon,Scott Cawthon,69.0,steamspy,6427.0,False
Indie,1492070,Sker Ritual,"Action, Horror, Indie, Roguelike, Shooter, Survival",,,,Wales Interactive,Wales Interactive,47.0,steamspy,5992.0,False
Indie,2638370,Five Nights at Freddy's: Into the Pit,"Action, Adventure, Horror, Indie, Survival",,,,Mega Cat Studios,Mega Cat Studios,11.0,steamspy,5690.0,False
Indie,240720,Getting Over It with Bennett Foddy,"Action, Adventure, Casual, Horror, Indie, Platformer, Strategy, Survival",,,,Bennett Foddy,Bennett Foddy,171.0,steamspy,4959.0,False
Indie,297130,Titan Souls,"Action, Adventure, Indie, Puzzle, Strategy",,,,Acid Nerve,Devolver Digital,15.0,steamspy,4309.0,False
Indie,274190,Broforce,"Action, Adventure, Casual, Indie, Platformer, Shooter",,,,Free Lives,Devolver Digital,118.0,steamspy,4285.0,False
Indie,1097430,Book of Yog Idle RPG,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy",,,,元气工作室,元气工作室,508.0,steamspy,4163.0,False
Indie,1332720,Thief Simulator 2,"Action, Adventure, Casual, Indie, Simulation",,,,"CookieDev, Ultimate Games S.A.",PlayWay S.A.,60.0,steamspy,4144.0,False
Indie,2068280,Nordic Ashes: Survivors of Ragnarok,"Action, Casual, Indie, RPG, Roguelike, Shooter, Strategy",,,,Noxfall Studios,Noxfall Studios,60.0,steamspy,3900.0,False
Indie,351030,Pixel Puzzles Ultimate Jigsaw Puzzles,"Card & Board, Casual, Indie, Puzzle, Simulation, Strategy",,,,Pixel Puzzles,Pixel Puzzles,65.0,steamspy,3856.0,False
Indie,506610,Five Nights at Freddy's: Sister Location,"Adventure, Horror, Indie, Simulation, Strategy, Survival",,,,Scott Cawthon,Scott Cawthon,31.0,steamspy,3489.0,False
Indie,466910,Worm.is: The Game,"Action, Casual, Indie, Simulation, Strategy",,,,Freakinware Studios,Freakinware Studios,6.0,steamspy,3413.0,False
Indie,1127400,Mindustry,"Action, Indie, Strategy, Survival, Tower Defense",,,,AnukenDev,AnukenDev,331.0,steamspy,3348.0,False
Indie,466860,上帝之城 I：监狱帝国 [City of God I - Prison Empire],"Indie, RPG, Simulation, Strategy",,,,Pixel Gangsta Studio,"Pixel Gangsta Studio, Flying Interactive",1.0,steamspy,3262.0,False
Indie,1123830,Farm Manager 2021,"Casual, City Builder, Indie, Simulation, Strategy",,,,Cleversan Games,"PlayWay S.A., Sim Farm S.A.",33.0,steamspy,3173.0,False
Indie,824270,KovaaK's,"Action, Horror, Indie, Shooter, Simulation",,,,KovaaK Games,KovaaK Games,1731.0,steamspy,3114.0,False
Indie,223710,Cry of Fear,"Action, Adventure, Horror, Indie, Massively Multiplayer, Shooter, Survival",,,,Team Psykskallar,Team Psykskallar,309.0,steamspy,3052.0,False
Indie,581970,Zombie Ballz,"Action, Casual, Horror, Indie, Puzzle, Strategy",,,,Almighty Games,My Way Games,1.0,steamspy,3029.0,False
Indie,2758000,Vanity Fair: The Pursuit,"Indie, Platformer, Puzzle, RPG, Simulation, Visual Novel",,,,木焱工作室,"Wave Games, 木焱工作室, CC_Games",4.0,steamspy,2847.0,False
Indie,283000,Strategic War in Europe,"Indie, Strategy",,,,Wastelands Interactive,Conglomerate 5,105.0,steamspy,2616.0,False
Indie,683830,Weable,"Action, Casual, Indie",,,,SPECTRUM GAMES,Valkyrie Initiative,17.0,steamspy,2411.0,False
Indie,1347970,Patch Quest,"Action, Adventure, Indie, Metroidvania, Puzzle, Roguelike, Shooter",,,,Lychee Game Labs,Curve Games,6.0,steamspy,2333.0,False
Indie,618140,Barro,"Adventure, Card & Board, Casual, Indie, Racing, Simulation, Sports",,,,SC Jogos,SC Jogos,11.0,steamspy,2284.0,False
Indie,94400,Nidhogg,"Action, Fighting, Indie, Platformer, Sports",,,,Messhof,Messhof,10.0,steamspy,2136.0,False
Indie,1291010,Warpips,"Action, Indie, Strategy, Tower Defense",,,,Skirmish Mode Games,Daedalic Entertainment,38.0,steamspy,2095.0,False
Indie,1022450,War Selection,"Indie, Massively Multiplayer, Strategy, Survival",,,,Glyph Worlds,Glyph Worlds,188.0,steamspy,1984.0,False
Indie,1111460,小白兔电商~Bunny e-Shop,"Adventure, Casual, Indie, RPG, Simulation, Visual Novel",,,,"落叶岛项目组, 橘子班",NVLMaker,7.0,steamspy,1912.0,False
Indie,914010,Train Station Renovation,"Action, Adventure, Casual, Indie, Simulation",,,,Live Motion Games,"Live Motion Games, Frozen Way, PlayWay S.A., Frozen District",7.0,steamspy,1907.0,False
Indie,70110,Hacker Evolution: Untold,"Indie, Simulation",,,,exosyphen studios,exosyphen studios,0.0,steamspy,1826.0,False
Indie,3107330,Nodebuster,"Casual, Indie, Simulation, Strategy",,,,Goblobin,Goblobin,29.0,steamspy,1808.0,False
Indie,651670,Star Renegades,"Indie, JRPG, RPG, Strategy",,,,"Massive Damage, Inc.",Raw Fury,20.0,steamspy,1772.0,False
Indie,1394800,Rebirth:Mr Wang,"Casual, Indie, Puzzle, RPG, Visual Novel",,,,DSGame,DSGame,2.0,steamspy,1722.0,False
Indie,690640,Trine 4: The Nightmare Prince,"Action, Adventure, Indie, Platformer, Puzzle, RPG",,,,Frozenbyte,Frozenbyte,47.0,steamspy,1713.0,False
Indie,594720,Star Merchant,"Casual, Indie, Simulation, Strategy",,,,SimProse Studios,Conglomerate 5,0.0,steamspy,1694.0,False
Indie,1634680,Ficket: 追剧引擎,Indie,,,,一个小目标工作室,一个小目标工作室,205.0,steamspy,1678.0,False
Indie,313340,Mountain,"Casual, Indie, RPG, Simulation",,,,David OReilly,David OReilly,42.0,steamspy,1648.0,False
Indie,487720,Agony,"Action, Adventure, Horror, Indie, Survival",,,,Madmind Studio,Playway S.A.,1.0,steamspy,1552.0,False
Indie,218640,Lucius,"Action, Adventure, Horror, Indie, Puzzle",,,,Shiver Games,Shiver Games,15.0,steamspy,1477.0,False
Indie,1625080,Have a Nice Dream,"Adventure, Horror, Indie, Platformer, Puzzle, RPG",,,,榭季生,榭季生,1.0,steamspy,1406.0,False
Indie,1069740,Seen,"Action, Adventure, Horror, Indie, Platformer, Puzzle",,,,Seen Games,Seen Games,3.0,steamspy,1392.0,False
Indie,1083600,Grow Defense,"Casual, Indie, Simulation, Strategy, Tower Defense",,,,SoftCowGames,SoftCowGames,33.0,steamspy,1264.0,False
